Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),1.34020 0.51% ⋀,1.33840 0.64% ⋀,1.33760 0.70% ⋀,1.34050 0.48% ⋀,1.31900 2.12% ⋀,1.29380 4.11% ⋀,1.27110 5.97% ⋀
Exponential Moving Average (10),1.34099 0.45% ⋀,1.33723 0.73% ⋀,1.33665 0.77% ⋀,1.33216 1.11% ⋀,1.32035 2.02% ⋀,1.30325 3.36% ⋀,1.29522 4.00% ⋀
Simple Moving Average (20),1.33680 0.76% ⋀,1.33015 1.27% ⋀,1.33715 0.74% ⋀,1.31100 2.75% ⋀,1.27955 5.27% ⋀,1.27060 6.01% ⋀,1.30630 3.12% ⋀
Exponential Moving Average (20),1.33830 0.65% ⋀,1.33490 0.91% ⋀,1.32972 1.30% ⋀,1.31473 2.45% ⋀,1.29760 3.81% ⋀,1.28409 4.90% ⋀,1.34898 -0.15% ⋁
Simple Moving Average (30),1.33787 0.68% ⋀,1.33363 1.00% ⋀,1.32240 1.86% ⋀,1.29097 4.34% ⋀,1.27330 5.79% ⋀,1.26730 6.29% ⋀,1.40383 -4.05% ⋁
Exponential Moving Average (30),1.33660 0.78% ⋀,1.33430 0.95% ⋀,1.32076 1.99% ⋀,1.30152 3.49% ⋀,1.28707 4.66% ⋀,1.28098 5.15% ⋀,1.42578 -5.53% ⋁
Simple Moving Average (50),1.33054 1.24% ⋀,1.33418 0.96% ⋀,1.29858 3.73% ⋀,1.27414 5.72% ⋀,1.26712 6.30% ⋀,1.27100 5.98% ⋀,1.63024 -17.37% ⋁
Exponential Moving Average (50),1.33485 0.91% ⋀,1.33268 1.07% ⋀,1.30525 3.20% ⋀,1.28670 4.69% ⋀,1.28462 4.86% ⋀,1.29829 3.75% ⋀,1.56260 -13.80% ⋁
Simple Moving Average (100),1.33452 0.94% ⋀,1.32772 1.45% ⋀,1.27384 5.74% ⋀,1.26519 6.47% ⋀,1.29523 4.00% ⋀,1.37041 -1.71% ⋁,1.89888 -29.06% ⋁
Exponential Moving Average (100),1.33469 0.92% ⋀,1.32315 1.80% ⋀,1.28576 4.76% ⋀,1.28143 5.12% ⋀,1.32754 1.47% ⋀,1.39814 -3.66% ⋁,1.71498 -21.46% ⋁
Simple Moving Average (200),1.33685 0.76% ⋀,1.29679 3.87% ⋀,1.26523 6.46% ⋀,1.29532 3.99% ⋀,1.45698 -7.55% ⋁,1.64400 -18.07% ⋁,1.83175 -26.46% ⋁
Exponential Moving Average (200),1.33019 1.26% ⋀,1.29973 3.64% ⋀,1.27760 5.43% ⋀,1.32645 1.55% ⋀,1.48200 -9.11% ⋁,1.58909 -15.23% ⋁,1.71765 -21.58% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),61.01NE,60.09NE,60.96NE,65.60NE,66.66NE,62.29NE,45.73NE
"Stochastic K (14,3,3)",82.80OB,78.15NE,70.16NE,67.46NE,79.33NE,77.98NE,57.90NE
Commodity Channel Index (20),124.36OB,117.57OB,67.25NE,80.99NE,111.30OB,139.90OB,38.35NE
Williams %R (14),-6.45OB,-10.81OB,-13.04OB,-25.58NE,-15.49OB,-13.10OB,-29.18NE
"Bollinger Bands Upper / Lower (20,2,2)",1.349401.32420NE,1.349621.31068NE,1.360741.31356NE,1.376641.24536NE,1.373361.18574NE,1.350491.19071NE,1.443351.16925NE
Summary,OB: 3 OS: 0 NE: 2,OB: 2 OS: 0 NE: 3,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5
