Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00000303 -0.63% ⋁,0.00000303 -0.66% ⋁,0.00000302 -0.40% ⋁,0.00000301 0.00% ⋁,0.00000299 0.60% ⋀,0.00000299 0.60% ⋀,0.00000306 -1.67% ⋁
Exponential Moving Average (10),0.00000302 -0.48% ⋁,0.00000303 -0.54% ⋁,0.00000302 -0.37% ⋁,0.00000301 -0.03% ⋁,0.00000301 0.14% ⋀,0.00000301 -0.11% ⋁,0.00000309 -2.51% ⋁
Simple Moving Average (20),0.00000303 -0.71% ⋁,0.00000303 -0.69% ⋁,0.00000301 0.12% ⋀,0.00000298 0.84% ⋀,0.00000300 0.45% ⋀,0.00000305 -1.31% ⋁,0.00000320 -6.04% ⋁
Exponential Moving Average (20),0.00000303 -0.60% ⋁,0.00000303 -0.55% ⋁,0.00000301 0.02% ⋀,0.00000300 0.25% ⋀,0.00000302 -0.21% ⋁,0.00000304 -0.96% ⋁,0.00000317 -5.20% ⋁
Simple Moving Average (30),0.00000303 -0.63% ⋁,0.00000303 -0.53% ⋁,0.00000299 0.51% ⋀,0.00000299 0.77% ⋀,0.00000305 -1.21% ⋁,0.00000308 -2.25% ⋁,0.00000344 -12.45% ⋁
Exponential Moving Average (30),0.00000303 -0.62% ⋁,0.00000302 -0.45% ⋁,0.00000300 0.24% ⋀,0.00000301 0.11% ⋀,0.00000303 -0.76% ⋁,0.00000307 -1.84% ⋁,0.00000321 -6.14% ⋁
Simple Moving Average (50),0.00000303 -0.71% ⋁,0.00000301 -0.13% ⋁,0.00000298 1.03% ⋀,0.00000302 -0.40% ⋁,0.00000305 -1.46% ⋁,0.00000310 -2.85% ⋁,0.00000320 -5.84% ⋁
Exponential Moving Average (50),0.00000303 -0.56% ⋁,0.00000302 -0.21% ⋁,0.00000300 0.24% ⋀,0.00000302 -0.49% ⋁,0.00000307 -1.98% ⋁,0.00000312 -3.58% ⋁,0.00000322 -6.44% ⋁
Simple Moving Average (100),0.00000302 -0.26% ⋁,0.00000300 0.38% ⋀,0.00000303 -0.50% ⋁,0.00000306 -1.51% ⋁,0.00000317 -5.05% ⋁,0.00000334 -9.85% ⋁,0.00000319 -5.61% ⋁
Exponential Moving Average (100),0.00000302 -0.30% ⋁,0.00000300 0.21% ⋀,0.00000302 -0.20% ⋁,0.00000308 -2.12% ⋁,0.00000317 -4.96% ⋁,0.00000318 -5.45% ⋁,0.00000328 -8.32% ⋁
Simple Moving Average (200),0.00000300 0.27% ⋀,0.00000298 0.93% ⋀,0.00000306 -1.50% ⋁,0.00000317 -5.16% ⋁,0.00000338 -10.89% ⋁,0.00000320 -5.87% ⋁,0.00000353 -14.75% ⋁
Exponential Moving Average (200),0.00000300 0.27% ⋀,0.00000300 0.24% ⋀,0.00000306 -1.53% ⋁,0.00000321 -6.20% ⋁,0.00000316 -4.67% ⋁,0.00000316 -4.82% ⋁,0.00000379 -20.55% ⋁
Summary,Up: 2 Down: 10 Neutral: 0,Up: 4 Down: 8 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 4 Down: 8 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 1 Down: 11 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),41.10NE,44.36NE,51.70NE,51.03NE,47.90NE,46.20NE,45.13NE
"Stochastic K (14,3,3)",0.00OS,25.00NE,66.67NE,72.22NE,61.25NE,43.03NE,19.00OS
Commodity Channel Index (20),-162.88OS,-155.39OS,22.47NE,72.35NE,30.37NE,-28.16NE,-71.89NE
Williams %R (14),-100.00OS,-100.00OS,-55.56NE,-41.67NE,-38.46NE,-52.38NE,-80.00OS
"Bollinger Bands Upper / Lower (20,2,2)",0.000003030.00000303OS,0.000003030.00000303OS,0.000003010.00000301OB,0.000002980.00000298OB,0.000003000.00000300OB,0.000003050.00000305OS,0.000003620.00000278NE
Summary,OB: 0 OS: 4 NE: 1,OB: 0 OS: 3 NE: 2,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 2 NE: 3
