Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00002543 -0.18% ⋁,0.00002527 0.46% ⋀,0.00002513 1.03% ⋀,0.00002510 1.17% ⋀,0.00002501 1.50% ⋀,0.00002483 2.26% ⋀,0.00002492 1.88% ⋀
Exponential Moving Average (10),0.00002538 0.02% ⋀,0.00002530 0.35% ⋀,0.00002517 0.89% ⋀,0.00002511 1.12% ⋀,0.00002508 1.25% ⋀,0.00002500 1.55% ⋀,0.00002533 0.24% ⋀
Simple Moving Average (20),0.00002532 0.29% ⋀,0.00002516 0.93% ⋀,0.00002506 1.32% ⋀,0.00002491 1.93% ⋀,0.00002474 2.63% ⋀,0.00002508 1.24% ⋀,0.00002575 -1.38% ⋁
Exponential Moving Average (20),0.00002532 0.28% ⋀,0.00002521 0.70% ⋀,0.00002507 1.30% ⋀,0.00002498 1.65% ⋀,0.00002499 1.60% ⋀,0.00002497 1.67% ⋀,0.00002633 -3.56% ⋁
Simple Moving Average (30),0.00002522 0.68% ⋀,0.00002514 1.01% ⋀,0.00002496 1.73% ⋀,0.00002477 2.51% ⋀,0.00002507 1.29% ⋀,0.00002511 1.13% ⋀,0.00002847 -10.83% ⋁
Exponential Moving Average (30),0.00002527 0.48% ⋀,0.00002517 0.87% ⋀,0.00002499 1.61% ⋀,0.00002493 1.83% ⋀,0.00002497 1.67% ⋀,0.00002503 1.45% ⋀,0.00002717 -6.56% ⋁
Simple Moving Average (50),0.00002516 0.93% ⋀,0.00002511 1.10% ⋀,0.00002480 2.39% ⋀,0.00002485 2.16% ⋀,0.00002490 1.98% ⋀,0.00002471 2.74% ⋀,0.00002938 -13.57% ⋁
Exponential Moving Average (50),0.00002521 0.72% ⋀,0.00002511 1.11% ⋀,0.00002491 1.91% ⋀,0.00002493 1.86% ⋀,0.00002508 1.24% ⋀,0.00002543 -0.15% ⋁,0.00002813 -9.74% ⋁
Simple Moving Average (100),0.00002512 1.07% ⋀,0.00002498 1.64% ⋀,0.00002484 2.20% ⋀,0.00002486 2.11% ⋀,0.00002529 0.40% ⋀,0.00002743 -7.45% ⋁,0.00003006 -15.52% ⋁
Exponential Moving Average (100),0.00002513 1.05% ⋀,0.00002499 1.59% ⋀,0.00002484 2.23% ⋀,0.00002505 1.34% ⋀,0.00002601 -2.37% ⋁,0.00002669 -4.88% ⋁,0.00002893 -12.23% ⋁
Simple Moving Average (200),0.00002500 1.56% ⋀,0.00002477 2.49% ⋀,0.00002484 2.22% ⋀,0.00002532 0.28% ⋀,0.00002878 -11.76% ⋁,0.00002923 -13.15% ⋁,0.00002937 -13.55% ⋁
Exponential Moving Average (200),0.00002502 1.49% ⋀,0.00002484 2.22% ⋀,0.00002475 2.58% ⋀,0.00002632 -3.54% ⋁,0.00002736 -7.20% ⋁,0.00002760 -8.02% ⋁,0.00003027 -16.12% ⋁
Summary,Up: 11 Down: 1 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),56.55NE,59.47NE,62.43NE,61.12NE,57.54NE,55.36NE,43.90NE
"Stochastic K (14,3,3)",60.99NE,76.62NE,75.25NE,78.11NE,89.44OB,77.83NE,45.27NE
Commodity Channel Index (20),46.45NE,115.05OB,195.89OB,194.66OB,180.17OB,25.09NE,-25.95NE
Williams %R (14),-40.43NE,-24.68NE,-23.75NE,-14.50OB,-9.74OB,-9.74OB,-49.18NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000025600.00002503NE,0.000025520.00002479NE,0.000025390.00002472NE,0.000025380.00002444OB,0.000025450.00002403NE,0.000026240.00002391NE,0.000029070.00002242NE
Summary,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 3 OS: 0 NE: 2,OB: 3 OS: 0 NE: 2,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5
