Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),533.1400 -0.01% ⋁,533.8300 -0.14% ⋁,535.6600 -0.48% ⋁,535.5500 -0.46% ⋁,533.9300 -0.16% ⋁,530.9700 0.40% ⋀,530.3600 0.52% ⋀
Exponential Moving Average (10),532.9338 0.03% ⋀,533.3119 -0.04% ⋁,534.7346 -0.31% ⋁,534.4847 -0.26% ⋁,533.3756 -0.05% ⋁,531.4031 0.32% ⋀,535.4805 -0.44% ⋁
Simple Moving Average (20),533.0350 0.01% ⋀,533.1050 0.00% ⋁,535.4700 -0.44% ⋁,532.7450 0.07% ⋀,528.4350 0.88% ⋀,529.6600 0.65% ⋀,549.0900 -2.91% ⋁
Exponential Moving Average (20),533.2010 -0.02% ⋁,533.8768 -0.15% ⋁,534.6790 -0.30% ⋁,532.9656 0.03% ⋀,531.6156 0.28% ⋀,530.7826 0.44% ⋀,548.0389 -2.73% ⋁
Simple Moving Average (30),533.9900 -0.17% ⋁,534.5933 -0.28% ⋁,534.3633 -0.24% ⋁,530.5900 0.47% ⋀,530.1767 0.55% ⋀,530.1367 0.56% ⋀,569.9333 -6.46% ⋁
Exponential Moving Average (30),533.3775 -0.05% ⋁,534.3798 -0.24% ⋁,533.8659 -0.14% ⋁,531.7316 0.26% ⋀,531.3963 0.32% ⋀,532.6577 0.08% ⋀,555.1477 -3.97% ⋁
Simple Moving Average (50),533.1260 0.00% ⋁,536.4120 -0.62% ⋁,532.1580 0.18% ⋀,529.1400 0.75% ⋀,529.8420 0.61% ⋀,535.7000 -0.49% ⋁,585.2300 -8.91% ⋁
Exponential Moving Average (50),533.7654 -0.12% ⋁,534.8107 -0.32% ⋁,532.2760 0.15% ⋀,530.8682 0.42% ⋀,534.1781 -0.20% ⋁,539.1813 -1.13% ⋁,553.4854 -3.68% ⋁
Simple Moving Average (100),535.1830 -0.39% ⋁,535.2030 -0.39% ⋁,529.3590 0.71% ⋀,529.6680 0.65% ⋀,547.2400 -2.58% ⋁,564.3680 -5.54% ⋁,513.1130 3.90% ⋀
Exponential Moving Average (100),534.4793 -0.26% ⋁,534.3714 -0.24% ⋁,530.5821 0.47% ⋀,534.7297 -0.30% ⋁,545.4995 -2.27% ⋁,556.0450 -4.13% ⋁,519.5162 2.61% ⋀
Simple Moving Average (200),535.7505 -0.49% ⋁,532.0200 0.20% ⋀,529.6990 0.64% ⋀,547.7060 -2.67% ⋁,571.1920 -6.67% ⋁,584.7430 -8.83% ⋁,438.2295 21.65% ⋀
Exponential Moving Average (200),534.8645 -0.33% ⋁,531.1003 0.38% ⋀,533.4842 -0.07% ⋁,549.0692 -2.91% ⋁,564.4848 -5.56% ⋁,550.7305 -3.20% ⋁,477.5453 11.63% ⋀
Summary,Up: 2 Down: 10 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 5 Down: 7 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),48.46NE,46.30NE,47.89NE,51.48NE,52.18NE,51.05NE,43.98NE
"Stochastic K (14,3,3)",53.49NE,42.50NE,29.49NE,37.02NE,67.23NE,72.76NE,28.19NE
Commodity Channel Index (20),-16.55NE,-20.70NE,-65.09NE,3.60NE,53.92NE,44.68NE,-48.48NE
Williams %R (14),-34.88NE,-57.89NE,-72.12NE,-70.41NE,-33.81NE,-30.20NE,-66.31NE
"Bollinger Bands Upper / Lower (20,2,2)",535.0581531.0119NE,536.4423529.7677NE,541.9723528.9677NE,540.9794524.5106NE,543.3411513.5289NE,542.6197516.7003NE,597.8001500.3799NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
