Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00001522 -0.41% ⋁,0.00001530 -0.93% ⋁,0.00001540 -1.55% ⋁,0.00001548 -2.05% ⋁,0.00001592 -4.77% ⋁,0.00001622 -6.52% ⋁,0.00001647 -7.95% ⋁
Exponential Moving Average (10),0.00001523 -0.46% ⋁,0.00001528 -0.76% ⋁,0.00001538 -1.43% ⋁,0.00001552 -2.31% ⋁,0.00001571 -3.48% ⋁,0.00001589 -4.57% ⋁,0.00001665 -8.93% ⋁
Simple Moving Average (20),0.00001529 -0.87% ⋁,0.00001534 -1.20% ⋁,0.00001553 -2.36% ⋁,0.00001609 -5.81% ⋁,0.00001593 -4.85% ⋁,0.00001598 -5.14% ⋁,0.00001933 -21.59% ⋁
Exponential Moving Average (20),0.00001527 -0.74% ⋁,0.00001533 -1.14% ⋁,0.00001557 -2.64% ⋁,0.00001579 -3.98% ⋁,0.00001597 -5.07% ⋁,0.00001625 -6.72% ⋁,0.00001705 -11.11% ⋁
Simple Moving Average (30),0.00001533 -1.13% ⋁,0.00001539 -1.50% ⋁,0.00001575 -3.75% ⋁,0.00001620 -6.42% ⋁,0.00001597 -5.08% ⋁,0.00001647 -7.93% ⋁,0.00001907 -20.51% ⋁
Exponential Moving Average (30),0.00001530 -0.91% ⋁,0.00001538 -1.41% ⋁,0.00001573 -3.61% ⋁,0.00001592 -4.75% ⋁,0.00001623 -6.58% ⋁,0.00001671 -9.28% ⋁,0.00001620 -6.41% ⋁
Simple Moving Average (50),0.00001533 -1.10% ⋁,0.00001544 -1.80% ⋁,0.00001634 -7.24% ⋁,0.00001592 -4.75% ⋁,0.00001660 -8.65% ⋁,0.00001785 -15.08% ⋁,0.00001262 20.16% ⋀
Exponential Moving Average (50),0.00001533 -1.13% ⋁,0.00001547 -2.00% ⋁,0.00001590 -4.64% ⋁,0.00001614 -6.06% ⋁,0.00001684 -9.98% ⋁,0.00001736 -12.68% ⋁,0.00001396 8.59% ⋀
Simple Moving Average (100),0.00001540 -1.57% ⋁,0.00001565 -3.13% ⋁,0.00001593 -4.82% ⋁,0.00001664 -8.91% ⋁,0.00001913 -20.73% ⋁,0.00001953 -22.37% ⋁,0.00000801 89.30% ⋀
Exponential Moving Average (100),0.00001540 -1.56% ⋁,0.00001574 -3.67% ⋁,0.00001615 -6.12% ⋁,0.00001702 -10.92% ⋁,0.00001735 -12.61% ⋁,0.00001673 -9.37% ⋁,0.00001032 46.88% ⋀
Simple Moving Average (200),0.00001552 -2.32% ⋁,0.00001637 -7.40% ⋁,0.00001668 -9.12% ⋁,0.00001921 -21.07% ⋁,0.00001716 -11.64% ⋁,0.00001237 22.54% ⋀,0.00000582 160.26% ⋀
Exponential Moving Average (200),0.00001553 -2.40% ⋁,0.00001578 -3.95% ⋁,0.00001704 -11.05% ⋁,0.00001814 -16.42% ⋁,0.00001494 1.48% ⋀,0.00001363 11.22% ⋀,0.00000787 92.62% ⋀
Summary,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 1 Down: 11 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 6 Down: 6 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),40.57NE,39.72NE,36.66NE,35.57NE,38.81NE,39.33NE,46.25NE
"Stochastic K (14,3,3)",42.22NE,37.08NE,24.31NE,13.09OS,9.55OS,27.60NE,16.33OS
Commodity Channel Index (20),-84.01NE,-132.66OS,-139.97OS,-87.37NE,-70.97NE,-93.94NE,-101.53OS
Williams %R (14),-66.67NE,-68.75NE,-81.01OS,-90.62OS,-95.74OS,-76.24NE,-90.02OS
"Bollinger Bands Upper / Lower (20,2,2)",0.000015290.00001529OS,0.000015340.00001534OS,0.000015930.00001512NE,0.000017730.00001445NE,0.000017760.00001410NE,0.000017620.00001434NE,0.000025920.00001275NE
Summary,OB: 0 OS: 1 NE: 4,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 3 NE: 2
