Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),"48,506.04 0.13% ⋀","48,489.61 0.16% ⋀","48,687.07 -0.25% ⋁","48,743.81 -0.36% ⋁","48,864.15 -0.61% ⋁","48,588.89 -0.04% ⋁","47,761.65 1.69% ⋀"
Exponential Moving Average (10),"48,503.77 0.13% ⋀","48,480.90 0.18% ⋀","48,619.97 -0.11% ⋁","48,702.02 -0.28% ⋁","48,625.84 -0.12% ⋁","48,412.22 0.32% ⋀","48,183.90 0.80% ⋀"
Simple Moving Average (20),"48,435.94 0.27% ⋀","48,442.08 0.26% ⋀","48,757.81 -0.39% ⋁","48,823.47 -0.52% ⋁","48,062.09 1.05% ⋀","47,692.01 1.84% ⋀","48,449.06 0.24% ⋀"
Exponential Moving Average (20),"48,480.02 0.18% ⋀","48,517.51 0.10% ⋀","48,706.69 -0.29% ⋁","48,609.12 -0.09% ⋁","48,295.48 0.56% ⋀","48,070.08 1.03% ⋀","49,438.59 -1.76% ⋁"
Simple Moving Average (30),"48,491.08 0.16% ⋀","48,605.34 -0.08% ⋁","48,871.43 -0.62% ⋁","48,517.94 0.10% ⋀","47,727.65 1.76% ⋀","47,687.23 1.85% ⋀","51,105.90 -4.97% ⋁"
Exponential Moving Average (30),"48,476.05 0.19% ⋀","48,570.14 -0.01% ⋁","48,686.47 -0.24% ⋁","48,416.43 0.31% ⋀","48,098.55 0.98% ⋀","48,024.96 1.13% ⋀","50,899.67 -4.58% ⋁"
Simple Moving Average (50),"48,411.96 0.32% ⋀","48,715.16 -0.30% ⋁","48,789.43 -0.45% ⋁","47,818.09 1.57% ⋀","47,714.92 1.79% ⋀","47,924.03 1.34% ⋀","55,402.64 -12.34% ⋁"
Exponential Moving Average (50),"48,499.64 0.14% ⋀","48,653.87 -0.18% ⋁","48,505.97 0.13% ⋀","48,133.18 0.90% ⋀","48,089.44 0.99% ⋀","48,425.75 0.29% ⋀","52,683.83 -7.81% ⋁"
Simple Moving Average (100),"48,651.20 -0.17% ⋁","48,879.02 -0.64% ⋁","47,809.43 1.59% ⋀","47,706.26 1.81% ⋀","48,346.62 0.46% ⋀","50,302.82 -3.45% ⋁","54,608.11 -11.06% ⋁"
Exponential Moving Average (100),"48,581.88 -0.03% ⋁","48,738.31 -0.35% ⋁","48,158.50 0.85% ⋀","48,025.08 1.13% ⋀","49,060.85 -1.01% ⋁","50,553.56 -3.93% ⋁","52,338.07 -7.20% ⋁"
Simple Moving Average (200),"48,731.68 -0.34% ⋁","48,772.30 -0.42% ⋁","47,713.07 1.79% ⋀","48,356.72 0.44% ⋀","51,968.56 -6.54% ⋁","55,612.98 -12.67% ⋁","47,344.10 2.58% ⋀"
Exponential Moving Average (200),"48,742.24 -0.36% ⋁","48,353.42 0.44% ⋀","48,011.75 1.16% ⋀","49,191.33 -1.27% ⋁","52,227.66 -7.01% ⋁","53,641.82 -9.46% ⋁","51,415.78 -5.54% ⋁"
Summary,Up: 8 Down: 4 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 4 Down: 8 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),58.57NE,50.56NE,47.13NE,51.60NE,55.98NE,55.46NE,43.58NE
"Stochastic K (14,3,3)",85.59OB,67.83NE,36.62NE,32.05NE,67.88NE,76.06NE,58.61NE
Commodity Channel Index (20),92.27NE,52.07NE,-76.58NE,-97.21NE,33.52NE,53.55NE,4.95NE
Williams %R (14),-3.25OB,-27.98NE,-57.34NE,-65.74NE,-34.83NE,-25.51NE,-42.18NE
"Bollinger Bands Upper / Lower (20,2,2)","48,632.8148,239.06NE","48,707.9848,176.19NE","49,244.4748,271.15NE","49,317.1548,329.79NE","50,263.8145,860.38NE","49,766.7845,617.23NE","51,217.1345,680.99NE"
Summary,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
