Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),42.60 -0.69% ⋁,42.52 -0.51% ⋁,42.51 -0.49% ⋁,42.60 -0.71% ⋁,42.61 -0.74% ⋁,42.37 -0.16% ⋁,41.55 1.81% ⋀
Exponential Moving Average (10),42.56 -0.61% ⋁,42.56 -0.61% ⋁,42.54 -0.57% ⋁,42.53 -0.55% ⋁,42.43 -0.31% ⋁,42.26 0.10% ⋀,42.24 0.13% ⋀
Simple Moving Average (20),42.65 -0.81% ⋁,42.59 -0.69% ⋁,42.62 -0.76% ⋁,42.54 -0.56% ⋁,41.85 1.06% ⋀,41.60 1.67% ⋀,42.77 -1.11% ⋁
Exponential Moving Average (20),42.60 -0.70% ⋁,42.58 -0.67% ⋁,42.49 -0.46% ⋁,42.35 -0.11% ⋁,42.08 0.53% ⋀,41.93 0.89% ⋀,44.26 -4.42% ⋁
Simple Moving Average (30),42.68 -0.88% ⋁,42.66 -0.84% ⋁,42.56 -0.62% ⋁,42.04 0.61% ⋀,41.55 1.81% ⋀,41.46 2.01% ⋀,46.80 -9.62% ⋁
Exponential Moving Average (30),42.60 -0.70% ⋁,42.55 -0.60% ⋁,42.36 -0.15% ⋁,42.12 0.42% ⋀,41.89 0.98% ⋀,41.93 0.88% ⋀,46.71 -9.45% ⋁
Simple Moving Average (50),42.64 -0.80% ⋁,42.57 -0.63% ⋁,41.94 0.87% ⋀,41.52 1.88% ⋀,41.36 2.27% ⋀,41.89 0.98% ⋀,53.29 -20.62% ⋁
Exponential Moving Average (50),42.50 -0.48% ⋁,42.40 -0.24% ⋁,42.08 0.52% ⋀,41.85 1.08% ⋀,41.99 0.75% ⋀,42.59 -0.69% ⋁,50.63 -16.45% ⋁
Simple Moving Average (100),42.19 0.26% ⋀,41.72 1.39% ⋀,41.31 2.40% ⋀,41.31 2.40% ⋀,42.65 -0.83% ⋁,45.32 -6.66% ⋁,58.22 -27.34% ⋁
Exponential Moving Average (100),42.17 0.30% ⋀,41.96 0.82% ⋀,41.67 1.50% ⋀,41.85 1.06% ⋀,43.64 -3.06% ⋁,45.85 -7.75% ⋁,54.51 -22.39% ⋁
Simple Moving Average (200),41.41 2.15% ⋀,41.15 2.79% ⋀,41.26 2.52% ⋀,42.58 -0.66% ⋁,48.25 -12.33% ⋁,53.64 -21.14% ⋁,57.02 -25.82% ⋁
Exponential Moving Average (200),41.65 1.56% ⋀,41.58 1.74% ⋀,42.00 0.71% ⋀,43.78 -3.39% ⋁,48.58 -12.92% ⋁,51.74 -18.24% ⋁,58.04 -27.11% ⋁
Summary,Up: 4 Down: 8 Neutral: 0,Up: 4 Down: 8 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),40.40NE,43.40NE,48.34NE,51.44NE,53.71NE,52.96NE,38.59NE
"Stochastic K (14,3,3)",38.74NE,43.01NE,43.01NE,42.08NE,78.40NE,82.93OB,33.23NE
Commodity Channel Index (20),-121.65OS,-103.94OS,-129.77OS,-80.77NE,39.31NE,65.27NE,-20.15NE
Williams %R (14),-85.90OS,-89.45OS,-89.45OS,-90.33OS,-33.99NE,-24.15NE,-69.69NE
"Bollinger Bands Upper / Lower (20,2,2)",43.1142.19NE,43.0642.13NE,43.0842.16NE,43.0642.01NE,43.8039.91NE,43.4139.80NE,46.5339.01NE
Summary,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 1 NE: 4,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5
