Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00000013 -1.52% ⋁,0.00000013 -1.52% ⋁,0.00000013 -1.52% ⋁,0.00000013 -1.52% ⋁,0.00000013 -1.52% ⋁,0.00000013 0.00% NE,0.00000012 4.84% ⋀
Exponential Moving Average (10),0.00000013 -0.53% ⋁,0.00000013 -0.53% ⋁,0.00000013 -0.50% ⋁,0.00000013 -1.18% ⋁,0.00000013 -1.47% ⋁,0.00000013 -0.64% ⋁,0.00000013 2.69% ⋀
Simple Moving Average (20),0.00000013 -0.76% ⋁,0.00000013 -0.76% ⋁,0.00000013 -0.76% ⋁,0.00000013 -1.89% ⋁,0.00000013 0.00% ⋀,0.00000013 0.39% ⋀,0.00000013 0.78% ⋀
Exponential Moving Average (20),0.00000013 -0.89% ⋁,0.00000013 -0.84% ⋁,0.00000013 -0.30% ⋁,0.00000013 -0.54% ⋁,0.00000013 0.26% ⋀,0.00000013 1.30% ⋀,0.00000014 -5.75% ⋁
Simple Moving Average (30),0.00000013 -2.26% ⋁,0.00000013 -2.26% ⋁,0.00000013 0.00% NE,0.00000013 -0.51% ⋁,0.00000013 3.17% ⋀,0.00000012 6.27% ⋀,0.00000014 -10.34% ⋁
Exponential Moving Average (30),0.00000013 -0.85% ⋁,0.00000013 -0.72% ⋁,0.00000013 0.43% ⋀,0.00000013 0.63% ⋀,0.00000013 1.48% ⋀,0.00000013 1.95% ⋀,0.00000017 -24.34% ⋁
Simple Moving Average (50),0.00000013 -1.37% ⋁,0.00000013 -1.66% ⋁,0.00000013 2.85% ⋀,0.00000012 5.52% ⋀,0.00000012 8.33% ⋀,0.00000012 5.86% ⋀,0.00000017 -22.34% ⋁
Exponential Moving Average (50),0.00000013 -0.06% ⋁,0.00000013 0.16% ⋀,0.00000013 1.70% ⋀,0.00000013 1.81% ⋀,0.00000013 1.01% ⋀,0.00000013 -0.33% ⋁,0.00000029 -55.14% ⋁
Simple Moving Average (100),0.00000012 4.75% ⋀,0.00000012 5.95% ⋀,0.00000012 6.30% ⋀,0.00000013 1.48% ⋀,0.00000014 -5.04% ⋁,0.00000015 -11.68% ⋁,0.00000071 -81.63% ⋁
Exponential Moving Average (100),0.00000013 0.39% ⋀,0.00000013 0.34% ⋀,0.00000013 0.52% ⋀,0.00000013 -1.96% ⋁,0.00000014 -6.12% ⋁,0.00000015 -11.72% ⋁,0.00000062 -78.89% ⋁
Simple Moving Average (200),0.00000013 -1.03% ⋁,0.00000013 -2.73% ⋁,0.00000014 -7.60% ⋁,0.00000015 -13.88% ⋁,0.00000016 -20.78% ⋁,0.00000019 -29.82% ⋁,0.00000124 -89.52% ⋁
Exponential Moving Average (200),0.00000013 -3.62% ⋁,0.00000014 -4.96% ⋁,0.00000014 -8.17% ⋁,0.00000015 -12.23% ⋁,0.00000018 -29.24% ⋁,0.00000039 -66.25% ⋁,0.00000118 -89.02% ⋁
Summary,Up: 2 Down: 10 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 5 Down: 6 Neutral: 1,Up: 4 Down: 8 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 5 Down: 6 Neutral: 1,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),48.95NE,49.10NE,50.16NE,50.26NE,50.85NE,51.10NE,41.63NE
"Stochastic K (14,3,3)",50.00NE,50.00NE,50.00NE,50.00NE,44.44NE,44.44NE,60.00NE
Commodity Channel Index (20),-14.81NE,-14.81NE,-12.35NE,-28.46NE,3.88NE,9.80NE,-4.02NE
Williams %R (14),-50.00NE,-50.00NE,-50.00NE,-50.00NE,-66.67NE,-66.67NE,-40.00NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000000130.00000013OS,0.000000130.00000013OS,0.000000130.00000013OS,0.000000130.00000013OS,0.000000130.00000013OB,0.000000130.00000013OB,0.000000130.00000013OB
Summary,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4
