Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.0027118 -0.14% ⋁,0.0027092 -0.04% ⋁,0.0027118 -0.14% ⋁,0.0027134 -0.20% ⋁,0.0027112 -0.12% ⋁,0.0026857 0.83% ⋀,0.0027137 -0.21% ⋁
Exponential Moving Average (10),0.0027102 -0.08% ⋁,0.0027072 0.03% ⋀,0.0027099 -0.07% ⋁,0.0027093 -0.05% ⋁,0.0027028 0.19% ⋀,0.0026882 0.74% ⋀,0.0027636 -2.01% ⋁
Simple Moving Average (20),0.0027078 0.01% ⋀,0.0027012 0.25% ⋀,0.0027123 -0.16% ⋁,0.0027017 0.23% ⋀,0.0026618 1.74% ⋀,0.0026634 1.68% ⋀,0.0029431 -7.99% ⋁
Exponential Moving Average (20),0.0027087 -0.03% ⋁,0.0027069 0.04% ⋀,0.0027087 -0.03% ⋁,0.0026979 0.37% ⋀,0.0026900 0.67% ⋀,0.0026933 0.55% ⋀,0.0028978 -6.55% ⋁
Simple Moving Average (30),0.0027088 -0.03% ⋁,0.0027083 -0.01% ⋁,0.0027107 -0.10% ⋁,0.0026831 0.93% ⋀,0.0026676 1.52% ⋀,0.0026896 0.69% ⋀,0.0030118 -10.09% ⋁
Exponential Moving Average (30),0.0027073 0.03% ⋀,0.0027082 -0.01% ⋁,0.0027032 0.18% ⋀,0.0026884 0.73% ⋀,0.0026974 0.39% ⋀,0.0027272 -0.71% ⋁,0.0030085 -9.99% ⋁
Simple Moving Average (50),0.0027000 0.30% ⋀,0.0027154 -0.27% ⋁,0.0026925 0.58% ⋀,0.0026596 1.82% ⋀,0.0026953 0.47% ⋀,0.0028322 -4.39% ⋁,0.0032807 -17.46% ⋁
Exponential Moving Average (50),0.0027066 0.05% ⋀,0.0027098 -0.07% ⋁,0.0026912 0.63% ⋀,0.0026881 0.74% ⋀,0.0027442 -1.32% ⋁,0.0028058 -3.49% ⋁,0.0031709 -14.60% ⋁
Simple Moving Average (100),0.0027100 -0.07% ⋁,0.0027140 -0.22% ⋁,0.0026599 1.81% ⋀,0.0026944 0.50% ⋀,0.0029996 -9.72% ⋁,0.0029785 -9.08% ⋁,0.0034568 -21.66% ⋁
Exponential Moving Average (100),0.0027081 0.00% ⋁,0.0027066 0.05% ⋀,0.0026835 0.91% ⋀,0.0027655 -2.08% ⋁,0.0028702 -5.65% ⋁,0.0029821 -9.19% ⋁,0.0033143 -18.29% ⋁
Simple Moving Average (200),0.0027135 -0.20% ⋁,0.0026915 0.61% ⋀,0.0026957 0.45% ⋀,0.0029999 -9.73% ⋁,0.0030523 -11.28% ⋁,0.0032985 -17.90% ⋁,0.0034091 -20.57% ⋁
Exponential Moving Average (200),0.0027109 -0.11% ⋁,0.0026804 1.03% ⋀,0.0027619 -1.95% ⋁,0.0028486 -4.94% ⋁,0.0031072 -12.85% ⋁,0.0032070 -15.56% ⋁,0.0036813 -26.44% ⋁
Summary,Up: 4 Down: 8 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),50.39NE,50.12NE,51.01NE,54.45NE,52.52NE,49.18NE,41.55NE
"Stochastic K (14,3,3)",63.81NE,76.13NE,53.64NE,51.34NE,79.54NE,85.66OB,17.44OS
Commodity Channel Index (20),-2.45NE,46.54NE,-12.65NE,38.55NE,70.33NE,60.99NE,-49.72NE
Williams %R (14),-37.14NE,-30.19NE,-48.28NE,-48.28NE,-24.42NE,-15.05OB,-77.68NE
"Bollinger Bands Upper / Lower (20,2,2)",0.00272220.0026933NE,0.00272190.0026805NE,0.00273570.0026889NE,0.00274520.0026582NE,0.00278450.0025391NE,0.00276710.0025596NE,0.00368680.0021994NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 0 OS: 1 NE: 4
