Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),134.60 -0.03% ⋁,134.91 -0.26% ⋁,135.71 -0.85% ⋁,135.30 -0.54% ⋁,135.15 -0.44% ⋁,132.81 1.32% ⋀,131.43 2.38% ⋀
Exponential Moving Average (10),134.54 0.02% ⋀,134.71 -0.11% ⋁,135.22 -0.49% ⋁,135.10 -0.40% ⋁,134.31 0.19% ⋀,133.20 1.02% ⋀,133.46 0.82% ⋀
Simple Moving Average (20),134.56 0.00% ⋀,134.76 -0.15% ⋁,135.25 -0.51% ⋁,134.73 -0.12% ⋁,131.44 2.37% ⋀,130.93 2.77% ⋀,134.48 0.06% ⋀
Exponential Moving Average (20),134.65 -0.07% ⋁,134.99 -0.32% ⋁,135.15 -0.44% ⋁,134.21 0.26% ⋀,132.92 1.23% ⋀,132.03 1.92% ⋀,140.62 -4.31% ⋁
Simple Moving Average (30),134.95 -0.29% ⋁,135.44 -0.65% ⋁,135.30 -0.55% ⋁,132.71 1.40% ⋀,131.22 2.55% ⋀,131.07 2.66% ⋀,151.26 -11.04% ⋁
Exponential Moving Average (30),134.75 -0.14% ⋁,135.19 -0.47% ⋁,134.70 -0.10% ⋁,133.33 0.92% ⋀,132.30 1.71% ⋀,132.14 1.84% ⋀,148.84 -9.60% ⋁
Simple Moving Average (50),134.74 -0.13% ⋁,135.99 -1.05% ⋁,133.63 0.70% ⋀,131.08 2.65% ⋀,131.03 2.70% ⋀,131.96 1.97% ⋀,173.12 -22.28% ⋁
Exponential Moving Average (50),134.94 -0.28% ⋁,135.34 -0.58% ⋁,133.66 0.67% ⋀,132.34 1.68% ⋀,132.65 1.44% ⋀,134.60 -0.03% ⋁,160.61 -16.22% ⋁
Simple Moving Average (100),135.66 -0.81% ⋁,135.53 -0.71% ⋁,131.06 2.67% ⋀,130.96 2.75% ⋀,134.08 0.36% ⋀,144.24 -6.71% ⋁,178.94 -24.80% ⋁
Exponential Moving Average (100),135.18 -0.46% ⋁,134.95 -0.29% ⋁,132.26 1.74% ⋀,132.29 1.72% ⋀,138.93 -3.14% ⋁,146.08 -7.88% ⋁,170.51 -21.08% ⋁
Simple Moving Average (200),135.35 -0.59% ⋁,133.56 0.75% ⋀,130.97 2.74% ⋀,134.14 0.31% ⋀,156.81 -14.19% ⋁,173.81 -22.58% ⋁,175.88 -23.49% ⋁
Exponential Moving Average (200),135.41 -0.62% ⋁,133.06 1.13% ⋀,132.06 1.89% ⋀,138.60 -2.91% ⋁,155.48 -13.45% ⋁,161.25 -16.55% ⋁,190.12 -29.22% ⋁
Summary,Up: 2 Down: 10 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),47.36NE,45.04NE,48.34NE,54.28NE,57.01NE,55.92NE,40.95NE
"Stochastic K (14,3,3)",60.23NE,34.39NE,17.26OS,28.13NE,52.76NE,59.88NE,46.51NE
Commodity Channel Index (20),-8.28NE,-44.32NE,-43.91NE,-9.54NE,57.37NE,95.37NE,8.62NE
Williams %R (14),-28.97NE,-68.01NE,-86.65OS,-74.26NE,-50.08NE,-43.04NE,-43.04NE
"Bollinger Bands Upper / Lower (20,2,2)",135.31133.80NE,135.99133.53NE,137.79132.72NE,137.94131.51NE,139.49123.40NE,137.54124.32NE,144.86124.09NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
