Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.001442 -0.20% ⋁,0.001443 -0.26% ⋁,0.001436 0.20% ⋀,0.001434 0.38% ⋀,0.001435 0.29% ⋀,0.001460 -1.41% ⋁,0.001450 -0.74% ⋁
Exponential Moving Average (10),0.001442 -0.19% ⋁,0.001441 -0.17% ⋁,0.001438 0.08% ⋀,0.001438 0.09% ⋀,0.001447 -0.56% ⋁,0.001463 -1.67% ⋁,0.001492 -3.56% ⋁
Simple Moving Average (20),0.001443 -0.27% ⋁,0.001440 -0.04% ⋁,0.001433 0.44% ⋀,0.001435 0.27% ⋀,0.001486 -3.18% ⋁,0.001513 -4.90% ⋁,0.001581 -8.96% ⋁
Exponential Moving Average (20),0.001442 -0.21% ⋁,0.001440 -0.04% ⋁,0.001437 0.13% ⋀,0.001448 -0.63% ⋁,0.001464 -1.72% ⋁,0.001477 -2.57% ⋁,0.001561 -7.81% ⋁
Simple Moving Average (30),0.001443 -0.28% ⋁,0.001436 0.18% ⋀,0.001434 0.35% ⋀,0.001460 -1.42% ⋁,0.001500 -4.04% ⋁,0.001467 -1.94% ⋁,0.001671 -13.90% ⋁
Exponential Moving Average (30),0.001442 -0.19% ⋁,0.001438 0.06% ⋀,0.001442 -0.17% ⋁,0.001460 -1.46% ⋁,0.001469 -2.04% ⋁,0.001485 -3.10% ⋁,0.001621 -11.22% ⋁
Simple Moving Average (50),0.001440 -0.10% ⋁,0.001436 0.22% ⋀,0.001446 -0.50% ⋁,0.001526 -5.68% ⋁,0.001446 -0.50% ⋁,0.001463 -1.65% ⋁,0.001711 -15.92% ⋁
Exponential Moving Average (50),0.001440 -0.09% ⋁,0.001436 0.19% ⋀,0.001455 -1.11% ⋁,0.001471 -2.15% ⋁,0.001481 -2.84% ⋁,0.001517 -5.17% ⋁,0.001737 -17.13% ⋁
Simple Moving Average (100),0.001436 0.21% ⋀,0.001433 0.44% ⋀,0.001524 -5.56% ⋁,0.001447 -0.54% ⋁,0.001546 -6.91% ⋁,0.001655 -13.03% ⋁,0.002005 -28.23% ⋁
Exponential Moving Average (100),0.001437 0.12% ⋀,0.001438 0.04% ⋀,0.001468 -1.96% ⋁,0.001493 -3.61% ⋁,0.001543 -6.72% ⋁,0.001594 -9.74% ⋁,0.002059 -30.12% ⋁
Simple Moving Average (200),0.001433 0.43% ⋀,0.001448 -0.63% ⋁,0.001445 -0.40% ⋁,0.001550 -7.17% ⋁,0.001701 -15.42% ⋁,0.001716 -16.16% ⋁,0.002791 -48.45% ⋁
Exponential Moving Average (200),0.001435 0.26% ⋀,0.001466 -1.84% ⋁,0.001476 -2.49% ⋁,0.001570 -8.32% ⋁,0.001619 -11.12% ⋁,0.001713 -15.98% ⋁,0.002494 -42.30% ⋁
Summary,Up: 4 Down: 8 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 1 Down: 11 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),45.91NE,50.35NE,49.55NE,45.25NE,46.09NE,46.38NE,42.32NE
"Stochastic K (14,3,3)",25.00NE,47.31NE,61.18NE,52.30NE,12.58OS,2.44OS,16.94OS
Commodity Channel Index (20),-143.34OS,23.92NE,85.01NE,56.75NE,-56.61NE,-49.50NE,-56.05NE
Williams %R (14),-87.50OS,-61.29NE,-51.35NE,-47.83NE,-88.24OS,-97.60OS,-83.46OS
"Bollinger Bands Upper / Lower (20,2,2)",0.0014480.001437NE,0.0014500.001429NE,0.0014480.001417NE,0.0014530.001417NE,0.0016270.001346NE,0.0018130.001214NE,0.0019950.001167NE
Summary,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3
