Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.03579 0.26% ⋀,0.03579 0.25% ⋀,0.03554 0.95% ⋀,0.03546 1.19% ⋀,0.03534 1.53% ⋀,0.03481 3.09% ⋀,0.03476 3.21% ⋀
Exponential Moving Average (10),0.03579 0.24% ⋀,0.03570 0.51% ⋀,0.03555 0.93% ⋀,0.03549 1.10% ⋀,0.03530 1.64% ⋀,0.03496 2.64% ⋀,0.03526 1.75% ⋀
Simple Moving Average (20),0.03566 0.63% ⋀,0.03544 1.24% ⋀,0.03537 1.45% ⋀,0.03520 1.92% ⋀,0.03438 4.35% ⋀,0.03456 3.81% ⋀,0.03586 0.06% ⋀
Exponential Moving Average (20),0.03572 0.44% ⋀,0.03558 0.84% ⋀,0.03539 1.38% ⋀,0.03517 2.02% ⋀,0.03494 2.70% ⋀,0.03475 3.24% ⋀,0.03723 -3.63% ⋁
Simple Moving Average (30),0.03576 0.34% ⋀,0.03547 1.15% ⋀,0.03525 1.78% ⋀,0.03474 3.28% ⋀,0.03462 3.64% ⋀,0.03477 3.19% ⋀,0.03975 -9.73% ⋁
Exponential Moving Average (30),0.03567 0.60% ⋀,0.03552 1.02% ⋀,0.03524 1.82% ⋀,0.03495 2.65% ⋀,0.03483 3.03% ⋀,0.03485 2.94% ⋀,0.03946 -9.08% ⋁
Simple Moving Average (50),0.03547 1.17% ⋀,0.03544 1.25% ⋀,0.03500 2.50% ⋀,0.03441 4.28% ⋀,0.03474 3.29% ⋀,0.03472 3.33% ⋀,0.04605 -22.09% ⋁
Exponential Moving Average (50),0.03559 0.83% ⋀,0.03544 1.24% ⋀,0.03498 2.57% ⋀,0.03477 3.20% ⋀,0.03500 2.53% ⋀,0.03561 0.76% ⋀,0.04279 -16.14% ⋁
Simple Moving Average (100),0.03546 1.17% ⋀,0.03531 1.63% ⋀,0.03441 4.27% ⋀,0.03471 3.36% ⋀,0.03552 1.01% ⋀,0.03852 -6.86% ⋁,0.04803 -25.29% ⋁
Exponential Moving Average (100),0.03548 1.12% ⋀,0.03528 1.70% ⋀,0.03473 3.31% ⋀,0.03492 2.76% ⋀,0.03667 -2.15% ⋁,0.03884 -7.62% ⋁,0.04644 -22.73% ⋁
Simple Moving Average (200),0.03536 1.47% ⋀,0.03496 2.62% ⋀,0.03471 3.37% ⋀,0.03554 0.96% ⋀,0.04138 -13.28% ⋁,0.04637 -22.63% ⋁,0.05067 -29.19% ⋁
Exponential Moving Average (200),0.03539 1.39% ⋀,0.03474 3.27% ⋀,0.03466 3.51% ⋀,0.03683 -2.57% ⋁,0.04132 -13.16% ⋁,0.04280 -16.18% ⋁,0.05596 -35.88% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),59.29NE,57.44NE,60.42NE,62.00NE,63.61NE,58.51NE,42.42NE
"Stochastic K (14,3,3)",87.45OB,67.73NE,66.67NE,65.08NE,83.81OB,82.48OB,49.77NE
Commodity Channel Index (20),95.46NE,82.21NE,145.66OB,178.59OB,98.46NE,77.84NE,-5.03NE
Williams %R (14),-10.39OB,-33.56NE,-27.37NE,-27.37NE,-12.76OB,-10.40OB,-25.04NE
"Bollinger Bands Upper / Lower (20,2,2)",0.036030.03528NE,0.036270.03462NE,0.035950.03478NE,0.035930.03448NE,0.036720.03205NE,0.036670.03246NE,0.039950.03177NE
Summary,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 2 OS: 0 NE: 3,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5
