Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),247.176 -0.34% ⋁,247.294 -0.39% ⋁,247.664 -0.53% ⋁,247.835 -0.60% ⋁,245.925 0.17% ⋀,243.119 1.32% ⋀,254.386 -3.16% ⋁
Exponential Moving Average (10),246.818 -0.19% ⋁,246.747 -0.17% ⋁,247.174 -0.34% ⋁,246.840 -0.20% ⋁,245.974 0.15% ⋀,244.755 0.65% ⋀,253.279 -2.74% ⋁
Simple Moving Average (20),247.011 -0.27% ⋁,246.235 0.04% ⋀,247.665 -0.54% ⋁,245.034 0.53% ⋀,242.135 1.74% ⋀,244.858 0.61% ⋀,264.503 -6.87% ⋁
Exponential Moving Average (20),246.973 -0.26% ⋁,246.838 -0.20% ⋁,246.769 -0.17% ⋁,245.553 0.32% ⋀,246.080 0.11% ⋀,247.313 -0.39% ⋁,272.790 -9.70% ⋁
Simple Moving Average (30),247.472 -0.46% ⋁,247.206 -0.35% ⋁,245.931 0.17% ⋀,243.204 1.29% ⋀,245.469 0.35% ⋀,256.228 -3.86% ⋁,310.448 -20.65% ⋁
Exponential Moving Average (30),246.958 -0.25% ⋁,246.963 -0.25% ⋁,246.023 0.13% ⋀,245.174 0.48% ⋀,248.035 -0.68% ⋁,251.272 -1.96% ⋁,286.245 -13.94% ⋁
Simple Moving Average (50),246.264 0.03% ⋀,247.377 -0.42% ⋁,244.347 0.82% ⋀,243.136 1.32% ⋀,258.477 -4.70% ⋁,255.708 -3.66% ⋁,323.308 -23.81% ⋁
Exponential Moving Average (50),246.941 -0.24% ⋁,247.016 -0.27% ⋁,245.110 0.50% ⋀,246.598 -0.10% ⋁,253.503 -2.83% ⋁,261.034 -5.63% ⋁,293.560 -16.09% ⋁
Simple Moving Average (100),247.275 -0.38% ⋁,246.886 -0.22% ⋁,243.467 1.18% ⋀,258.459 -4.69% ⋁,263.389 -6.47% ⋁,293.370 -16.03% ⋁,284.085 -13.29% ⋁
Exponential Moving Average (100),247.120 -0.32% ⋁,246.394 -0.02% ⋁,247.878 -0.62% ⋁,253.079 -2.66% ⋁,275.085 -10.45% ⋁,282.658 -12.85% ⋁,271.638 -9.31% ⋁
Simple Moving Average (200),247.585 -0.50% ⋁,244.218 0.87% ⋀,258.666 -4.77% ⋁,263.769 -6.61% ⋁,328.451 -25.00% ⋁,324.397 -24.06% ⋁,199.587 23.42% ⋀
Exponential Moving Average (200),246.925 -0.24% ⋁,244.058 0.94% ⋀,250.629 -1.71% ⋁,275.617 -10.62% ⋁,294.683 -16.41% ⋁,290.104 -15.09% ⋁,233.367 5.56% ⋀
Summary,Up: 1 Down: 11 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),45.40NE,47.67NE,50.20NE,52.21NE,48.70NE,47.04NE,40.20NE
"Stochastic K (14,3,3)",40.21NE,57.46NE,50.14NE,54.03NE,69.61NE,70.83NE,16.06OS
Commodity Channel Index (20),-68.09NE,-0.86NE,-42.43NE,41.91NE,78.23NE,5.58NE,-71.52NE
Williams %R (14),-57.07NE,-48.52NE,-50.10NE,-55.92NE,-34.74NE,-26.65NE,-82.33OS
"Bollinger Bands Upper / Lower (20,2,2)",248.927245.095NE,249.268243.201NE,251.899243.432NE,251.564238.505NE,252.767231.503NE,259.108230.608NE,307.878221.128NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 2 NE: 3
