Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.7012 0.25% ⋀,0.7014 0.23% ⋀,0.7049 -0.27% ⋁,0.7080 -0.70% ⋁,0.7112 -1.15% ⋁,0.6857 2.53% ⋀,0.6466 8.73% ⋀
Exponential Moving Average (10),0.7011 0.28% ⋀,0.7006 0.35% ⋀,0.7039 -0.13% ⋁,0.7049 -0.27% ⋁,0.6991 0.56% ⋀,0.6858 2.51% ⋀,0.6692 5.05% ⋀
Simple Moving Average (20),0.6990 0.57% ⋀,0.6981 0.70% ⋀,0.7080 -0.70% ⋁,0.7067 -0.52% ⋁,0.6731 4.44% ⋀,0.6514 7.92% ⋀,0.6665 5.48% ⋀
Exponential Moving Average (20),0.7006 0.35% ⋀,0.7010 0.28% ⋀,0.7048 -0.26% ⋁,0.6973 0.82% ⋀,0.6815 3.16% ⋀,0.6656 5.61% ⋀,0.6990 0.58% ⋀
Simple Moving Average (30),0.7018 0.17% ⋀,0.7015 0.21% ⋀,0.7097 -0.94% ⋁,0.6844 2.72% ⋀,0.6561 7.15% ⋀,0.6407 9.73% ⋀,0.7531 -6.65% ⋁
Exponential Moving Average (30),0.7004 0.37% ⋀,0.7022 0.11% ⋀,0.7016 0.20% ⋀,0.6869 2.34% ⋀,0.6696 4.99% ⋀,0.6587 6.72% ⋀,0.7366 -4.56% ⋁
Simple Moving Average (50),0.6988 0.61% ⋀,0.7068 -0.54% ⋁,0.6946 1.21% ⋀,0.6607 6.41% ⋀,0.6424 9.43% ⋀,0.6417 9.55% ⋀,0.8607 -18.32% ⋁
Exponential Moving Average (50),0.7007 0.33% ⋀,0.7042 -0.18% ⋁,0.6911 1.73% ⋀,0.6712 4.74% ⋀,0.6624 6.13% ⋀,0.6660 5.55% ⋀,0.7842 -10.35% ⋁
Simple Moving Average (100),0.7031 -0.01% ⋁,0.7090 -0.85% ⋁,0.6592 6.65% ⋀,0.6401 9.82% ⋀,0.6595 6.60% ⋀,0.7247 -2.99% ⋁,0.8310 -15.41% ⋁
Exponential Moving Average (100),0.7027 0.05% ⋀,0.7026 0.06% ⋀,0.6707 4.82% ⋀,0.6585 6.75% ⋀,0.6865 2.41% ⋀,0.7249 -3.02% ⋁,0.8055 -12.73% ⋁
Simple Moving Average (200),0.7078 -0.67% ⋁,0.6929 1.46% ⋀,0.6395 9.92% ⋀,0.6585 6.76% ⋀,0.7744 -9.23% ⋁,0.8666 -18.88% ⋁,0.7784 -9.69% ⋁
Exponential Moving Average (200),0.7057 -0.39% ⋁,0.6858 2.51% ⋀,0.6562 7.14% ⋀,0.6921 1.57% ⋀,0.7713 -8.86% ⋁,0.7866 -10.63% ⋁,0.9317 -24.54% ⋁
Summary,Up: 9 Down: 3 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 4 Down: 8 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),57.33NE,51.41NE,50.08NE,54.77NE,60.19NE,61.23NE,47.72NE
"Stochastic K (14,3,3)",87.79OB,54.55NE,37.18NE,41.65NE,74.37NE,79.47NE,69.65NE
Commodity Channel Index (20),93.96NE,54.48NE,-67.20NE,-38.92NE,53.74NE,88.08NE,62.79NE
Williams %R (14),-1.53OB,-43.17NE,-57.04NE,-60.00NE,-23.93NE,-19.77OB,-18.36OB
"Bollinger Bands Upper / Lower (20,2,2)",0.70470.6933NE,0.71030.6859NE,0.72430.6917NE,0.72870.6846NE,0.75820.5881NE,0.73550.5672NE,0.75930.5737NE
Summary,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4
