Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00003803 -1.08% ⋁,0.00003798 -0.95% ⋁,0.00003894 -3.39% ⋁,0.00003916 -3.93% ⋁,0.00003975 -5.37% ⋁,0.00004104 -8.34% ⋁,0.00003900 -3.53% ⋁
Exponential Moving Average (10),0.00003795 -0.86% ⋁,0.00003807 -1.18% ⋁,0.00003870 -2.79% ⋁,0.00003910 -3.78% ⋁,0.00003964 -5.08% ⋁,0.00004036 -6.80% ⋁,0.00003925 -4.14% ⋁
Simple Moving Average (20),0.00003803 -1.07% ⋁,0.00003857 -2.46% ⋁,0.00003937 -4.45% ⋁,0.00004006 -6.08% ⋁,0.00004143 -9.21% ⋁,0.00004158 -9.52% ⋁,0.00004055 -7.21% ⋁
Exponential Moving Average (20),0.00003806 -1.15% ⋁,0.00003844 -2.13% ⋁,0.00003929 -4.25% ⋁,0.00003997 -5.88% ⋁,0.00004042 -6.94% ⋁,0.00004048 -7.07% ⋁,0.00003677 2.30% ⋀
Simple Moving Average (30),0.00003809 -1.23% ⋁,0.00003901 -3.56% ⋁,0.00003981 -5.49% ⋁,0.00004121 -8.72% ⋁,0.00004153 -9.43% ⋁,0.00004112 -8.52% ⋁,0.00003381 11.27% ⋀
Exponential Moving Average (30),0.00003818 -1.47% ⋁,0.00003869 -2.77% ⋁,0.00003976 -5.39% ⋁,0.00004048 -7.07% ⋁,0.00004036 -6.78% ⋁,0.00003996 -5.86% ⋁,0.00003362 11.89% ⋀
Simple Moving Average (50),0.00003846 -2.19% ⋁,0.00003914 -3.87% ⋁,0.00004084 -7.89% ⋁,0.00004185 -10.10% ⋁,0.00003951 -4.78% ⋁,0.00003657 2.87% ⋀,0.00002447 53.71% ⋀
Exponential Moving Average (50),0.00003843 -2.10% ⋁,0.00003903 -3.61% ⋁,0.00004048 -7.07% ⋁,0.00004067 -7.50% ⋁,0.00003957 -4.92% ⋁,0.00003882 -3.10% ⋁,0.00002856 31.74% ⋀
Simple Moving Average (100),0.00003907 -3.71% ⋁,0.00003967 -5.16% ⋁,0.00004209 -10.61% ⋁,0.00003938 -4.46% ⋁,0.00003829 -1.76% ⋁,0.00003733 0.79% ⋀,0.00001812 107.65% ⋀
Exponential Moving Average (100),0.00003884 -3.13% ⋁,0.00003971 -5.25% ⋁,0.00004060 -7.35% ⋁,0.00004023 -6.49% ⋁,0.00003664 2.67% ⋀,0.00003487 7.88% ⋀,0.00002236 68.24% ⋀
Simple Moving Average (200),0.00003934 -4.38% ⋁,0.00004098 -8.21% ⋁,0.00003939 -4.49% ⋁,0.00003849 -2.25% ⋁,0.00003075 22.35% ⋀,0.00002392 57.26% ⋀,0.00001637 129.84% ⋀
Exponential Moving Average (200),0.00003931 -4.31% ⋁,0.00004070 -7.57% ⋁,0.00003877 -2.97% ⋁,0.00003870 -2.79% ⋁,0.00003045 23.56% ⋀,0.00002803 34.21% ⋀,0.00001897 98.26% ⋀
Summary,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 9 Down: 3 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),33.28NE,33.29NE,33.67NE,32.52NE,40.65NE,44.60NE,52.47NE
"Stochastic K (14,3,3)",14.93OS,26.23NE,17.52OS,18.03OS,8.43OS,5.27OS,43.99NE
Commodity Channel Index (20),-132.98OS,-88.78NE,-187.85OS,-171.75OS,-144.52OS,-131.77OS,-33.11NE
Williams %R (14),-100.00OS,-81.02OS,-86.82OS,-90.72OS,-95.78OS,-96.76OS,-61.36NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000038500.00003756NE,0.000040060.00003707NE,0.000041010.00003773OS,0.000042290.00003782OS,0.000045870.00003700NE,0.000046200.00003696NE,0.000059630.00002146NE
Summary,OB: 0 OS: 3 NE: 2,OB: 0 OS: 1 NE: 4,OB: 0 OS: 4 NE: 1,OB: 0 OS: 4 NE: 1,OB: 0 OS: 3 NE: 2,OB: 0 OS: 3 NE: 2,OB: 0 OS: 0 NE: 5
