Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00001293 -3.29% ⋁,0.00001293 -3.29% ⋁,0.00001293 -3.29% ⋁,0.00001293 -3.29% ⋁,0.00001293 -3.30% ⋁,0.00001280 -2.37% ⋁,0.00001360 -8.05% ⋁
Exponential Moving Average (10),0.00001305 -4.25% ⋁,0.00001305 -4.20% ⋁,0.00001306 -4.31% ⋁,0.00001307 -4.33% ⋁,0.00001321 -5.34% ⋁,0.00001353 -7.61% ⋁,0.00001378 -9.32% ⋁
Simple Moving Average (20),0.00001348 -7.30% ⋁,0.00001350 -7.37% ⋁,0.00001350 -7.37% ⋁,0.00001350 -7.37% ⋁,0.00001372 -8.88% ⋁,0.00001561 -19.93% ⋁,0.00001475 -15.24% ⋁
Exponential Moving Average (20),0.00001400 -10.70% ⋁,0.00001399 -10.66% ⋁,0.00001404 -10.99% ⋁,0.00001399 -10.64% ⋁,0.00001402 -10.86% ⋁,0.00001460 -14.38% ⋁,0.00001410 -11.35% ⋁
Simple Moving Average (30),0.00001485 -15.82% ⋁,0.00001491 -16.17% ⋁,0.00001535 -18.59% ⋁,0.00001548 -19.26% ⋁,0.00001616 -22.67% ⋁,0.00001688 -25.95% ⋁,0.00001390 -10.07% ⋁
Exponential Moving Average (30),0.00001524 -18.00% ⋁,0.00001518 -17.66% ⋁,0.00001508 -17.08% ⋁,0.00001485 -15.84% ⋁,0.00001451 -13.88% ⋁,0.00001494 -16.32% ⋁,0.00001417 -11.77% ⋁
Simple Moving Average (50),0.00001894 -34.00% ⋁,0.00001940 -35.58% ⋁,0.00001939 -35.52% ⋁,0.00001823 -31.45% ⋁,0.00001550 -19.37% ⋁,0.00001457 -14.18% ⋁,0.00001343 -6.92% ⋁
Exponential Moving Average (50),0.00001695 -26.25% ⋁,0.00001665 -24.91% ⋁,0.00001607 -22.21% ⋁,0.00001557 -19.74% ⋁,0.00001479 -15.48% ⋁,0.00001504 -16.87% ⋁,0.00001478 -15.42% ⋁
Simple Moving Average (100),0.00001960 -36.23% ⋁,0.00001784 -29.93% ⋁,0.00001547 -19.18% ⋁,0.00001473 -15.15% ⋁,0.00001401 -10.78% ⋁,0.00001475 -15.25% ⋁,0.00001692 -26.14% ⋁
Exponential Moving Average (100),0.00001797 -30.45% ⋁,0.00001744 -28.34% ⋁,0.00001656 -24.54% ⋁,0.00001611 -22.42% ⋁,0.00001540 -18.83% ⋁,0.00001594 -21.58% ⋁,0.00001722 -27.43% ⋁
Simple Moving Average (200),0.00001654 -24.42% ⋁,0.00001654 -24.44% ⋁,0.00001677 -25.47% ⋁,0.00001719 -27.29% ⋁,0.00001763 -29.11% ⋁,0.00001919 -34.85% ⋁,0.00002324 -46.21% ⋁
Exponential Moving Average (200),0.00001906 -34.40% ⋁,0.00001860 -32.81% ⋁,0.00001803 -30.66% ⋁,0.00001816 -31.17% ⋁,0.00001950 -35.89% ⋁,0.00001981 -36.91% ⋁,0.00002089 -40.17% ⋁
Summary,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),42.70NE,42.90NE,43.31NE,44.02NE,45.18NE,45.58NE,47.16NE
"Stochastic K (14,3,3)",45.79NE,45.79NE,45.79NE,45.79NE,45.79NE,15.77OS,5.07OS
Commodity Channel Index (20),-45.53NE,-45.90NE,-45.90NE,-45.90NE,-53.80NE,-60.14NE,-43.18NE
Williams %R (14),-84.51OS,-84.51OS,-84.51OS,-84.51OS,-84.51OS,-94.39OS,-97.12OS
"Bollinger Bands Upper / Lower (20,2,2)",0.000017880.00000909NE,0.000017950.00000904NE,0.000017950.00000904NE,0.000017950.00000904NE,0.000018100.00000934NE,0.000023220.00000800NE,0.000023190.00000630NE
Summary,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3
