Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),1.4998 -1.25% ⋁,1.5053 -1.61% ⋁,1.4919 -0.73% ⋁,1.4510 2.07% ⋀,1.3875 6.74% ⋀,1.3320 11.19% ⋀,1.2643 17.14% ⋀
Exponential Moving Average (10),1.4963 -1.02% ⋁,1.4999 -1.26% ⋁,1.4842 -0.22% ⋁,1.4517 2.02% ⋀,1.4066 5.29% ⋀,1.3565 9.18% ⋀,1.3174 12.42% ⋀
Simple Moving Average (20),1.5003 -1.29% ⋁,1.5012 -1.34% ⋁,1.4357 3.16% ⋀,1.3673 8.32% ⋀,1.3024 13.72% ⋀,1.2691 16.70% ⋀,1.2483 18.65% ⋀
Exponential Moving Average (20),1.5011 -1.34% ⋁,1.4983 -1.16% ⋁,1.4440 2.56% ⋀,1.3922 6.38% ⋀,1.3415 10.40% ⋀,1.2981 14.09% ⋀,1.3602 8.88% ⋀
Simple Moving Average (30),1.5102 -1.94% ⋁,1.4939 -0.86% ⋁,1.3887 6.64% ⋀,1.3266 11.64% ⋀,1.2755 16.11% ⋀,1.2489 18.58% ⋀,1.4237 4.03% ⋀
Exponential Moving Average (30),1.5029 -1.45% ⋁,1.4910 -0.67% ⋁,1.4100 5.04% ⋀,1.3541 9.37% ⋀,1.3067 13.34% ⋀,1.2738 16.27% ⋀,1.4502 2.12% ⋀
Simple Moving Average (50),1.5059 -1.65% ⋁,1.4821 -0.07% ⋁,1.3379 10.69% ⋀,1.2753 16.13% ⋀,1.2417 19.27% ⋀,1.2135 22.04% ⋀,1.7345 -14.61% ⋁
Exponential Moving Average (50),1.5017 -1.38% ⋁,1.4702 0.74% ⋀,1.3629 8.66% ⋀,1.3097 13.08% ⋀,1.2773 15.95% ⋀,1.2769 15.98% ⋀,1.5843 -6.52% ⋁
Simple Moving Average (100),1.4912 -0.68% ⋁,1.4023 5.61% ⋀,1.2710 16.52% ⋀,1.2353 19.89% ⋀,1.2293 20.47% ⋀,1.3442 10.18% ⋀,1.8522 -20.04% ⋁
Exponential Moving Average (100),1.4867 -0.38% ⋁,1.4209 4.23% ⋀,1.3027 13.69% ⋀,1.2664 16.95% ⋀,1.3199 12.21% ⋀,1.3965 6.05% ⋀,1.6436 -9.89% ⋁
Simple Moving Average (200),1.4506 2.10% ⋀,1.3330 11.10% ⋀,1.2329 20.12% ⋀,1.2270 20.70% ⋀,1.5123 -2.07% ⋁,1.7424 -15.00% ⋁,1.4752 0.39% ⋀
Exponential Moving Average (200),1.4443 2.54% ⋀,1.3526 9.49% ⋀,1.2533 18.17% ⋀,1.3081 13.21% ⋀,1.5157 -2.29% ⋁,1.6049 -7.72% ⋁,1.7046 -13.12% ⋁
Summary,Up: 2 Down: 10 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 7 Down: 5 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),34.89NE,45.53NE,61.36NE,68.99NE,78.29OB,77.75OB,53.22NE
"Stochastic K (14,3,3)",33.23NE,26.61NE,70.10NE,84.03OB,82.19OB,85.74OB,78.96NE
Commodity Channel Index (20),-148.40OS,-73.40NE,54.68NE,90.83NE,142.99OB,228.47OB,242.95OB
Williams %R (14),-90.62OS,-95.83OS,-46.06NE,-27.44NE,-21.59NE,-17.97OB,-15.45OB
"Bollinger Bands Upper / Lower (20,2,2)",1.51891.4817OS,1.54001.4623NE,1.59171.2797NE,1.56101.1735NE,1.52491.0798NE,1.45501.0831OB,1.44461.0519OB
Summary,OB: 0 OS: 3 NE: 2,OB: 0 OS: 1 NE: 4,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 3 OS: 0 NE: 2,OB: 5 OS: 0 NE: 0,OB: 3 OS: 0 NE: 2
