Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),1.2729 -0.44% ⋁,1.2755 -0.64% ⋁,1.2831 -1.23% ⋁,1.2867 -1.51% ⋁,1.2854 -1.40% ⋁,1.2222 3.69% ⋀,1.1546 9.76% ⋀
Exponential Moving Average (10),1.2711 -0.30% ⋁,1.2724 -0.40% ⋁,1.2800 -0.99% ⋁,1.2774 -0.79% ⋁,1.2579 0.75% ⋀,1.2304 3.00% ⋀,1.1890 6.59% ⋀
Simple Moving Average (20),1.2720 -0.37% ⋁,1.2713 -0.31% ⋁,1.2910 -1.83% ⋁,1.2745 -0.57% ⋁,1.1838 7.06% ⋀,1.1539 9.83% ⋀,1.1490 10.30% ⋀
Exponential Moving Average (20),1.2727 -0.42% ⋁,1.2754 -0.64% ⋁,1.2799 -0.98% ⋁,1.2537 1.09% ⋀,1.2150 4.30% ⋀,1.1853 6.92% ⋀,1.1952 6.04% ⋀
Simple Moving Average (30),1.2765 -0.72% ⋁,1.2780 -0.83% ⋁,1.2878 -1.60% ⋁,1.2141 4.38% ⋀,1.1566 9.57% ⋀,1.1466 10.52% ⋀,1.2436 1.90% ⋀
Exponential Moving Average (30),1.2734 -0.48% ⋁,1.2786 -0.89% ⋁,1.2687 -0.11% ⋁,1.2279 3.21% ⋀,1.1889 6.60% ⋀,1.1660 8.69% ⋀,1.2177 4.08% ⋀
Simple Moving Average (50),1.2720 -0.37% ⋁,1.2891 -1.69% ⋁,1.2376 2.40% ⋀,1.1559 9.64% ⋀,1.1398 11.18% ⋀,1.1240 12.75% ⋀,1.2852 -1.39% ⋁
Exponential Moving Average (50),1.2751 -0.61% ⋁,1.2824 -1.18% ⋁,1.2403 2.18% ⋀,1.1934 6.19% ⋀,1.1662 8.67% ⋀,1.1601 9.24% ⋀,1.2473 1.60% ⋀
Simple Moving Average (100),1.2818 -1.13% ⋁,1.2891 -1.69% ⋁,1.1552 9.71% ⋀,1.1356 11.60% ⋀,1.1372 11.44% ⋀,1.1998 5.63% ⋀,1.3066 -3.01% ⋁
Exponential Moving Average (100),1.2803 -1.02% ⋁,1.2724 -0.40% ⋁,1.1920 6.32% ⋀,1.1606 9.20% ⋀,1.1758 7.78% ⋀,1.1916 6.35% ⋀,1.2414 2.08% ⋀
Simple Moving Average (200),1.2921 -1.92% ⋁,1.2347 2.64% ⋀,1.1348 11.67% ⋀,1.1358 11.58% ⋀,1.2529 1.15% ⋀,1.2804 -1.02% ⋁,1.1547 9.75% ⋀
Exponential Moving Average (200),1.2840 -1.30% ⋁,1.2253 3.43% ⋀,1.1535 9.87% ⋀,1.1800 7.40% ⋀,1.2179 4.05% ⋀,1.2405 2.16% ⋀,1.2997 -2.49% ⋁
Summary,Up: 0 Down: 12 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 9 Down: 3 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),40.52NE,42.25NE,48.42NE,58.28NE,63.73NE,64.85NE,53.88NE
"Stochastic K (14,3,3)",23.16NE,33.48NE,22.46NE,22.57NE,68.67NE,74.19NE,80.83OB
Commodity Channel Index (20),-109.08OS,-41.80NE,-105.48OS,-15.18NE,57.33NE,93.58NE,157.21OB
Williams %R (14),-75.14NE,-80.62OS,-76.75NE,-83.89OS,-33.97NE,-29.10NE,-27.38NE
"Bollinger Bands Upper / Lower (20,2,2)",1.27991.2641NE,1.28871.2538NE,1.32841.2535NE,1.33581.2132NE,1.39580.9717NE,1.34340.9644NE,1.29111.0069NE
Summary,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3
