Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),3.60049 -0.10% ⋁,3.61937 -0.62% ⋁,3.61924 -0.62% ⋁,3.63751 -1.12% ⋁,3.62050 -0.65% ⋁,3.63111 -0.94% ⋁,3.55679 1.13% ⋀
Exponential Moving Average (10),3.60191 -0.14% ⋁,3.61171 -0.41% ⋁,3.62211 -0.70% ⋁,3.62925 -0.89% ⋁,3.61662 -0.55% ⋁,3.61531 -0.51% ⋁,3.57765 0.54% ⋀
Simple Moving Average (20),3.60823 -0.31% ⋁,3.61943 -0.62% ⋁,3.63545 -1.06% ⋁,3.63845 -1.14% ⋁,3.61959 -0.63% ⋁,3.57960 0.48% ⋀,3.60254 -0.16% ⋁
Exponential Moving Average (20),3.60976 -0.36% ⋁,3.61778 -0.58% ⋁,3.62895 -0.88% ⋁,3.63114 -0.94% ⋁,3.60946 -0.35% ⋁,3.60048 -0.10% ⋁,3.54675 1.41% ⋀
Simple Moving Average (30),3.62754 -0.84% ⋁,3.61244 -0.43% ⋁,3.62842 -0.87% ⋁,3.64187 -1.23% ⋁,3.58608 0.30% ⋀,3.58690 0.28% ⋀,3.49850 2.81% ⋀
Exponential Moving Average (30),3.61452 -0.49% ⋁,3.62149 -0.68% ⋁,3.63106 -0.94% ⋁,3.62612 -0.81% ⋁,3.60246 -0.15% ⋁,3.59421 0.07% ⋀,3.50121 2.73% ⋀
Simple Moving Average (50),3.62360 -0.74% ⋁,3.63750 -1.12% ⋁,3.64616 -1.35% ⋁,3.59725 -0.01% ⋁,3.57810 0.53% ⋀,3.59949 -0.07% ⋁,3.37729 6.50% ⋀
Exponential Moving Average (50),3.61857 -0.60% ⋁,3.62653 -0.82% ⋁,3.62818 -0.86% ⋁,3.61566 -0.52% ⋁,3.59620 0.02% ⋀,3.58284 0.39% ⋀,3.41676 5.27% ⋀
Simple Moving Average (100),3.61654 -0.54% ⋁,3.62735 -0.84% ⋁,3.59568 0.03% ⋀,3.58193 0.42% ⋀,3.61704 -0.56% ⋁,3.55563 1.16% ⋀,3.19752 12.49% ⋀
Exponential Moving Average (100),3.62358 -0.74% ⋁,3.63397 -1.02% ⋁,3.61123 -0.40% ⋁,3.60750 -0.29% ⋁,3.56960 0.76% ⋀,3.52908 1.92% ⋀,3.25634 10.46% ⋀
Simple Moving Average (200),3.63890 -1.15% ⋁,3.64755 -1.39% ⋁,3.57943 0.49% ⋀,3.61798 -0.58% ⋁,3.48620 3.18% ⋀,3.37855 6.46% ⋀,3.00632 19.64% ⋀
Exponential Moving Average (200),3.62300 -0.72% ⋁,3.62845 -0.87% ⋁,3.61041 -0.37% ⋁,3.57607 0.58% ⋀,3.48386 3.24% ⋀,3.41180 5.43% ⋀,3.01371 19.35% ⋀
Summary,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 11 Down: 1 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),31.03NE,39.90NE,44.35NE,46.77NE,49.07NE,50.09NE,55.48NE
"Stochastic K (14,3,3)",0.00OS,0.03OS,9.69OS,32.31NE,17.01OS,67.02NE,59.34NE
Commodity Channel Index (20),-93.22NE,-64.08NE,-96.05NE,-99.05NE,-55.85NE,62.89NE,45.57NE
Williams %R (14),-100.00OS,-100.00OS,-96.93OS,-94.69OS,-84.43OS,-46.30NE,-41.30NE
"Bollinger Bands Upper / Lower (20,2,2)",3.628343.58813NE,3.678213.56064NE,3.704333.56656NE,3.717043.55987NE,3.702083.53709NE,3.716443.44275NE,3.744493.46059NE
Summary,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 1 NE: 4,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
