Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00004544 -0.82% ⋁,0.00004553 -1.01% ⋁,0.00004584 -1.69% ⋁,0.00004611 -2.26% ⋁,0.00004663 -3.34% ⋁,0.00004541 -0.75% ⋁,0.00004502 0.10% ⋀
Exponential Moving Average (10),0.00004538 -0.68% ⋁,0.00004548 -0.90% ⋁,0.00004576 -1.50% ⋁,0.00004587 -1.75% ⋁,0.00004576 -1.50% ⋁,0.00004539 -0.70% ⋁,0.00004560 -1.17% ⋁
Simple Moving Average (20),0.00004544 -0.82% ⋁,0.00004552 -0.98% ⋁,0.00004620 -2.44% ⋁,0.00004672 -3.53% ⋁,0.00004492 0.34% ⋀,0.00004447 1.35% ⋀,0.00004650 -3.08% ⋁
Exponential Moving Average (20),0.00004546 -0.85% ⋁,0.00004562 -1.20% ⋁,0.00004602 -2.06% ⋁,0.00004581 -1.62% ⋁,0.00004538 -0.68% ⋁,0.00004505 0.04% ⋀,0.00004591 -1.82% ⋁
Simple Moving Average (30),0.00004556 -1.08% ⋁,0.00004577 -1.54% ⋁,0.00004650 -3.08% ⋁,0.00004542 -0.78% ⋁,0.00004459 1.08% ⋀,0.00004464 0.96% ⋀,0.00004794 -5.99% ⋁
Exponential Moving Average (30),0.00004551 -0.96% ⋁,0.00004574 -1.47% ⋁,0.00004601 -2.04% ⋁,0.00004554 -1.03% ⋁,0.00004520 -0.28% ⋁,0.00004512 -0.11% ⋁,0.00004495 0.26% ⋀
Simple Moving Average (50),0.00004556 -1.07% ⋁,0.00004605 -2.13% ⋁,0.00004584 -1.67% ⋁,0.00004453 1.22% ⋀,0.00004469 0.84% ⋀,0.00004562 -1.22% ⋁,0.00004462 1.01% ⋀
Exponential Moving Average (50),0.00004559 -1.15% ⋁,0.00004595 -1.91% ⋁,0.00004571 -1.40% ⋁,0.00004520 -0.28% ⋁,0.00004530 -0.51% ⋁,0.00004550 -0.94% ⋁,0.00004104 9.83% ⋀
Simple Moving Average (100),0.00004586 -1.71% ⋁,0.00004626 -2.58% ⋁,0.00004451 1.26% ⋀,0.00004464 0.95% ⋀,0.00004669 -3.48% ⋁,0.00004666 -3.40% ⋁,0.00002666 69.07% ⋀
Exponential Moving Average (100),0.00004581 -1.61% ⋁,0.00004599 -1.99% ⋁,0.00004516 -0.20% ⋁,0.00004535 -0.63% ⋁,0.00004613 -2.31% ⋁,0.00004534 -0.59% ⋁,0.00003190 41.29% ⋀
Simple Moving Average (200),0.00004623 -2.51% ⋁,0.00004580 -1.59% ⋁,0.00004464 0.96% ⋀,0.00004667 -3.42% ⋁,0.00004766 -5.43% ⋁,0.00004398 2.49% ⋀,0.00001722 161.76% ⋀
Exponential Moving Average (200),0.00004602 -2.07% ⋁,0.00004538 -0.68% ⋁,0.00004539 -0.71% ⋁,0.00004582 -1.64% ⋁,0.00004487 0.45% ⋀,0.00003837 17.47% ⋀,0.00002314 94.76% ⋀
Summary,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 4 Down: 8 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 8 Down: 4 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),33.90NE,34.87NE,39.73NE,46.18NE,49.19NE,49.96NE,49.46NE
"Stochastic K (14,3,3)",74.24NE,55.58NE,25.25NE,17.94OS,43.42NE,50.13NE,35.66NE
Commodity Channel Index (20),-197.79OS,-197.81OS,-188.86OS,-139.68OS,2.59NE,27.14NE,-43.14NE
Williams %R (14),-37.01NE,-48.40NE,-67.77NE,-76.11NE,-61.24NE,-54.93NE,-70.03NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000045780.00004511OS,0.000045950.00004508OS,0.000047290.00004510OS,0.000048810.00004463NE,0.000049330.00004050NE,0.000047990.00004095NE,0.000052130.00004088NE
Summary,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
