Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.0000717 -0.01% ⋁,0.0000723 -0.76% ⋁,0.0000722 -0.68% ⋁,0.0000720 -0.38% ⋁,0.0000713 0.63% ⋀,0.0000707 1.40% ⋀,0.0000715 0.29% ⋀
Exponential Moving Average (10),0.0000718 -0.08% ⋁,0.0000720 -0.42% ⋁,0.0000721 -0.49% ⋁,0.0000718 -0.12% ⋁,0.0000714 0.45% ⋀,0.0000710 0.93% ⋀,0.0000724 -0.92% ⋁
Simple Moving Average (20),0.0000720 -0.38% ⋁,0.0000720 -0.49% ⋁,0.0000720 -0.35% ⋁,0.0000712 0.64% ⋀,0.0000706 1.63% ⋀,0.0000709 1.08% ⋀,0.0000753 -4.74% ⋁
Exponential Moving Average (20),0.0000719 -0.31% ⋁,0.0000721 -0.57% ⋁,0.0000719 -0.21% ⋁,0.0000714 0.41% ⋀,0.0000711 0.79% ⋀,0.0000712 0.72% ⋀,0.0000756 -5.11% ⋁
Simple Moving Average (30),0.0000723 -0.81% ⋁,0.0000722 -0.73% ⋁,0.0000715 0.35% ⋀,0.0000708 1.30% ⋀,0.0000709 1.06% ⋀,0.0000712 0.67% ⋀,0.0000796 -9.95% ⋁
Exponential Moving Average (30),0.0000720 -0.45% ⋁,0.0000721 -0.60% ⋁,0.0000716 0.13% ⋀,0.0000712 0.70% ⋀,0.0000713 0.59% ⋀,0.0000718 -0.11% ⋁,0.0000784 -8.53% ⋁
Simple Moving Average (50),0.0000721 -0.62% ⋁,0.0000722 -0.73% ⋁,0.0000710 1.00% ⋀,0.0000707 1.35% ⋀,0.0000714 0.37% ⋀,0.0000732 -2.00% ⋁,0.0000848 -15.44% ⋁
Exponential Moving Average (50),0.0000721 -0.57% ⋁,0.0000721 -0.50% ⋁,0.0000713 0.59% ⋀,0.0000712 0.72% ⋀,0.0000721 -0.55% ⋁,0.0000735 -2.41% ⋁,0.0000829 -13.50% ⋁
Simple Moving Average (100),0.0000723 -0.80% ⋁,0.0000717 0.05% ⋀,0.0000708 1.28% ⋀,0.0000714 0.35% ⋀,0.0000745 -3.78% ⋁,0.0000784 -8.54% ⋁,0.0000920 -22.04% ⋁
Exponential Moving Average (100),0.0000721 -0.62% ⋁,0.0000717 -0.02% ⋁,0.0000711 0.77% ⋀,0.0000720 -0.46% ⋁,0.0000750 -4.45% ⋁,0.0000775 -7.47% ⋁,0.0000928 -22.78% ⋁
Simple Moving Average (200),0.0000721 -0.54% ⋁,0.0000709 1.08% ⋀,0.0000715 0.29% ⋀,0.0000746 -3.84% ⋁,0.0000817 -12.22% ⋁,0.0000852 -15.83% ⋁,0.0001130 -36.56% ⋁
Exponential Moving Average (200),0.0000719 -0.26% ⋁,0.0000711 0.81% ⋀,0.0000722 -0.75% ⋁,0.0000752 -4.70% ⋁,0.0000798 -10.19% ⋁,0.0000821 -12.68% ⋁,0.0001069 -32.90% ⋁
Summary,Up: 0 Down: 12 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 1 Down: 11 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),39.43NE,42.57NE,50.18NE,52.68NE,52.66NE,50.48NE,37.58NE
"Stochastic K (14,3,3)",35.76NE,16.99OS,35.45NE,44.99NE,54.55NE,54.55NE,21.47NE
Commodity Channel Index (20),-54.73NE,-57.78NE,-37.22NE,33.79NE,75.16NE,53.58NE,-66.72NE
Williams %R (14),-50.00NE,-83.33OS,-74.36NE,-61.70NE,-43.94NE,-43.94NE,-71.64NE
"Bollinger Bands Upper / Lower (20,2,2)",0.00007280.0000712NE,0.00007320.0000709NE,0.00007320.0000707NE,0.00007290.0000696NE,0.00007270.0000684NE,0.00007330.0000686NE,0.00008380.0000667NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
