Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.0000069 0.00% NE,0.0000069 0.44% ⋀,0.0000068 0.88% ⋀,0.0000068 1.62% ⋀,0.0000068 1.92% ⋀,0.0000068 2.07% ⋀,0.0000070 -0.72% ⋁
Exponential Moving Average (10),0.0000069 0.06% ⋀,0.0000069 0.37% ⋀,0.0000068 0.88% ⋀,0.0000068 1.26% ⋀,0.0000068 1.25% ⋀,0.0000068 1.44% ⋀,0.0000070 -1.26% ⋁
Simple Moving Average (20),0.0000069 0.22% ⋀,0.0000069 0.66% ⋀,0.0000068 1.85% ⋀,0.0000067 2.30% ⋀,0.0000068 1.69% ⋀,0.0000069 0.44% ⋀,0.0000072 -4.63% ⋁
Exponential Moving Average (20),0.0000069 0.25% ⋀,0.0000069 0.67% ⋀,0.0000068 1.50% ⋀,0.0000068 1.67% ⋀,0.0000068 1.05% ⋀,0.0000069 0.69% ⋀,0.0000072 -3.87% ⋁
Simple Moving Average (30),0.0000069 0.58% ⋀,0.0000068 0.93% ⋀,0.0000067 2.27% ⋀,0.0000068 1.97% ⋀,0.0000069 0.29% ⋀,0.0000069 -0.48% ⋁,0.0000075 -8.20% ⋁
Exponential Moving Average (30),0.0000069 0.40% ⋀,0.0000068 0.91% ⋀,0.0000068 1.76% ⋀,0.0000068 1.56% ⋀,0.0000069 0.51% ⋀,0.0000069 -0.25% ⋁,0.0000073 -5.24% ⋁
Simple Moving Average (50),0.0000069 0.73% ⋀,0.0000068 1.41% ⋀,0.0000067 2.37% ⋀,0.0000068 1.20% ⋀,0.0000069 -0.43% ⋁,0.0000070 -1.26% ⋁,0.0000075 -8.05% ⋁
Exponential Moving Average (50),0.0000069 0.62% ⋀,0.0000068 1.30% ⋀,0.0000068 1.77% ⋀,0.0000068 0.99% ⋀,0.0000070 -0.72% ⋁,0.0000071 -2.14% ⋁,0.0000074 -6.75% ⋁
Simple Moving Average (100),0.0000068 1.08% ⋀,0.0000068 2.21% ⋀,0.0000068 1.14% ⋀,0.0000069 -0.46% ⋁,0.0000071 -3.46% ⋁,0.0000075 -8.46% ⋁,0.0000075 -7.42% ⋁
Exponential Moving Average (100),0.0000068 1.04% ⋀,0.0000068 1.80% ⋀,0.0000068 1.17% ⋀,0.0000069 -0.63% ⋁,0.0000071 -3.15% ⋁,0.0000073 -5.13% ⋁,0.0000077 -10.73% ⋁
Simple Moving Average (200),0.0000068 1.82% ⋀,0.0000067 2.35% ⋀,0.0000069 -0.51% ⋁,0.0000072 -3.55% ⋁,0.0000075 -7.92% ⋁,0.0000075 -7.85% ⋁,0.0000087 -20.45% ⋁
Exponential Moving Average (200),0.0000068 1.61% ⋀,0.0000068 1.93% ⋀,0.0000069 -0.16% ⋁,0.0000073 -4.85% ⋁,0.0000073 -5.42% ⋁,0.0000073 -5.43% ⋁,0.0000096 -28.03% ⋁
Summary,Up: 11 Down: 0 Neutral: 1,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 4 Down: 8 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),55.70NE,55.44NE,63.83NE,61.91NE,54.18NE,50.18NE,44.97NE
"Stochastic K (14,3,3)",100.00OB,100.00OB,100.00OB,88.89OB,83.33OB,50.56NE,13.73OS
Commodity Channel Index (20),95.24NE,175.76OB,108.77OB,161.29OB,96.69NE,-18.52NE,-77.99NE
Williams %R (14),0.00OB,0.00OB,0.00OB,0.00OB,0.00OB,-25.00NE,-82.35OS
"Bollinger Bands Upper / Lower (20,2,2)",0.00000690.0000069OB,0.00000690.0000069OB,0.00000680.0000068OB,0.00000670.0000067OB,0.00000680.0000068OB,0.00000720.0000065NE,0.00000810.0000063NE
Summary,OB: 3 OS: 0 NE: 2,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 3 OS: 0 NE: 2,OB: 0 OS: 0 NE: 5,OB: 0 OS: 2 NE: 3
