Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),6.8603 -0.20% ⋁,6.8285 0.27% ⋀,6.7003 2.19% ⋀,6.6038 3.68% ⋀,6.4401 6.32% ⋀,6.2482 9.58% ⋀,6.1421 11.47% ⋀
Exponential Moving Average (10),6.8474 -0.01% ⋁,6.8159 0.45% ⋀,6.7076 2.08% ⋀,6.6206 3.42% ⋀,6.5020 5.30% ⋀,6.3431 7.94% ⋀,6.3179 8.37% ⋀
Simple Moving Average (20),6.8202 0.39% ⋀,6.7055 2.11% ⋀,6.5544 4.46% ⋀,6.3627 7.61% ⋀,6.1545 11.25% ⋀,6.0955 12.33% ⋀,6.2944 8.78% ⋀
Exponential Moving Average (20),6.8250 0.32% ⋀,6.7551 1.36% ⋀,6.5774 4.10% ⋀,6.4362 6.38% ⋀,6.3095 8.52% ⋀,6.2026 10.39% ⋀,6.6994 2.20% ⋀
Simple Moving Average (30),6.8066 0.59% ⋀,6.6905 2.34% ⋀,6.4228 6.60% ⋀,6.2284 9.93% ⋀,6.1156 11.96% ⋀,6.1146 11.97% ⋀,6.9727 -1.81% ⋁
Exponential Moving Average (30),6.8007 0.68% ⋀,6.7121 2.01% ⋀,6.4772 5.71% ⋀,6.3268 8.22% ⋀,6.2303 9.90% ⋀,6.1782 10.82% ⋀,7.3465 -6.80% ⋁
Simple Moving Average (50),6.7300 1.74% ⋀,6.6565 2.86% ⋀,6.2688 9.22% ⋀,6.0942 12.35% ⋀,6.1015 12.21% ⋀,6.1041 12.17% ⋀,9.4185 -27.30% ⋁
Exponential Moving Average (50),6.7606 1.28% ⋀,6.6407 3.10% ⋀,6.3431 7.94% ⋀,6.2190 10.10% ⋀,6.2068 10.31% ⋀,6.2805 9.02% ⋀,8.4358 -18.84% ⋁
Simple Moving Average (100),6.6827 2.46% ⋀,6.4593 6.00% ⋀,6.0829 12.56% ⋀,6.0892 12.44% ⋀,6.2587 9.40% ⋀,6.7189 1.90% ⋀,11.0935 -38.28% ⋁
Exponential Moving Average (100),6.6874 2.38% ⋀,6.4998 5.34% ⋀,6.1971 10.48% ⋀,6.1813 10.77% ⋀,6.4710 5.81% ⋀,7.1882 -4.75% ⋁,9.1599 -25.25% ⋁
Simple Moving Average (200),6.5704 4.21% ⋀,6.2527 9.50% ⋀,6.0834 12.55% ⋀,6.2561 9.44% ⋀,7.2810 -5.96% ⋁,9.5193 -28.07% ⋁,8.1344 -15.83% ⋁
Exponential Moving Average (200),6.5682 4.24% ⋀,6.2949 8.77% ⋀,6.1337 11.63% ⋀,6.4592 6.00% ⋀,8.0294 -14.73% ⋁,8.9892 -23.83% ⋁,8.9088 -23.15% ⋁
Summary,Up: 10 Down: 2 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 4 Down: 8 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),54.88NE,60.20NE,67.41NE,70.74OB,71.92OB,71.23OB,46.67NE
"Stochastic K (14,3,3)",59.61NE,83.92OB,87.74OB,86.46OB,88.46OB,83.97OB,61.32NE
Commodity Channel Index (20),37.14NE,81.42NE,125.79OB,139.18OB,171.87OB,231.58OB,114.33OB
Williams %R (14),-44.20NE,-25.72NE,-17.50OB,-12.34OB,-9.32OB,-7.70OB,-7.48OB
"Bollinger Bands Upper / Lower (20,2,2)",6.92546.7150NE,7.00436.4066NE,6.94716.1616NE,6.92765.7979NE,6.87445.4345NE,6.66455.5265OB,7.06125.5276NE
Summary,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 3 OS: 0 NE: 2,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 5 OS: 0 NE: 0,OB: 2 OS: 0 NE: 3
