Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),9.506 -0.13% ⋁,9.504 -0.11% ⋁,9.508 -0.15% ⋁,9.510 -0.17% ⋁,9.427 0.71% ⋀,9.292 2.18% ⋀,9.290 2.19% ⋀
Exponential Moving Average (10),9.498 -0.04% ⋁,9.488 0.06% ⋀,9.495 -0.01% ⋁,9.474 0.21% ⋀,9.422 0.77% ⋀,9.336 1.69% ⋀,9.474 0.21% ⋀
Simple Moving Average (20),9.489 0.05% ⋀,9.459 0.37% ⋀,9.501 -0.07% ⋁,9.378 1.23% ⋀,9.213 3.05% ⋀,9.213 3.05% ⋀,9.802 -3.14% ⋁
Exponential Moving Average (20),9.495 -0.01% ⋁,9.486 0.09% ⋀,9.469 0.27% ⋀,9.393 1.07% ⋀,9.330 1.76% ⋀,9.291 2.18% ⋀,10.266 -7.52% ⋁
Simple Moving Average (30),9.505 -0.12% ⋁,9.484 0.11% ⋀,9.437 0.60% ⋀,9.276 2.35% ⋀,9.228 2.89% ⋀,9.297 2.12% ⋀,11.537 -17.71% ⋁
Exponential Moving Average (30),9.491 0.03% ⋀,9.488 0.06% ⋀,9.426 0.72% ⋀,9.335 1.70% ⋀,9.310 1.98% ⋀,9.352 1.52% ⋀,11.027 -13.90% ⋁
Simple Moving Average (50),9.466 0.30% ⋀,9.518 -0.25% ⋁,9.327 1.79% ⋀,9.193 3.27% ⋀,9.285 2.25% ⋀,9.373 1.29% ⋀,13.272 -28.47% ⋁
Exponential Moving Average (50),9.487 0.07% ⋀,9.486 0.08% ⋀,9.352 1.52% ⋀,9.289 2.21% ⋀,9.415 0.84% ⋀,9.674 -1.86% ⋁,11.916 -20.33% ⋁
Simple Moving Average (100),9.497 -0.03% ⋁,9.468 0.27% ⋀,9.192 3.29% ⋀,9.276 2.35% ⋀,9.687 -1.99% ⋁,11.015 -13.81% ⋁,12.921 -26.52% ⋁
Exponential Moving Average (100),9.489 0.05% ⋀,9.444 0.53% ⋀,9.284 2.26% ⋀,9.376 1.26% ⋀,10.104 -6.04% ⋁,10.838 -12.40% ⋁,12.158 -21.91% ⋁
Simple Moving Average (200),9.504 -0.11% ⋁,9.319 1.88% ⋀,9.277 2.34% ⋀,9.689 -2.02% ⋁,11.996 -20.86% ⋁,13.365 -28.96% ⋁,11.137 -14.76% ⋁
Exponential Moving Average (200),9.475 0.20% ⋀,9.316 1.91% ⋀,9.317 1.90% ⋀,10.245 -7.33% ⋁,11.633 -18.39% ⋁,11.982 -20.76% ⋁,12.123 -21.69% ⋁
Summary,Up: 6 Down: 6 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),50.48NE,50.79NE,54.37NE,57.84NE,58.01NE,55.18NE,39.50NE
"Stochastic K (14,3,3)",55.32NE,62.14NE,60.53NE,70.19NE,82.23OB,84.34OB,34.40NE
Commodity Channel Index (20),3.85NE,42.76NE,6.86NE,64.77NE,96.43NE,107.91OB,-36.77NE
Williams %R (14),-38.89NE,-43.66NE,-42.94NE,-32.71NE,-18.02OB,-13.88OB,-45.46NE
"Bollinger Bands Upper / Lower (20,2,2)",9.5539.425NE,9.5749.345NE,9.6349.367NE,9.6889.069NE,9.7288.697NE,9.6228.804NE,11.3728.232NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 0 OS: 0 NE: 5
