Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00001431 -0.92% ⋁,0.00001432 -0.98% ⋁,0.00001454 -2.44% ⋁,0.00001455 -2.54% ⋁,0.00001407 0.80% ⋀,0.00001271 11.53% ⋀,0.00001166 21.61% ⋀
Exponential Moving Average (10),0.00001430 -0.81% ⋁,0.00001434 -1.09% ⋁,0.00001448 -2.09% ⋁,0.00001432 -0.96% ⋁,0.00001371 3.41% ⋀,0.00001315 7.83% ⋀,0.00001238 14.54% ⋀
Simple Moving Average (20),0.00001430 -0.82% ⋁,0.00001442 -1.69% ⋁,0.00001463 -3.05% ⋁,0.00001388 2.15% ⋀,0.00001226 15.65% ⋀,0.00001172 20.99% ⋀,0.00001192 18.97% ⋀
Exponential Moving Average (20),0.00001433 -1.01% ⋁,0.00001442 -1.67% ⋁,0.00001435 -1.19% ⋁,0.00001372 3.34% ⋀,0.00001284 10.42% ⋀,0.00001227 15.56% ⋀,0.00001246 13.77% ⋀
Simple Moving Average (30),0.00001437 -1.29% ⋁,0.00001448 -2.10% ⋁,0.00001425 -0.52% ⋁,0.00001272 11.45% ⋀,0.00001179 20.23% ⋀,0.00001142 24.17% ⋀,0.00001331 6.52% ⋀
Exponential Moving Average (30),0.00001436 -1.23% ⋁,0.00001448 -2.06% ⋁,0.00001403 1.06% ⋀,0.00001318 7.55% ⋀,0.00001235 14.82% ⋀,0.00001193 18.86% ⋀,0.00001288 10.07% ⋀
Simple Moving Average (50),0.00001445 -1.88% ⋁,0.00001469 -3.49% ⋁,0.00001307 8.52% ⋀,0.00001188 19.39% ⋀,0.00001137 24.69% ⋀,0.00001122 26.37% ⋀,0.00001369 3.55% ⋀
Exponential Moving Average (50),0.00001441 -1.60% ⋁,0.00001449 -2.14% ⋁,0.00001339 5.86% ⋀,0.00001250 13.42% ⋀,0.00001195 18.66% ⋀,0.00001186 19.59% ⋀,0.00001367 3.74% ⋀
Simple Moving Average (100),0.00001451 -2.27% ⋁,0.00001435 -1.21% ⋁,0.00001183 19.90% ⋀,0.00001133 25.17% ⋀,0.00001150 23.27% ⋀,0.00001277 11.03% ⋀,0.00001658 -14.48% ⋁
Exponential Moving Average (100),0.00001449 -2.16% ⋁,0.00001411 0.52% ⋀,0.00001244 14.01% ⋀,0.00001188 19.33% ⋀,0.00001210 17.14% ⋀,0.00001241 14.23% ⋀,0.00001444 -1.79% ⋁
Simple Moving Average (200),0.00001465 -3.19% ⋁,0.00001298 9.24% ⋀,0.00001130 25.47% ⋀,0.00001150 23.30% ⋀,0.00001342 5.65% ⋀,0.00001376 3.08% ⋀,0.00001418 0.02% ⋀
Exponential Moving Average (200),0.00001439 -1.47% ⋁,0.00001318 7.59% ⋀,0.00001176 20.53% ⋀,0.00001231 15.16% ⋀,0.00001276 11.12% ⋀,0.00001370 3.47% ⋀,0.00001526 -7.10% ⋁
Summary,Up: 0 Down: 12 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 9 Down: 3 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),34.20NE,38.18NE,50.66NE,58.45NE,70.46OB,68.84NE,59.39NE
"Stochastic K (14,3,3)",33.33NE,14.52OS,10.98OS,51.02NE,72.30NE,79.60NE,68.78NE
Commodity Channel Index (20),-165.91OS,-88.88NE,-99.70NE,31.40NE,71.24NE,119.71OB,132.40OB
Williams %R (14),-100.00OS,-100.00OS,-94.22OS,-58.42NE,-29.32NE,-29.11NE,-28.45NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000014300.00001430OS,0.000014780.00001407NE,0.000015320.00001393NE,0.000015990.00001178NE,0.000015930.00000859NE,0.000014960.00000848NE,0.000014730.00000911NE
Summary,OB: 0 OS: 3 NE: 2,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4
