Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00000428 -0.05% ⋁,0.00000429 -0.14% ⋁,0.00000429 -0.33% ⋁,0.00000425 0.63% ⋀,0.00000426 0.56% ⋀,0.00000426 0.49% ⋀,0.00000428 -0.09% ⋁
Exponential Moving Average (10),0.00000428 -0.01% ⋁,0.00000428 -0.02% ⋁,0.00000428 0.06% ⋀,0.00000426 0.42% ⋀,0.00000427 0.27% ⋀,0.00000426 0.46% ⋀,0.00000429 -0.22% ⋁
Simple Moving Average (20),0.00000429 -0.17% ⋁,0.00000428 0.02% ⋀,0.00000426 0.53% ⋀,0.00000425 0.75% ⋀,0.00000428 -0.08% ⋁,0.00000429 -0.27% ⋁,0.00000430 -0.35% ⋁
Exponential Moving Average (20),0.00000428 -0.06% ⋁,0.00000428 -0.05% ⋁,0.00000427 0.26% ⋀,0.00000426 0.47% ⋀,0.00000427 0.15% ⋀,0.00000427 0.20% ⋀,0.00000430 -0.47% ⋁
Simple Moving Average (30),0.00000428 -0.05% ⋁,0.00000429 -0.30% ⋁,0.00000425 0.71% ⋀,0.00000426 0.40% ⋀,0.00000429 -0.27% ⋁,0.00000428 0.04% ⋀,0.00000431 -0.67% ⋁
Exponential Moving Average (30),0.00000428 -0.08% ⋁,0.00000428 0.01% ⋀,0.00000427 0.34% ⋀,0.00000427 0.35% ⋀,0.00000428 0.09% ⋀,0.00000428 0.11% ⋀,0.00000431 -0.81% ⋁
Simple Moving Average (50),0.00000428 -0.06% ⋁,0.00000427 0.20% ⋀,0.00000426 0.56% ⋀,0.00000429 -0.13% ⋁,0.00000428 0.11% ⋀,0.00000427 0.22% ⋀,0.00000434 -1.47% ⋁
Exponential Moving Average (50),0.00000428 -0.06% ⋁,0.00000427 0.19% ⋀,0.00000427 0.28% ⋀,0.00000427 0.19% ⋀,0.00000428 0.05% ⋀,0.00000428 -0.05% ⋁,0.00000435 -1.70% ⋁
Simple Moving Average (100),0.00000427 0.24% ⋀,0.00000425 0.81% ⋀,0.00000429 -0.21% ⋁,0.00000428 0.11% ⋀,0.00000428 0.06% ⋀,0.00000431 -0.60% ⋁,0.00000448 -4.47% ⋁
Exponential Moving Average (100),0.00000427 0.16% ⋀,0.00000426 0.39% ⋀,0.00000427 0.13% ⋀,0.00000428 0.04% ⋀,0.00000429 -0.23% ⋁,0.00000430 -0.54% ⋁,0.00000446 -3.93% ⋁
Simple Moving Average (200),0.00000425 0.79% ⋀,0.00000427 0.34% ⋀,0.00000428 0.05% ⋀,0.00000428 0.00% ⋁,0.00000433 -1.13% ⋁,0.00000435 -1.55% ⋁,0.00000467 -8.35% ⋁
Exponential Moving Average (200),0.00000426 0.35% ⋀,0.00000427 0.17% ⋀,0.00000427 0.13% ⋀,0.00000429 -0.31% ⋁,0.00000431 -0.77% ⋁,0.00000434 -1.35% ⋁,0.00000474 -9.69% ⋁
Summary,Up: 4 Down: 8 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),48.52NE,49.85NE,52.02NE,52.13NE,50.42NE,50.62NE,47.82NE
"Stochastic K (14,3,3)",70.00NE,63.33NE,34.62NE,34.57NE,32.10NE,14.18OS,32.12NE
Commodity Channel Index (20),-38.27NE,-11.56NE,28.18NE,53.44NE,-12.87NE,-52.37NE,-74.82NE
Williams %R (14),-30.00NE,-30.00NE,-65.38NE,-62.96NE,-62.96NE,-78.72NE,-67.27NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000004290.00000429OS,0.000004280.00000428OB,0.000004260.00000426OB,0.000004250.00000425OB,0.000004280.00000428OS,0.000004290.00000429OS,0.000004300.00000430OS
Summary,OB: 0 OS: 1 NE: 4,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 2 NE: 3,OB: 0 OS: 1 NE: 4
