Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00006460 1.04% ⋀,0.00006399 2.00% ⋀,0.00006348 2.82% ⋀,0.00006334 3.04% ⋀,0.00006264 4.20% ⋀,0.00006134 6.41% ⋀,0.00005991 8.94% ⋀
Exponential Moving Average (10),0.00006457 1.09% ⋀,0.00006417 1.72% ⋀,0.00006364 2.56% ⋀,0.00006338 2.98% ⋀,0.00006287 3.82% ⋀,0.00006186 5.51% ⋀,0.00006146 6.19% ⋀
Simple Moving Average (20),0.00006413 1.77% ⋀,0.00006345 2.87% ⋀,0.00006297 3.65% ⋀,0.00006224 4.87% ⋀,0.00006063 7.65% ⋀,0.00006002 8.76% ⋀,0.00006215 5.03% ⋀
Exponential Moving Average (20),0.00006423 1.62% ⋀,0.00006374 2.41% ⋀,0.00006300 3.60% ⋀,0.00006236 4.67% ⋀,0.00006159 5.97% ⋀,0.00006072 7.50% ⋀,0.00006266 4.17% ⋀
Simple Moving Average (30),0.00006384 2.25% ⋀,0.00006336 3.02% ⋀,0.00006239 4.62% ⋀,0.00006123 6.60% ⋀,0.00006027 8.30% ⋀,0.00005973 9.27% ⋀,0.00006541 -0.21% ⋁
Exponential Moving Average (30),0.00006399 2.00% ⋀,0.00006351 2.77% ⋀,0.00006249 4.46% ⋀,0.00006165 5.86% ⋀,0.00006097 7.06% ⋀,0.00006046 7.96% ⋀,0.00006413 1.78% ⋀
Simple Moving Average (50),0.00006340 2.95% ⋀,0.00006312 3.40% ⋀,0.00006145 6.21% ⋀,0.00005996 8.86% ⋀,0.00005956 9.58% ⋀,0.00005948 9.74% ⋀,0.00006785 -3.80% ⋁
Exponential Moving Average (50),0.00006371 2.45% ⋀,0.00006320 3.28% ⋀,0.00006169 5.81% ⋀,0.00006085 7.27% ⋀,0.00006069 7.55% ⋀,0.00006101 6.98% ⋀,0.00006652 -1.87% ⋁
Simple Moving Average (100),0.00006334 3.05% ⋀,0.00006253 4.38% ⋀,0.00005982 9.11% ⋀,0.00005940 9.88% ⋀,0.00006090 7.17% ⋀,0.00006479 0.75% ⋀,0.00007100 -8.08% ⋁
Exponential Moving Average (100),0.00006336 3.01% ⋀,0.00006255 4.35% ⋀,0.00006056 7.77% ⋀,0.00006045 7.97% ⋀,0.00006194 5.38% ⋀,0.00006353 2.74% ⋀,0.00007099 -8.06% ⋁
Simple Moving Average (200),0.00006289 3.78% ⋀,0.00006132 6.44% ⋀,0.00005934 10.00% ⋀,0.00006091 7.16% ⋀,0.00006640 -1.70% ⋁,0.00006843 -4.61% ⋁,0.00007963 -18.03% ⋁
Exponential Moving Average (200),0.00006288 3.80% ⋀,0.00006127 6.52% ⋀,0.00005995 8.88% ⋀,0.00006263 4.21% ⋀,0.00006485 0.65% ⋀,0.00006622 -1.43% ⋁,0.00007423 -12.07% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 5 Down: 7 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),80.56OB,77.60OB,69.52NE,70.72OB,66.60NE,65.99NE,53.26NE
"Stochastic K (14,3,3)",92.49OB,94.77OB,51.71NE,61.40NE,73.67NE,74.86NE,66.48NE
Commodity Channel Index (20),129.61OB,191.75OB,211.32OB,166.28OB,139.53OB,165.35OB,29.12NE
Williams %R (14),0.00OB,0.00OB,-33.93NE,-27.13NE,-18.72OB,-15.72OB,-13.77OB
"Bollinger Bands Upper / Lower (20,2,2)",0.000065260.00006301OB,0.000064960.00006194OB,0.000064660.00006128OB,0.000064910.00005957OB,0.000065850.00005541NE,0.000064530.00005550OB,0.000070950.00005334NE
Summary,OB: 5 OS: 0 NE: 0,OB: 5 OS: 0 NE: 0,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 1 OS: 0 NE: 4
