Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00000033 -0.30% ⋁,0.00000033 -0.60% ⋁,0.00000033 -0.90% ⋁,0.00000033 -0.30% ⋁,0.00000033 0.30% ⋀,0.00000032 1.85% ⋀,0.00000033 1.23% ⋀
Exponential Moving Average (10),0.00000033 -0.48% ⋁,0.00000033 -0.26% ⋁,0.00000033 -0.39% ⋁,0.00000033 -0.20% ⋁,0.00000033 0.62% ⋀,0.00000033 1.12% ⋀,0.00000033 0.11% ⋀
Simple Moving Average (20),0.00000033 -0.15% ⋁,0.00000033 -0.30% ⋁,0.00000033 0.15% ⋀,0.00000033 0.76% ⋀,0.00000032 2.17% ⋀,0.00000032 2.33% ⋀,0.00000034 -1.64% ⋁
Exponential Moving Average (20),0.00000033 -0.41% ⋁,0.00000033 -0.37% ⋁,0.00000033 -0.04% ⋁,0.00000033 0.61% ⋀,0.00000033 1.36% ⋀,0.00000032 1.69% ⋀,0.00000034 -2.49% ⋁
Simple Moving Average (30),0.00000033 -0.60% ⋁,0.00000033 -0.50% ⋁,0.00000033 0.20% ⋀,0.00000032 2.06% ⋀,0.00000032 2.06% ⋀,0.00000032 2.06% ⋀,0.00000036 -9.51% ⋁
Exponential Moving Average (30),0.00000033 -0.41% ⋁,0.00000033 -0.33% ⋁,0.00000033 0.36% ⋀,0.00000033 1.14% ⋀,0.00000032 1.58% ⋀,0.00000033 1.52% ⋀,0.00000034 -3.86% ⋁
Simple Moving Average (50),0.00000033 -0.24% ⋁,0.00000033 -0.24% ⋁,0.00000033 1.54% ⋀,0.00000032 2.23% ⋀,0.00000032 1.98% ⋀,0.00000032 1.66% ⋀,0.00000035 -5.66% ⋁
Exponential Moving Average (50),0.00000033 -0.40% ⋁,0.00000033 -0.12% ⋁,0.00000033 0.96% ⋀,0.00000032 1.61% ⋀,0.00000033 1.12% ⋀,0.00000033 0.17% ⋀,0.00000035 -4.63% ⋁
Simple Moving Average (100),0.00000033 -0.45% ⋁,0.00000033 0.43% ⋀,0.00000032 1.98% ⋀,0.00000032 2.17% ⋀,0.00000033 -0.42% ⋁,0.00000035 -6.67% ⋁,0.00000034 -3.37% ⋁
Exponential Moving Average (100),0.00000033 -0.22% ⋁,0.00000033 0.56% ⋀,0.00000032 1.61% ⋀,0.00000033 1.27% ⋀,0.00000034 -1.72% ⋁,0.00000034 -2.29% ⋁,0.00000035 -5.63% ⋁
Simple Moving Average (200),0.00000033 0.43% ⋀,0.00000032 2.04% ⋀,0.00000032 2.06% ⋀,0.00000033 -0.42% ⋁,0.00000036 -8.81% ⋁,0.00000035 -4.95% ⋁,0.00000037 -9.61% ⋁
Exponential Moving Average (200),0.00000033 0.18% ⋀,0.00000033 1.36% ⋀,0.00000032 1.54% ⋀,0.00000034 -2.98% ⋁,0.00000034 -2.50% ⋁,0.00000034 -2.24% ⋁,0.00000038 -13.03% ⋁
Summary,Up: 2 Down: 10 Neutral: 0,Up: 4 Down: 8 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),47.68NE,48.28NE,50.76NE,51.99NE,53.13NE,55.36NE,45.48NE
"Stochastic K (14,3,3)",33.33NE,50.00NE,50.00NE,66.67NE,66.67NE,66.67NE,48.57NE
Commodity Channel Index (20),-47.62NE,41.27NE,68.03NE,112.90OB,113.99OB,118.46OB,-28.67NE
Williams %R (14),-100.00OS,-50.00NE,-50.00NE,-50.00NE,-33.33NE,-33.33NE,-40.00NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000000330.00000033OS,0.000000330.00000033OS,0.000000330.00000033OB,0.000000330.00000033OB,0.000000320.00000032OB,0.000000320.00000032OB,0.000000340.00000034OS
Summary,OB: 0 OS: 2 NE: 3,OB: 0 OS: 1 NE: 4,OB: 1 OS: 0 NE: 4,OB: 2 OS: 0 NE: 3,OB: 2 OS: 0 NE: 3,OB: 2 OS: 0 NE: 3,OB: 0 OS: 1 NE: 4
