Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.12210 -0.63% ⋁,0.12228 -0.78% ⋁,0.12196 -0.52% ⋁,0.12195 -0.50% ⋁,0.12368 -1.90% ⋁,0.12427 -2.37% ⋁,0.12724 -4.64% ⋁
Exponential Moving Average (10),0.12194 -0.50% ⋁,0.12212 -0.65% ⋁,0.12178 -0.37% ⋁,0.12210 -0.63% ⋁,0.12301 -1.37% ⋁,0.12435 -2.43% ⋁,0.12478 -2.77% ⋁
Simple Moving Average (20),0.12206 -0.60% ⋁,0.12227 -0.77% ⋁,0.12212 -0.65% ⋁,0.12354 -1.79% ⋁,0.12397 -2.13% ⋁,0.12920 -6.09% ⋁,0.12100 0.27% ⋀
Exponential Moving Average (20),0.12208 -0.61% ⋁,0.12222 -0.73% ⋁,0.12222 -0.73% ⋁,0.12312 -1.45% ⋁,0.12477 -2.76% ⋁,0.12594 -3.66% ⋁,0.12305 -1.39% ⋁
Simple Moving Average (30),0.12218 -0.70% ⋁,0.12235 -0.84% ⋁,0.12289 -1.27% ⋁,0.12376 -1.97% ⋁,0.12833 -5.46% ⋁,0.12926 -6.13% ⋁,0.11850 2.39% ⋀
Exponential Moving Average (30),0.12215 -0.67% ⋁,0.12227 -0.77% ⋁,0.12265 -1.07% ⋁,0.12412 -2.24% ⋁,0.12551 -3.33% ⋁,0.12568 -3.46% ⋁,0.12333 -1.62% ⋁
Simple Moving Average (50),0.12234 -0.82% ⋁,0.12225 -0.76% ⋁,0.12344 -1.71% ⋁,0.12613 -3.81% ⋁,0.12746 -4.81% ⋁,0.12211 -0.64% ⋁,0.12196 -0.52% ⋁
Exponential Moving Average (50),0.12224 -0.74% ⋁,0.12238 -0.86% ⋁,0.12358 -1.82% ⋁,0.12540 -3.25% ⋁,0.12508 -3.00% ⋁,0.12410 -2.23% ⋁,0.12455 -2.58% ⋁
Simple Moving Average (100),0.12231 -0.80% ⋁,0.12275 -1.16% ⋁,0.12597 -3.69% ⋁,0.12765 -4.95% ⋁,0.12135 -0.01% ⋁,0.11879 2.14% ⋀,0.12460 -2.63% ⋁
Exponential Moving Average (100),0.12247 -0.93% ⋁,0.12271 -1.13% ⋁,0.12493 -2.88% ⋁,0.12552 -3.34% ⋁,0.12275 -1.16% ⋁,0.12241 -0.88% ⋁,0.11934 1.67% ⋀
Simple Moving Average (200),0.12302 -1.37% ⋁,0.12346 -1.72% ⋁,0.12747 -4.82% ⋁,0.12160 -0.22% ⋁,0.11860 2.30% ⋀,0.12231 -0.80% ⋁,0.09739 24.58% ⋀
Exponential Moving Average (200),0.12296 -1.33% ⋁,0.12381 -2.01% ⋁,0.12316 -1.48% ⋁,0.12282 -1.22% ⋁,0.12275 -1.16% ⋁,0.13256 -8.47% ⋁,0.13828 -12.26% ⋁
Summary,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 1 Down: 11 Neutral: 0,Up: 1 Down: 11 Neutral: 0,Up: 4 Down: 8 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),45.16NE,45.80NE,45.33NE,43.84NE,43.40NE,43.72NE,49.08NE
"Stochastic K (14,3,3)",20.60NE,27.26NE,16.71OS,12.82OS,10.80OS,7.39OS,32.76NE
Commodity Channel Index (20),-58.97NE,-59.73NE,-98.19NE,-118.21OS,-113.47OS,-83.27NE,-9.81NE
Williams %R (14),-83.93OS,-83.93OS,-85.11OS,-85.98OS,-89.38OS,-93.29OS,-71.59NE
"Bollinger Bands Upper / Lower (20,2,2)",0.123480.12063NE,0.123980.12057NE,0.124090.12016NE,0.127870.11921NE,0.128260.11968NE,0.143600.11480NE,0.143400.09859NE
Summary,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 2 NE: 3,OB: 0 OS: 3 NE: 2,OB: 0 OS: 3 NE: 2,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5
