Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00000935 -1.29% ⋁,0.00000948 -2.61% ⋁,0.00000906 1.82% ⋀,0.00000897 2.89% ⋀,0.00000889 3.79% ⋀,0.00000878 5.15% ⋀,0.00000893 3.34% ⋀
Exponential Moving Average (10),0.00000936 -1.38% ⋁,0.00000937 -1.51% ⋁,0.00000913 1.12% ⋀,0.00000901 2.41% ⋀,0.00000897 2.93% ⋀,0.00000889 3.87% ⋀,0.00000906 1.91% ⋀
Simple Moving Average (20),0.00000952 -3.02% ⋁,0.00000920 0.30% ⋀,0.00000895 3.12% ⋀,0.00000882 4.60% ⋀,0.00000881 4.74% ⋀,0.00000890 3.67% ⋀,0.00000926 -0.30% ⋁
Exponential Moving Average (20),0.00000939 -1.76% ⋁,0.00000926 -0.36% ⋁,0.00000900 2.56% ⋀,0.00000891 3.65% ⋀,0.00000890 3.65% ⋀,0.00000888 3.90% ⋀,0.00000935 -1.29% ⋁
Simple Moving Average (30),0.00000943 -2.15% ⋁,0.00000910 1.43% ⋀,0.00000887 4.01% ⋀,0.00000877 5.28% ⋀,0.00000891 3.53% ⋀,0.00000892 3.52% ⋀,0.00001006 -8.22% ⋁
Exponential Moving Average (30),0.00000937 -1.44% ⋁,0.00000918 0.55% ⋀,0.00000893 3.35% ⋀,0.00000887 4.03% ⋀,0.00000890 3.66% ⋀,0.00000893 3.41% ⋀,0.00000956 -3.50% ⋁
Simple Moving Average (50),0.00000923 0.03% ⋀,0.00000901 2.45% ⋀,0.00000877 5.21% ⋀,0.00000885 4.24% ⋀,0.00000888 3.90% ⋀,0.00000894 3.20% ⋀,0.00000994 -7.17% ⋁
Exponential Moving Average (50),0.00000928 -0.54% ⋁,0.00000907 1.71% ⋀,0.00000887 4.02% ⋀,0.00000887 4.07% ⋀,0.00000897 2.92% ⋀,0.00000908 1.66% ⋀,0.00000983 -6.10% ⋁
Simple Moving Average (100),0.00000906 1.93% ⋀,0.00000890 3.72% ⋀,0.00000886 4.23% ⋀,0.00000887 4.09% ⋀,0.00000915 0.85% ⋀,0.00000976 -5.46% ⋁,0.00001032 -10.55% ⋁
Exponential Moving Average (100),0.00000913 1.06% ⋀,0.00000894 3.21% ⋀,0.00000885 4.35% ⋀,0.00000895 3.15% ⋀,0.00000928 -0.50% ⋁,0.00000941 -1.89% ⋁,0.00001022 -9.69% ⋁
Simple Moving Average (200),0.00000894 3.28% ⋀,0.00000877 5.29% ⋀,0.00000886 4.13% ⋀,0.00000916 0.81% ⋀,0.00001008 -8.46% ⋁,0.00000993 -7.03% ⋁,0.00001096 -15.81% ⋁
Exponential Moving Average (200),0.00000899 2.72% ⋀,0.00000886 4.15% ⋀,0.00000890 3.74% ⋀,0.00000937 -1.45% ⋁,0.00000953 -3.10% ⋁,0.00000965 -4.38% ⋁,0.00001134 -18.62% ⋁
Summary,Up: 5 Down: 7 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),40.51NE,51.31NE,61.33NE,67.85NE,63.27NE,62.44NE,45.82NE
"Stochastic K (14,3,3)",8.57OS,41.63NE,56.75NE,67.44NE,65.14NE,54.10NE,35.20NE
Commodity Channel Index (20),-109.51OS,14.89NE,142.26OB,203.03OB,203.81OB,148.83OB,12.62NE
Williams %R (14),-100.00OS,-67.96NE,-63.64NE,-54.26NE,-49.65NE,-49.65NE,-42.94NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000009870.00000916NE,0.000009840.00000856NE,0.000009390.00000851NE,0.000009230.00000842OB,0.000009220.00000840OB,0.000009330.00000848NE,0.000010160.00000836NE
Summary,OB: 0 OS: 3 NE: 2,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 2 OS: 0 NE: 3,OB: 2 OS: 0 NE: 3,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5
