Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00009518 -0.29% ⋁,0.00009401 0.95% ⋀,0.00009264 2.44% ⋀,0.00009155 3.66% ⋀,0.00008931 6.26% ⋀,0.00008754 8.41% ⋀,0.00008825 7.54% ⋀
Exponential Moving Average (10),0.00009495 -0.05% ⋁,0.00009413 0.82% ⋀,0.00009273 2.34% ⋀,0.00009184 3.33% ⋀,0.00009046 4.90% ⋀,0.00008917 6.43% ⋀,0.00008985 5.62% ⋀
Simple Moving Average (20),0.00009429 0.65% ⋀,0.00009283 2.23% ⋀,0.00009078 4.54% ⋀,0.00008854 7.19% ⋀,0.00008708 8.98% ⋀,0.00008728 8.74% ⋀,0.00009061 4.73% ⋀
Exponential Moving Average (20),0.00009447 0.46% ⋀,0.00009331 1.70% ⋀,0.00009113 4.14% ⋀,0.00008976 5.72% ⋀,0.00008867 7.03% ⋀,0.00008805 7.78% ⋀,0.00009298 2.07% ⋀
Simple Moving Average (30),0.00009390 1.07% ⋀,0.00009241 2.69% ⋀,0.00008928 6.30% ⋀,0.00008723 8.80% ⋀,0.00008727 8.74% ⋀,0.00008776 8.14% ⋀,0.00009944 -4.57% ⋁
Exponential Moving Average (30),0.00009405 0.91% ⋀,0.00009277 2.29% ⋀,0.00009000 5.45% ⋀,0.00008875 6.93% ⋀,0.00008810 7.71% ⋀,0.00008804 7.79% ⋀,0.00009642 -1.58% ⋁
Simple Moving Average (50),0.00009304 2.00% ⋀,0.00009200 3.15% ⋀,0.00008727 8.74% ⋀,0.00008700 9.08% ⋀,0.00008750 8.46% ⋀,0.00008737 8.61% ⋀,0.00010536 -9.93% ⋁
Exponential Moving Average (50),0.00009343 1.57% ⋀,0.00009188 3.29% ⋀,0.00008870 6.99% ⋀,0.00008795 7.90% ⋀,0.00008824 7.55% ⋀,0.00008940 6.15% ⋀,0.00010174 -6.73% ⋁
Simple Moving Average (100),0.00009234 2.77% ⋀,0.00008968 5.82% ⋀,0.00008685 9.27% ⋀,0.00008740 8.59% ⋀,0.00008905 6.57% ⋀,0.00009596 -1.10% ⋁,0.00011075 -14.31% ⋁
Exponential Moving Average (100),0.00009245 2.65% ⋀,0.00009014 5.28% ⋀,0.00008766 8.26% ⋀,0.00008798 7.86% ⋀,0.00009159 3.62% ⋀,0.00009459 0.33% ⋀,0.00011435 -17.01% ⋁
Simple Moving Average (200),0.00009095 4.35% ⋀,0.00008710 8.96% ⋀,0.00008730 8.71% ⋀,0.00008908 6.53% ⋀,0.00010147 -6.47% ⋁,0.00010570 -10.22% ⋁,0.00014087 -32.63% ⋁
Exponential Moving Average (200),0.00009100 4.29% ⋀,0.00008837 7.39% ⋀,0.00008734 8.65% ⋀,0.00009222 2.91% ⋀,0.00009787 -3.04% ⋁,0.00010013 -5.22% ⋁,0.00013311 -28.71% ⋁
Summary,Up: 10 Down: 2 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 4 Down: 8 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),62.56NE,72.26OB,76.66OB,77.40OB,73.76OB,70.66OB,49.30NE
"Stochastic K (14,3,3)",65.22NE,77.44NE,82.29OB,87.10OB,84.10OB,86.57OB,53.99NE
Commodity Channel Index (20),46.82NE,125.49OB,143.33OB,150.98OB,206.79OB,219.88OB,56.64NE
Williams %R (14),-41.18NE,-28.00NE,-17.50OB,-13.21OB,-10.94OB,-10.94OB,-10.00OB
"Bollinger Bands Upper / Lower (20,2,2)",0.000096380.00009219NE,0.000095790.00008987NE,0.000095690.00008587NE,0.000095700.00008137NE,0.000094120.00008004OB,0.000092960.00008159OB,0.000100640.00008059NE
Summary,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 5 OS: 0 NE: 0,OB: 5 OS: 0 NE: 0,OB: 1 OS: 0 NE: 4
