Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.07965 0.01% ⋀,0.07943 0.29% ⋀,0.07952 0.17% ⋀,0.07960 0.08% ⋀,0.07954 0.15% ⋀,0.07886 1.01% ⋀,0.08145 -2.20% ⋁
Exponential Moving Average (10),0.07961 0.07% ⋀,0.07942 0.30% ⋀,0.07949 0.22% ⋀,0.07952 0.17% ⋀,0.07945 0.26% ⋀,0.07920 0.58% ⋀,0.08142 -2.17% ⋁
Simple Moving Average (20),0.07940 0.33% ⋀,0.07912 0.68% ⋀,0.07955 0.13% ⋀,0.07929 0.46% ⋀,0.07864 1.30% ⋀,0.07927 0.49% ⋀,0.08497 -6.25% ⋁
Exponential Moving Average (20),0.07948 0.22% ⋀,0.07934 0.40% ⋀,0.07946 0.25% ⋀,0.07931 0.45% ⋀,0.07946 0.25% ⋀,0.07987 -0.26% ⋁,0.08511 -6.40% ⋁
Simple Moving Average (30),0.07941 0.31% ⋀,0.07928 0.48% ⋀,0.07950 0.20% ⋀,0.07886 1.01% ⋀,0.07932 0.43% ⋀,0.08090 -1.53% ⋁,0.08865 -10.14% ⋁
Exponential Moving Average (30),0.07940 0.33% ⋀,0.07936 0.37% ⋀,0.07935 0.38% ⋀,0.07924 0.53% ⋀,0.07997 -0.38% ⋁,0.08094 -1.58% ⋁,0.08807 -9.54% ⋁
Simple Moving Average (50),0.07912 0.68% ⋀,0.07955 0.14% ⋀,0.07906 0.76% ⋀,0.07896 0.89% ⋀,0.08140 -2.14% ⋁,0.08387 -5.02% ⋁,0.09631 -17.29% ⋁
Exponential Moving Average (50),0.07933 0.41% ⋀,0.07942 0.31% ⋀,0.07921 0.57% ⋀,0.07962 0.05% ⋀,0.08137 -2.10% ⋁,0.08307 -4.10% ⋁,0.09150 -12.94% ⋁
Simple Moving Average (100),0.07937 0.37% ⋀,0.07959 0.09% ⋀,0.07900 0.84% ⋀,0.08150 -2.26% ⋁,0.08543 -6.76% ⋁,0.08786 -9.33% ⋁,0.09710 -17.96% ⋁
Exponential Moving Average (100),0.07935 0.39% ⋀,0.07937 0.37% ⋀,0.07970 -0.05% ⋁,0.08140 -2.13% ⋁,0.08477 -6.03% ⋁,0.08779 -9.27% ⋁,0.09191 -13.33% ⋁
Simple Moving Average (200),0.07952 0.18% ⋀,0.07904 0.79% ⋀,0.08157 -2.34% ⋁,0.08549 -6.82% ⋁,0.09090 -12.37% ⋁,0.09692 -17.81% ⋁,0.08562 -6.96% ⋁
Exponential Moving Average (200),0.07946 0.26% ⋀,0.07896 0.88% ⋀,0.08173 -2.54% ⋁,0.08457 -5.81% ⋁,0.09094 -12.41% ⋁,0.09238 -13.77% ⋁,0.09159 -13.03% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),60.24NE,56.32NE,52.97NE,53.54NE,49.19NE,45.57NE,37.11NE
"Stochastic K (14,3,3)",71.96NE,85.27OB,62.44NE,63.85NE,80.11OB,70.97NE,23.26NE
Commodity Channel Index (20),63.20NE,109.04OB,35.77NE,63.10NE,82.99NE,-2.74NE,-97.15NE
Williams %R (14),-25.23NE,-17.76OB,-31.46NE,-31.46NE,-19.65OB,-21.38NE,-74.13NE
"Bollinger Bands Upper / Lower (20,2,2)",0.079970.07883NE,0.079890.07835NE,0.080440.07867NE,0.080450.07814NE,0.080910.07636NE,0.082130.07641NE,0.094320.07561NE
Summary,OB: 0 OS: 0 NE: 5,OB: 3 OS: 0 NE: 2,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
