Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.019330 0.00% ⋁,0.019329 0.00% ⋀,0.019362 -0.16% ⋁,0.019467 -0.71% ⋁,0.019458 -0.66% ⋁,0.019500 -0.87% ⋁,0.018838 2.61% ⋀
Exponential Moving Average (10),0.019333 -0.02% ⋁,0.019332 -0.01% ⋁,0.019360 -0.16% ⋁,0.019413 -0.43% ⋁,0.019442 -0.57% ⋁,0.019458 -0.66% ⋁,0.019070 1.37% ⋀
Simple Moving Average (20),0.019358 -0.14% ⋁,0.019331 -0.01% ⋁,0.019446 -0.60% ⋁,0.019469 -0.71% ⋁,0.019444 -0.59% ⋁,0.019375 -0.23% ⋁,0.018715 3.29% ⋀
Exponential Moving Average (20),0.019352 -0.11% ⋁,0.019346 -0.08% ⋁,0.019411 -0.42% ⋁,0.019456 -0.65% ⋁,0.019410 -0.41% ⋁,0.019255 0.39% ⋀,0.019153 0.92% ⋀
Simple Moving Average (30),0.019356 -0.13% ⋁,0.019356 -0.13% ⋁,0.019463 -0.69% ⋁,0.019500 -0.87% ⋁,0.019454 -0.64% ⋁,0.018901 2.27% ⋀,0.019579 -1.27% ⋁
Exponential Moving Average (30),0.019367 -0.19% ⋁,0.019364 -0.18% ⋁,0.019434 -0.54% ⋁,0.019442 -0.58% ⋁,0.019276 0.28% ⋀,0.019065 1.39% ⋀,0.019406 -0.39% ⋁
Simple Moving Average (50),0.019391 -0.32% ⋁,0.019417 -0.45% ⋁,0.019456 -0.65% ⋁,0.019603 -1.39% ⋁,0.018810 2.77% ⋀,0.018404 5.03% ⋀,0.020385 -5.18% ⋁
Exponential Moving Average (50),0.019392 -0.32% ⋁,0.019394 -0.33% ⋁,0.019436 -0.54% ⋁,0.019312 0.09% ⋀,0.019053 1.45% ⋀,0.018939 2.06% ⋀,0.019702 -1.89% ⋁
Simple Moving Average (100),0.019464 -0.69% ⋁,0.019469 -0.72% ⋁,0.019493 -0.83% ⋁,0.018722 3.25% ⋀,0.018529 4.32% ⋀,0.019153 0.92% ⋀,0.019480 -0.77% ⋁
Exponential Moving Average (100),0.019430 -0.52% ⋁,0.019432 -0.53% ⋁,0.019264 0.34% ⋀,0.019000 1.74% ⋀,0.019081 1.30% ⋀,0.019276 0.28% ⋀,0.019740 -2.08% ⋁
Simple Moving Average (200),0.019478 -0.76% ⋁,0.019459 -0.67% ⋁,0.018652 3.63% ⋀,0.018500 4.48% ⋀,0.019837 -2.55% ⋁,0.020426 -5.37% ⋁,0.019508 -0.91% ⋁
Exponential Moving Average (200),0.019439 -0.56% ⋁,0.019514 -0.94% ⋁,0.018884 2.36% ⋀,0.019114 1.13% ⋀,0.019646 -1.61% ⋁,0.019677 -1.77% ⋁,0.022233 -13.06% ⋁
Summary,Up: 0 Down: 12 Neutral: 0,Up: 1 Down: 11 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 4 Down: 8 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),48.97NE,48.76NE,47.20NE,47.59NE,50.13NE,52.01NE,49.98NE
"Stochastic K (14,3,3)",12.78OS,33.77NE,27.45NE,21.32NE,19.37OS,18.51OS,40.24NE
Commodity Channel Index (20),-6.48NE,-17.51NE,-129.88OS,-124.16OS,-58.12NE,-0.97NE,44.93NE
Williams %R (14),-84.90OS,-63.87NE,-70.74NE,-75.16NE,-80.74OS,-86.17OS,-59.55NE
"Bollinger Bands Upper / Lower (20,2,2)",0.0196230.019093NE,0.0195270.019135NE,0.0197680.019124NE,0.0198230.019115NE,0.0200680.018821NE,0.0213220.017429NE,0.0208840.016546NE
Summary,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5
