Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.457 -0.02% ⋁,0.457 0.10% ⋀,0.459 -0.47% ⋁,0.459 -0.34% ⋁,0.459 -0.34% ⋁,0.456 0.28% ⋀,0.460 -0.69% ⋁
Exponential Moving Average (10),0.457 0.04% ⋀,0.457 0.03% ⋀,0.458 -0.18% ⋁,0.458 -0.20% ⋁,0.458 -0.07% ⋁,0.457 -0.03% ⋁,0.471 -2.87% ⋁
Simple Moving Average (20),0.457 0.10% ⋀,0.459 -0.31% ⋁,0.459 -0.41% ⋁,0.458 -0.15% ⋁,0.452 1.06% ⋀,0.460 -0.56% ⋁,0.491 -6.79% ⋁
Exponential Moving Average (20),0.457 -0.04% ⋁,0.458 -0.20% ⋁,0.459 -0.29% ⋁,0.457 -0.03% ⋁,0.458 -0.12% ⋁,0.460 -0.49% ⋁,0.506 -9.63% ⋁
Simple Moving Average (30),0.458 -0.08% ⋁,0.460 -0.64% ⋁,0.460 -0.53% ⋁,0.455 0.55% ⋀,0.460 -0.56% ⋁,0.464 -1.40% ⋁,0.567 -19.30% ⋁
Exponential Moving Average (30),0.458 -0.17% ⋁,0.459 -0.33% ⋁,0.458 -0.20% ⋁,0.457 0.03% ⋀,0.460 -0.49% ⋁,0.464 -1.51% ⋁,0.529 -13.53% ⋁
Simple Moving Average (50),0.460 -0.63% ⋁,0.460 -0.58% ⋁,0.457 0.09% ⋀,0.457 0.12% ⋀,0.461 -0.89% ⋁,0.471 -2.89% ⋁,0.611 -25.11% ⋁
Exponential Moving Average (50),0.459 -0.36% ⋁,0.459 -0.43% ⋁,0.457 -0.04% ⋁,0.458 -0.25% ⋁,0.466 -1.97% ⋁,0.481 -4.94% ⋁,0.531 -13.95% ⋁
Simple Moving Average (100),0.460 -0.68% ⋁,0.460 -0.62% ⋁,0.457 0.02% ⋀,0.461 -0.82% ⋁,0.486 -5.95% ⋁,0.528 -13.40% ⋁,0.451 1.35% ⋀
Exponential Moving Average (100),0.460 -0.54% ⋁,0.458 -0.25% ⋁,0.458 -0.08% ⋁,0.467 -1.99% ⋁,0.503 -9.12% ⋁,0.520 -11.99% ⋁,0.469 -2.56% ⋁
Simple Moving Average (200),0.460 -0.59% ⋁,0.455 0.50% ⋀,0.461 -0.83% ⋁,0.487 -6.06% ⋁,0.594 -22.97% ⋁,0.605 -24.44% ⋁,0.319 43.13% ⋀
Exponential Moving Average (200),0.458 -0.26% ⋁,0.457 -0.03% ⋁,0.465 -1.58% ⋁,0.497 -7.99% ⋁,0.546 -16.26% ⋁,0.506 -9.67% ⋁,0.380 20.25% ⋀
Summary,Up: 2 Down: 10 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 1 Down: 11 Neutral: 0,Up: 1 Down: 11 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),47.53NE,46.33NE,48.31NE,50.14NE,48.54NE,46.76NE,41.45NE
"Stochastic K (14,3,3)",55.61NE,30.71NE,27.68NE,12.06OS,10.25OS,15.59OS,15.45OS
Commodity Channel Index (20),29.87NE,-29.50NE,-50.30NE,-34.56NE,3.67NE,-37.74NE,-71.15NE
Williams %R (14),-49.37NE,-47.15NE,-66.95NE,-73.30NE,-90.08OS,-84.96OS,-81.29OS
"Bollinger Bands Upper / Lower (20,2,2)",0.4600.454NE,0.4660.452NE,0.4660.452NE,0.4660.450NE,0.4680.437NE,0.4840.436NE,0.5940.387NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 1 NE: 4,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3,OB: 0 OS: 2 NE: 3
