Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.0004728 0.03% ⋀,0.0004726 0.06% ⋀,0.0004744 -0.31% ⋁,0.0004749 -0.42% ⋁,0.0004721 0.17% ⋀,0.0004627 2.21% ⋀,0.0004661 1.46% ⋀
Exponential Moving Average (10),0.0004725 0.08% ⋀,0.0004723 0.13% ⋀,0.0004734 -0.11% ⋁,0.0004732 -0.05% ⋁,0.0004705 0.51% ⋀,0.0004662 1.44% ⋀,0.0004754 -0.52% ⋁
Simple Moving Average (20),0.0004717 0.26% ⋀,0.0004713 0.34% ⋀,0.0004747 -0.37% ⋁,0.0004695 0.73% ⋀,0.0004589 3.06% ⋀,0.0004600 2.81% ⋀,0.0005002 -5.46% ⋁
Exponential Moving Average (20),0.0004723 0.13% ⋀,0.0004725 0.08% ⋀,0.0004730 -0.01% ⋁,0.0004693 0.76% ⋀,0.0004662 1.44% ⋀,0.0004652 1.65% ⋀,0.0005150 -8.18% ⋁
Simple Moving Average (30),0.0004726 0.07% ⋀,0.0004731 -0.04% ⋁,0.0004731 -0.04% ⋁,0.0004623 2.28% ⋀,0.0004605 2.70% ⋀,0.0004669 1.29% ⋀,0.0005682 -16.77% ⋁
Exponential Moving Average (30),0.0004722 0.15% ⋀,0.0004730 -0.01% ⋁,0.0004711 0.39% ⋀,0.0004664 1.39% ⋀,0.0004661 1.46% ⋀,0.0004699 0.64% ⋀,0.0005504 -14.08% ⋁
Simple Moving Average (50),0.0004713 0.33% ⋀,0.0004747 -0.37% ⋁,0.0004660 1.49% ⋀,0.0004588 3.08% ⋀,0.0004667 1.33% ⋀,0.0004763 -0.72% ⋁,0.0006536 -27.64% ⋁
Exponential Moving Average (50),0.0004723 0.12% ⋀,0.0004734 -0.12% ⋁,0.0004675 1.16% ⋀,0.0004648 1.74% ⋀,0.0004728 0.01% ⋀,0.0004883 -3.16% ⋁,0.0005873 -19.48% ⋁
Simple Moving Average (100),0.0004738 -0.18% ⋁,0.0004752 -0.49% ⋁,0.0004590 3.03% ⋀,0.0004667 1.34% ⋀,0.0004959 -4.64% ⋁,0.0005458 -13.35% ⋁,0.0006030 -21.57% ⋁
Exponential Moving Average (100),0.0004730 -0.03% ⋁,0.0004720 0.19% ⋀,0.0004647 1.77% ⋀,0.0004726 0.05% ⋀,0.0005106 -7.38% ⋁,0.0005427 -12.87% ⋁,0.0005904 -19.91% ⋁
Simple Moving Average (200),0.0004745 -0.34% ⋁,0.0004656 1.58% ⋀,0.0004668 1.30% ⋀,0.0004967 -4.79% ⋁,0.0006049 -21.83% ⋁,0.0006613 -28.49% ⋁,0.0005397 -12.37% ⋁
Exponential Moving Average (200),0.0004741 -0.26% ⋁,0.0004653 1.63% ⋀,0.0004701 0.59% ⋀,0.0005102 -7.31% ⋁,0.0005813 -18.65% ⋁,0.0005904 -19.90% ⋁,0.0006252 -24.36% ⋁
Summary,Up: 8 Down: 4 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 1 Down: 11 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),54.51NE,50.21NE,51.52NE,55.43NE,55.08NE,52.72NE,37.91NE
"Stochastic K (14,3,3)",77.59NE,61.18NE,43.08NE,42.85NE,65.90NE,71.44NE,30.92NE
Commodity Channel Index (20),55.86NE,52.14NE,-50.94NE,28.45NE,73.32NE,71.43NE,-56.56NE
Williams %R (14),-17.24OB,-41.67NE,-53.33NE,-59.13NE,-35.11NE,-28.21NE,-59.47NE
"Bollinger Bands Upper / Lower (20,2,2)",0.00047440.0004690NE,0.00047600.0004666NE,0.00048110.0004682NE,0.00048750.0004514NE,0.00049000.0004277NE,0.00048400.0004360NE,0.00058650.0004139NE
Summary,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
