Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.27219 0.63% ⋀,0.27075 1.16% ⋀,0.27032 1.32% ⋀,0.27157 0.86% ⋀,0.27139 0.92% ⋀,0.26749 2.40% ⋀,0.26237 4.39% ⋀
Exponential Moving Average (10),0.27231 0.58% ⋀,0.27088 1.12% ⋀,0.27076 1.16% ⋀,0.27108 1.04% ⋀,0.27053 1.25% ⋀,0.26818 2.13% ⋀,0.26637 2.83% ⋀
Simple Moving Average (20),0.27087 1.12% ⋀,0.26878 1.91% ⋀,0.27146 0.90% ⋀,0.27010 1.41% ⋀,0.26650 2.78% ⋀,0.26340 3.99% ⋀,0.27074 1.17% ⋀
Exponential Moving Average (20),0.27132 0.95% ⋀,0.27003 1.43% ⋀,0.27062 1.21% ⋀,0.26957 1.60% ⋀,0.26763 2.34% ⋀,0.26554 3.15% ⋀,0.27652 -0.95% ⋁
Simple Moving Average (30),0.27056 1.23% ⋀,0.26925 1.73% ⋀,0.27150 0.89% ⋀,0.26690 2.62% ⋀,0.26391 3.78% ⋀,0.26275 4.24% ⋀,0.29064 -5.76% ⋁
Exponential Moving Average (30),0.27069 1.19% ⋀,0.26993 1.47% ⋀,0.27002 1.44% ⋀,0.26798 2.21% ⋀,0.26609 2.93% ⋀,0.26528 3.25% ⋀,0.28799 -4.89% ⋁
Simple Moving Average (50),0.26899 1.83% ⋀,0.27011 1.40% ⋀,0.26856 1.99% ⋀,0.26405 3.73% ⋀,0.26243 4.37% ⋀,0.26349 3.95% ⋀,0.31970 -14.33% ⋁
Exponential Moving Average (50),0.27005 1.43% ⋀,0.27013 1.39% ⋀,0.26838 2.06% ⋀,0.26587 3.02% ⋀,0.26608 2.94% ⋀,0.26866 1.95% ⋀,0.30401 -9.90% ⋁
Simple Moving Average (100),0.26948 1.64% ⋀,0.27168 0.82% ⋀,0.26384 3.81% ⋀,0.26208 4.51% ⋀,0.26939 1.67% ⋀,0.28420 -3.63% ⋁,0.32799 -16.49% ⋁
Exponential Moving Average (100),0.26993 1.47% ⋀,0.27000 1.44% ⋀,0.26568 3.09% ⋀,0.26554 3.15% ⋀,0.27399 -0.03% ⋁,0.28466 -3.78% ⋁,0.31563 -13.22% ⋁
Simple Moving Average (200),0.27082 1.14% ⋀,0.26827 2.10% ⋀,0.26208 4.51% ⋀,0.26924 1.73% ⋀,0.29723 -7.85% ⋁,0.32131 -14.76% ⋁,0.31517 -13.10% ⋁
Exponential Moving Average (200),0.27067 1.19% ⋀,0.26792 2.23% ⋀,0.26445 3.57% ⋀,0.27496 -0.38% ⋁,0.29679 -7.71% ⋁,0.30921 -11.42% ⋁,0.34814 -21.33% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),71.26OB,65.61NE,59.28NE,58.71NE,58.53NE,56.40NE,45.64NE
"Stochastic K (14,3,3)",90.78OB,91.11OB,67.57NE,54.59NE,77.10NE,74.50NE,49.42NE
Commodity Channel Index (20),146.83OB,165.67OB,72.00NE,74.07NE,97.19NE,103.02OB,6.11NE
Williams %R (14),-7.14OB,-4.95OB,-13.51OB,-24.41NE,-12.60OB,-11.57OB,-21.61NE
"Bollinger Bands Upper / Lower (20,2,2)",0.274190.26754NE,0.273370.26418OB,0.276370.26655NE,0.278130.26208NE,0.279400.25360NE,0.276400.25040NE,0.299620.24185NE
Summary,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5
