Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.99947 0.29% ⋀,0.99016 1.23% ⋀,0.97082 3.25% ⋀,0.96354 4.03% ⋀,0.96219 4.17% ⋀,0.93332 7.39% ⋀,0.86850 15.41% ⋀
Exponential Moving Average (10),0.99856 0.38% ⋀,0.98954 1.29% ⋀,0.97565 2.74% ⋀,0.96968 3.37% ⋀,0.95953 4.46% ⋀,0.93652 7.03% ⋀,0.89748 11.68% ⋀
Simple Moving Average (20),0.99274 0.97% ⋀,0.97098 3.23% ⋀,0.95914 4.50% ⋀,0.95124 5.37% ⋀,0.91915 9.05% ⋀,0.88606 13.12% ⋀,0.84818 18.18% ⋀
Exponential Moving Average (20),0.99302 0.94% ⋀,0.97880 2.41% ⋀,0.96369 4.01% ⋀,0.94965 5.55% ⋀,0.92715 8.11% ⋀,0.90185 11.14% ⋀,0.89166 12.41% ⋀
Simple Moving Average (30),0.98846 1.40% ⋀,0.96792 3.56% ⋀,0.95769 4.66% ⋀,0.92723 8.10% ⋀,0.88916 12.73% ⋀,0.86198 16.28% ⋀,0.89245 12.31% ⋀
Exponential Moving Average (30),0.98780 1.47% ⋀,0.97274 3.04% ⋀,0.95418 5.05% ⋀,0.93278 7.46% ⋀,0.90546 10.70% ⋀,0.88311 13.50% ⋀,0.91184 9.92% ⋀
Simple Moving Average (50),0.97315 3.00% ⋀,0.96182 4.21% ⋀,0.93524 7.17% ⋀,0.89452 12.05% ⋀,0.85801 16.82% ⋀,0.84304 18.90% ⋀,0.99544 0.69% ⋀
Exponential Moving Average (50),0.98013 2.27% ⋀,0.96581 3.78% ⋀,0.93665 7.01% ⋀,0.90769 10.43% ⋀,0.88205 13.64% ⋀,0.87047 15.15% ⋀,0.95075 5.43% ⋀
Simple Moving Average (100),0.96590 3.77% ⋀,0.95747 4.69% ⋀,0.89199 12.37% ⋀,0.85428 17.33% ⋀,0.84387 18.78% ⋀,0.86939 15.29% ⋀,1.02771 -2.47% ⋁
Exponential Moving Average (100),0.96969 3.37% ⋀,0.95409 5.06% ⋀,0.90457 10.81% ⋀,0.87621 14.39% ⋀,0.87620 14.40% ⋀,0.89726 11.71% ⋀,0.97312 3.00% ⋀
Simple Moving Average (200),0.95636 4.81% ⋀,0.93250 7.49% ⋀,0.85302 17.51% ⋀,0.84227 19.00% ⋀,0.90951 10.21% ⋀,0.99808 0.43% ⋀,0.94630 5.92% ⋀
Exponential Moving Average (200),0.96322 4.06% ⋀,0.93201 7.55% ⋀,0.87263 14.86% ⋀,0.87195 14.95% ⋀,0.93373 7.35% ⋀,0.95654 4.79% ⋀,0.97924 2.36% ⋀
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 11 Down: 1 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),68.42NE,70.83OB,69.51NE,70.48OB,74.19OB,77.49OB,61.97NE
"Stochastic K (14,3,3)",53.54NE,76.95NE,80.49OB,83.88OB,88.95OB,85.94OB,92.27OB
Commodity Channel Index (20),72.43NE,105.29OB,238.57OB,199.96OB,137.09OB,149.40OB,241.72OB
Williams %R (14),-43.95NE,-24.34NE,-21.53NE,-18.25OB,-10.56OB,-9.06OB,-6.82OB
"Bollinger Bands Upper / Lower (20,2,2)",1.008670.97681NE,1.012600.92935NE,0.996690.92158OB,1.003480.89900NE,1.016230.82206NE,0.996300.77583OB,0.960440.73592OB
Summary,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 5 OS: 0 NE: 0,OB: 4 OS: 0 NE: 1
