Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),4.5936 0.34% ⋀,4.5869 0.49% ⋀,4.6082 0.02% ⋀,4.5333 1.67% ⋀,4.4356 3.91% ⋀,4.3299 6.45% ⋀,4.3335 6.36% ⋀
Exponential Moving Average (10),4.5911 0.39% ⋀,4.5863 0.50% ⋀,4.5796 0.65% ⋀,4.5355 1.62% ⋀,4.4618 3.30% ⋀,4.3790 5.26% ⋀,4.3951 4.87% ⋀
Simple Moving Average (20),4.5752 0.74% ⋀,4.5752 0.74% ⋀,4.5046 2.32% ⋀,4.3961 4.85% ⋀,4.2729 7.87% ⋀,4.2467 8.54% ⋀,4.4595 3.36% ⋀
Exponential Moving Average (20),4.5862 0.50% ⋀,4.5819 0.60% ⋀,4.5176 2.03% ⋀,4.4364 3.90% ⋀,4.3632 5.64% ⋀,4.3155 6.81% ⋀,4.5188 2.00% ⋀
Simple Moving Average (30),4.5925 0.36% ⋀,4.5874 0.48% ⋀,4.4387 3.84% ⋀,4.3189 6.72% ⋀,4.2588 8.23% ⋀,4.2790 7.72% ⋀,4.6442 -0.75% ⋁
Exponential Moving Average (30),4.5845 0.54% ⋀,4.5728 0.80% ⋀,4.4627 3.28% ⋀,4.3760 5.33% ⋀,4.3300 6.45% ⋀,4.3172 6.76% ⋀,4.6873 -1.67% ⋁
Simple Moving Average (50),4.5785 0.67% ⋀,4.5687 0.89% ⋀,4.3455 6.07% ⋀,4.2437 8.61% ⋀,4.2882 7.49% ⋀,4.3200 6.69% ⋀,5.0805 -9.28% ⋁
Exponential Moving Average (50),4.5824 0.58% ⋀,4.5440 1.43% ⋀,4.3864 5.08% ⋀,4.3218 6.65% ⋀,4.3368 6.28% ⋀,4.3708 5.45% ⋀,4.9769 -7.39% ⋁
Simple Moving Average (100),4.5922 0.37% ⋀,4.4526 3.52% ⋀,4.2389 8.74% ⋀,4.2868 7.52% ⋀,4.4767 2.96% ⋀,4.5676 0.91% ⋀,5.8772 -21.58% ⋁
Exponential Moving Average (100),4.5636 1.00% ⋀,4.4704 3.11% ⋀,4.3161 6.79% ⋀,4.3389 6.23% ⋀,4.4447 3.70% ⋀,4.5998 0.20% ⋀,5.1403 -10.33% ⋁
Simple Moving Average (200),4.5079 2.25% ⋀,4.3313 6.42% ⋀,4.2861 7.54% ⋀,4.4720 3.07% ⋀,4.6896 -1.71% ⋁,5.0989 -9.60% ⋁,4.7282 -2.52% ⋁
Exponential Moving Average (200),4.5073 2.26% ⋀,4.3555 5.82% ⋀,4.3089 6.97% ⋀,4.4450 3.69% ⋀,4.7841 -3.66% ⋁,5.1128 -9.85% ⋁,5.1152 -9.89% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 4 Down: 8 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),56.48NE,54.55NE,61.05NE,65.49NE,67.67NE,66.19NE,49.58NE
"Stochastic K (14,3,3)",81.02OB,55.94NE,73.78NE,84.47OB,84.43OB,83.06OB,37.26NE
Commodity Channel Index (20),92.10NE,48.59NE,65.27NE,99.47NE,139.25OB,205.44OB,29.99NE
Williams %R (14),-6.62OB,-31.70NE,-25.12NE,-18.95OB,-12.80OB,-9.96OB,-32.71NE
"Bollinger Bands Upper / Lower (20,2,2)",4.62904.5214NE,4.66964.4807NE,4.75484.2544NE,4.72664.0656NE,4.67983.8660NE,4.55933.9342OB,5.37393.5451NE
Summary,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 4 OS: 0 NE: 1,OB: 0 OS: 0 NE: 5
