Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.0013919 -0.28% ⋁,0.0013949 -0.49% ⋁,0.0014005 -0.89% ⋁,0.0013980 -0.72% ⋁,0.0013698 1.33% ⋀,0.0013406 3.54% ⋀,0.0013681 1.45% ⋀
Exponential Moving Average (10),0.0013910 -0.22% ⋁,0.0013927 -0.33% ⋁,0.0013960 -0.57% ⋁,0.0013897 -0.12% ⋁,0.0013764 0.84% ⋀,0.0013637 1.78% ⋀,0.0013836 0.32% ⋀
Simple Moving Average (20),0.0013928 -0.34% ⋁,0.0013924 -0.32% ⋁,0.0013980 -0.72% ⋁,0.0013613 1.97% ⋀,0.0013436 3.30% ⋀,0.0013635 1.80% ⋀,0.0014036 -1.11% ⋁
Exponential Moving Average (20),0.0013923 -0.31% ⋁,0.0013945 -0.47% ⋁,0.0013888 -0.06% ⋁,0.0013730 1.09% ⋀,0.0013665 1.58% ⋀,0.0013616 1.94% ⋀,0.0014398 -3.60% ⋁
Simple Moving Average (30),0.0013958 -0.56% ⋁,0.0013970 -0.64% ⋁,0.0013792 0.64% ⋀,0.0013413 3.48% ⋀,0.0013671 1.53% ⋀,0.0013810 0.51% ⋀,0.0015939 -12.92% ⋁
Exponential Moving Average (30),0.0013930 -0.36% ⋁,0.0013957 -0.55% ⋁,0.0013790 0.65% ⋀,0.0013656 1.64% ⋀,0.0013660 1.61% ⋀,0.0013669 1.54% ⋀,0.0014795 -6.18% ⋁
Simple Moving Average (50),0.0013918 -0.27% ⋁,0.0014002 -0.87% ⋁,0.0013453 3.18% ⋀,0.0013555 2.40% ⋀,0.0013708 1.25% ⋀,0.0013573 2.26% ⋀,0.0015664 -11.39% ⋁
Exponential Moving Average (50),0.0013941 -0.44% ⋁,0.0013945 -0.47% ⋁,0.0013673 1.51% ⋀,0.0013632 1.82% ⋀,0.0013748 0.96% ⋀,0.0013919 -0.28% ⋁,0.0015120 -8.20% ⋁
Simple Moving Average (100),0.0013995 -0.82% ⋁,0.0013883 -0.02% ⋁,0.0013559 2.37% ⋀,0.0013687 1.41% ⋀,0.0013852 0.20% ⋀,0.0015163 -8.46% ⋁,0.0015358 -9.62% ⋁
Exponential Moving Average (100),0.0013958 -0.56% ⋁,0.0013815 0.47% ⋀,0.0013603 2.03% ⋀,0.0013712 1.23% ⋀,0.0014371 -3.42% ⋁,0.0014526 -4.45% ⋁,0.0015566 -10.83% ⋁
Simple Moving Average (200),0.0013975 -0.68% ⋁,0.0013438 3.29% ⋀,0.0013676 1.49% ⋀,0.0013856 0.17% ⋀,0.0016184 -14.23% ⋁,0.0015602 -11.04% ⋁,0.0016526 -16.01% ⋁
Exponential Moving Average (200),0.0013897 -0.12% ⋁,0.0013640 1.76% ⋀,0.0013578 2.23% ⋀,0.0014520 -4.41% ⋁,0.0014773 -6.05% ⋁,0.0014697 -5.56% ⋁,0.0016155 -14.08% ⋁
Summary,Up: 0 Down: 12 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),41.71NE,43.69NE,52.52NE,58.41NE,55.31NE,54.68NE,44.68NE
"Stochastic K (14,3,3)",40.60NE,44.42NE,44.29NE,68.21NE,73.55NE,62.16NE,51.18NE
Commodity Channel Index (20),-69.88NE,-39.56NE,-79.64NE,46.17NE,74.56NE,29.52NE,-24.30NE
Williams %R (14),-66.67NE,-73.08NE,-62.86NE,-41.03NE,-30.97NE,-32.28NE,-36.40NE
"Bollinger Bands Upper / Lower (20,2,2)",0.00140270.0013828NE,0.00140650.0013783NE,0.00141690.0013792NE,0.00144990.0012726NE,0.00143140.0012558NE,0.00146060.0012663NE,0.00156890.0012383NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
