Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.06861 -0.04% ⋁,0.06858 0.00% ⋁,0.06814 0.65% ⋀,0.06735 1.83% ⋀,0.06601 3.89% ⋀,0.06372 7.63% ⋀,0.06251 9.71% ⋀
Exponential Moving Average (10),0.06854 0.06% ⋀,0.06842 0.24% ⋀,0.06799 0.87% ⋀,0.06732 1.87% ⋀,0.06621 3.58% ⋀,0.06473 5.94% ⋀,0.06443 6.44% ⋀
Simple Moving Average (20),0.06858 0.00% ⋀,0.06798 0.88% ⋀,0.06715 2.13% ⋀,0.06533 4.97% ⋀,0.06284 9.13% ⋀,0.06242 9.87% ⋀,0.06461 6.14% ⋀
Exponential Moving Average (20),0.06852 0.08% ⋀,0.06820 0.56% ⋀,0.06710 2.21% ⋀,0.06573 4.33% ⋀,0.06436 6.55% ⋀,0.06329 8.36% ⋀,0.06741 1.73% ⋀
Simple Moving Average (30),0.06862 -0.06% ⋁,0.06797 0.89% ⋀,0.06631 3.42% ⋀,0.06358 7.87% ⋀,0.06259 9.57% ⋀,0.06211 10.42% ⋀,0.07171 -4.37% ⋁
Exponential Moving Average (30),0.06845 0.20% ⋀,0.06800 0.85% ⋀,0.06623 3.54% ⋀,0.06466 6.07% ⋀,0.06353 7.95% ⋀,0.06303 8.81% ⋀,0.07148 -4.06% ⋁
Simple Moving Average (50),0.06807 0.74% ⋀,0.06766 1.36% ⋀,0.06414 6.93% ⋀,0.06232 10.04% ⋀,0.06199 10.64% ⋀,0.06208 10.48% ⋀,0.08302 -17.39% ⋁
Exponential Moving Average (50),0.06828 0.44% ⋀,0.06758 1.48% ⋀,0.06491 5.65% ⋀,0.06351 7.98% ⋀,0.06329 8.36% ⋀,0.06408 7.02% ⋀,0.07793 -12.00% ⋁
Simple Moving Average (100),0.06800 0.85% ⋀,0.06661 2.96% ⋀,0.06227 10.13% ⋀,0.06186 10.86% ⋀,0.06395 7.25% ⋀,0.06948 -1.30% ⋁,0.09016 -23.94% ⋁
Exponential Moving Average (100),0.06790 1.00% ⋀,0.06644 3.22% ⋀,0.06332 8.30% ⋀,0.06308 8.71% ⋀,0.06593 4.02% ⋀,0.06995 -1.96% ⋁,0.08490 -19.23% ⋁
Simple Moving Average (200),0.06719 2.07% ⋀,0.06399 7.17% ⋀,0.06182 10.93% ⋀,0.06396 7.23% ⋀,0.07419 -7.56% ⋁,0.08379 -18.15% ⋁,0.09089 -24.55% ⋁
Exponential Moving Average (200),0.06726 1.96% ⋀,0.06448 6.36% ⋀,0.06255 9.63% ⋀,0.06635 3.37% ⋀,0.07452 -7.97% ⋁,0.07899 -13.17% ⋁,0.10275 -33.25% ⋁
Summary,Up: 10 Down: 2 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 4 Down: 8 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),52.57NE,56.61NE,68.28NE,76.69OB,75.14OB,69.72NE,47.85NE
"Stochastic K (14,3,3)",44.34NE,68.11NE,82.21OB,89.43OB,92.25OB,92.10OB,62.17NE
Commodity Channel Index (20),-18.91NE,52.59NE,100.51OB,106.42OB,122.44OB,168.39OB,70.16NE
Williams %R (14),-40.78NE,-31.28NE,-21.53NE,-14.53OB,-7.02OB,-6.28OB,-6.15OB
"Bollinger Bands Upper / Lower (20,2,2)",0.069110.06805NE,0.069420.06654NE,0.069360.06494NE,0.070440.06023NE,0.070060.05562NE,0.068140.05670OB,0.073140.05609NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 1 OS: 0 NE: 4
