Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00001213 -0.26% ⋁,0.00001214 -0.30% ⋁,0.00001207 0.27% ⋀,0.00001203 0.57% ⋀,0.00001185 2.08% ⋀,0.00001178 2.73% ⋀,0.00001175 3.01% ⋀
Exponential Moving Average (10),0.00001212 -0.21% ⋁,0.00001213 -0.23% ⋁,0.00001207 0.26% ⋀,0.00001200 0.86% ⋀,0.00001193 1.42% ⋀,0.00001186 1.99% ⋀,0.00001186 2.06% ⋀
Simple Moving Average (20),0.00001213 -0.28% ⋁,0.00001212 -0.19% ⋁,0.00001198 0.97% ⋀,0.00001180 2.57% ⋀,0.00001180 2.53% ⋀,0.00001180 2.53% ⋀,0.00001186 2.03% ⋀
Exponential Moving Average (20),0.00001213 -0.25% ⋁,0.00001211 -0.11% ⋁,0.00001198 1.01% ⋀,0.00001189 1.74% ⋀,0.00001185 2.08% ⋀,0.00001180 2.50% ⋀,0.00001195 1.29% ⋀
Simple Moving Average (30),0.00001214 -0.34% ⋁,0.00001209 0.08% ⋀,0.00001185 2.15% ⋀,0.00001177 2.84% ⋀,0.00001182 2.36% ⋀,0.00001176 2.87% ⋀,0.00001218 -0.64% ⋁
Exponential Moving Average (30),0.00001213 -0.24% ⋁,0.00001209 0.07% ⋀,0.00001191 1.56% ⋀,0.00001185 2.13% ⋀,0.00001182 2.35% ⋀,0.00001179 2.60% ⋀,0.00001201 0.72% ⋀
Simple Moving Average (50),0.00001212 -0.20% ⋁,0.00001205 0.41% ⋀,0.00001175 3.01% ⋀,0.00001179 2.60% ⋀,0.00001174 3.10% ⋀,0.00001170 3.42% ⋀,0.00001230 -1.61% ⋁
Exponential Moving Average (50),0.00001211 -0.12% ⋁,0.00001204 0.49% ⋀,0.00001185 2.12% ⋀,0.00001181 2.47% ⋀,0.00001181 2.44% ⋀,0.00001184 2.17% ⋀,0.00001199 0.95% ⋀
Simple Moving Average (100),0.00001206 0.30% ⋀,0.00001188 1.87% ⋀,0.00001179 2.65% ⋀,0.00001173 3.18% ⋀,0.00001182 2.33% ⋀,0.00001214 -0.33% ⋁,0.00001142 5.96% ⋀
Exponential Moving Average (100),0.00001207 0.29% ⋀,0.00001193 1.40% ⋀,0.00001179 2.65% ⋀,0.00001180 2.59% ⋀,0.00001193 1.39% ⋀,0.00001202 0.70% ⋀,0.00001190 1.68% ⋀
Simple Moving Average (200),0.00001196 1.14% ⋀,0.00001175 3.02% ⋀,0.00001172 3.20% ⋀,0.00001182 2.39% ⋀,0.00001234 -1.94% ⋁,0.00001235 -2.03% ⋁,0.00001196 1.17% ⋀
Exponential Moving Average (200),0.00001195 1.29% ⋀,0.00001186 2.07% ⋀,0.00001175 3.01% ⋀,0.00001197 1.09% ⋀,0.00001209 0.05% ⋀,0.00001186 2.06% ⋀,0.00001372 -11.78% ⋁
Summary,Up: 4 Down: 8 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 9 Down: 3 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),43.17NE,50.27NE,65.87NE,65.72NE,62.11NE,60.47NE,51.27NE
"Stochastic K (14,3,3)",23.81NE,30.56NE,75.83NE,87.32OB,82.41OB,44.54NE,48.76NE
Commodity Channel Index (20),-127.15OS,-34.25NE,86.98NE,93.43NE,129.88OB,123.97OB,45.41NE
Williams %R (14),-100.00OS,-83.33OS,-33.33NE,-15.49OB,-15.28OB,-50.00NE,-40.00NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000012130.00001213OS,0.000012120.00001212OS,0.000012280.00001168NE,0.000012280.00001132NE,0.000012190.00001141NE,0.000012150.00001146NE,0.000012490.00001123NE
Summary,OB: 0 OS: 3 NE: 2,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5
