Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),1.3726 -0.17% ⋁,1.3746 -0.32% ⋁,1.3791 -0.64% ⋁,1.3797 -0.69% ⋁,1.3719 -0.13% ⋁,1.3520 1.35% ⋀,1.3663 0.29% ⋀
Exponential Moving Average (10),1.3718 -0.12% ⋁,1.3720 -0.13% ⋁,1.3765 -0.46% ⋁,1.3744 -0.31% ⋁,1.3684 0.13% ⋀,1.3591 0.82% ⋀,1.3880 -1.29% ⋁
Simple Moving Average (20),1.3719 -0.13% ⋁,1.3690 0.09% ⋀,1.3800 -0.71% ⋁,1.3679 0.16% ⋀,1.3431 2.02% ⋀,1.3532 1.25% ⋀,1.4811 -7.49% ⋁
Exponential Moving Average (20),1.3723 -0.15% ⋁,1.3732 -0.22% ⋁,1.3755 -0.38% ⋁,1.3669 0.24% ⋀,1.3616 0.63% ⋀,1.3606 0.70% ⋀,1.4701 -6.79% ⋁
Simple Moving Average (30),1.3748 -0.34% ⋁,1.3751 -0.35% ⋁,1.3737 -0.26% ⋁,1.3525 1.31% ⋀,1.3557 1.07% ⋀,1.3661 0.30% ⋀,1.5785 -13.20% ⋁
Exponential Moving Average (30),1.3724 -0.16% ⋁,1.3746 -0.32% ⋁,1.3712 -0.07% ⋁,1.3616 0.63% ⋀,1.3638 0.47% ⋀,1.3749 -0.34% ⋁,1.5370 -10.85% ⋁
Simple Moving Average (50),1.3701 0.01% ⋀,1.3809 -0.78% ⋁,1.3605 0.71% ⋀,1.3499 1.51% ⋀,1.3680 0.16% ⋀,1.3960 -1.85% ⋁,1.7030 -19.54% ⋁
Exponential Moving Average (50),1.3730 -0.20% ⋁,1.3760 -0.42% ⋁,1.3636 0.48% ⋀,1.3602 0.73% ⋀,1.3837 -0.97% ⋁,1.4174 -3.33% ⋁,1.6110 -14.95% ⋁
Simple Moving Average (100),1.3775 -0.53% ⋁,1.3764 -0.45% ⋁,1.3507 1.44% ⋀,1.3674 0.20% ⋀,1.4603 -6.17% ⋁,1.5632 -12.35% ⋁,1.7664 -22.43% ⋁
Exponential Moving Average (100),1.3754 -0.38% ⋁,1.3725 -0.17% ⋁,1.3597 0.77% ⋀,1.3871 -1.22% ⋁,1.4539 -5.76% ⋁,1.5242 -10.11% ⋁,1.6042 -14.58% ⋁
Simple Moving Average (200),1.3806 -0.76% ⋁,1.3589 0.83% ⋀,1.3679 0.16% ⋀,1.4634 -6.37% ⋁,1.6114 -14.97% ⋁,1.7124 -19.99% ⋁,1.3924 -1.59% ⋁
Exponential Moving Average (200),1.3755 -0.39% ⋁,1.3564 1.02% ⋀,1.3785 -0.60% ⋁,1.4740 -7.04% ⋁,1.5790 -13.22% ⋁,1.6353 -16.21% ⋁,1.5083 -9.15% ⋁
Summary,Up: 1 Down: 11 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 1 Down: 11 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),46.13NE,46.64NE,48.80NE,52.84NE,52.24NE,50.11NE,40.48NE
"Stochastic K (14,3,3)",44.04NE,51.83NE,38.68NE,41.86NE,65.31NE,71.68NE,26.25NE
Commodity Channel Index (20),-46.46NE,8.59NE,-49.18NE,29.51NE,73.73NE,34.67NE,-60.47NE
Williams %R (14),-53.37NE,-54.14NE,-66.76NE,-66.76NE,-36.84NE,-29.07NE,-66.87NE
"Bollinger Bands Upper / Lower (20,2,2)",1.38071.3632NE,1.38541.3527NE,1.40451.3556NE,1.39871.3372NE,1.41241.2737NE,1.42211.2843NE,1.78311.1792NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
