Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00000495 -0.28% ⋁,0.00000494 -0.04% ⋁,0.00000494 -0.08% ⋁,0.00000493 0.26% ⋀,0.00000487 1.35% ⋀,0.00000483 2.34% ⋀,0.00000487 1.48% ⋀
Exponential Moving Average (10),0.00000495 -0.12% ⋁,0.00000494 -0.04% ⋁,0.00000494 0.05% ⋀,0.00000492 0.40% ⋀,0.00000489 1.01% ⋀,0.00000487 1.37% ⋀,0.00000493 0.23% ⋀
Simple Moving Average (20),0.00000494 -0.01% ⋁,0.00000493 0.23% ⋀,0.00000492 0.38% ⋀,0.00000487 1.53% ⋀,0.00000482 2.51% ⋀,0.00000488 1.30% ⋀,0.00000505 -2.17% ⋁
Exponential Moving Average (20),0.00000494 -0.02% ⋁,0.00000494 0.05% ⋀,0.00000492 0.44% ⋀,0.00000489 1.12% ⋀,0.00000487 1.50% ⋀,0.00000487 1.49% ⋀,0.00000509 -2.90% ⋁
Simple Moving Average (30),0.00000493 0.27% ⋀,0.00000494 0.05% ⋀,0.00000491 0.66% ⋀,0.00000482 2.48% ⋀,0.00000488 1.32% ⋀,0.00000488 1.23% ⋀,0.00000542 -8.92% ⋁
Exponential Moving Average (30),0.00000494 0.06% ⋀,0.00000494 0.10% ⋀,0.00000490 0.86% ⋀,0.00000487 1.44% ⋀,0.00000487 1.53% ⋀,0.00000489 1.12% ⋀,0.00000521 -5.13% ⋁
Simple Moving Average (50),0.00000493 0.27% ⋀,0.00000494 0.07% ⋀,0.00000483 2.26% ⋀,0.00000485 1.91% ⋀,0.00000485 1.82% ⋀,0.00000487 1.36% ⋀,0.00000541 -8.73% ⋁
Exponential Moving Average (50),0.00000493 0.12% ⋀,0.00000493 0.26% ⋀,0.00000487 1.37% ⋀,0.00000486 1.58% ⋀,0.00000489 0.92% ⋀,0.00000496 -0.41% ⋁,0.00000536 -7.92% ⋁
Simple Moving Average (100),0.00000494 0.01% ⋀,0.00000491 0.64% ⋀,0.00000485 1.84% ⋀,0.00000485 1.80% ⋀,0.00000498 -0.89% ⋁,0.00000531 -7.02% ⋁,0.00000581 -14.93% ⋁
Exponential Moving Average (100),0.00000493 0.23% ⋀,0.00000490 0.89% ⋀,0.00000485 1.78% ⋀,0.00000490 0.90% ⋀,0.00000504 -1.97% ⋁,0.00000513 -3.65% ⋁,0.00000550 -10.25% ⋁
Simple Moving Average (200),0.00000491 0.59% ⋀,0.00000482 2.44% ⋀,0.00000485 1.77% ⋀,0.00000499 -0.96% ⋁,0.00000543 -8.98% ⋁,0.00000538 -8.21% ⋁,0.00000559 -11.63% ⋁
Exponential Moving Average (200),0.00000491 0.65% ⋀,0.00000487 1.46% ⋀,0.00000486 1.60% ⋀,0.00000511 -3.28% ⋁,0.00000518 -4.56% ⋁,0.00000528 -6.42% ⋁,0.00000567 -12.87% ⋁
Summary,Up: 8 Down: 4 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),51.17NE,51.41NE,56.23NE,58.42NE,57.30NE,54.78NE,43.93NE
"Stochastic K (14,3,3)",35.00NE,73.33NE,31.38NE,42.62NE,51.19NE,51.79NE,33.38NE
Commodity Channel Index (20),-3.07NE,46.91NE,35.09NE,62.88NE,86.68NE,27.95NE,-42.84NE
Williams %R (14),-75.00NE,-30.00NE,-75.86NE,-61.11NE,-48.21NE,-48.21NE,-54.08NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000004940.00000494OS,0.000004930.00000493OB,0.000004920.00000492OB,0.000004870.00000487OB,0.000004820.00000482OB,0.000005090.00000466NE,0.000005600.00000450NE
Summary,OB: 0 OS: 1 NE: 4,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
