Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),27.545 -0.38% ⋁,27.490 -0.18% ⋁,27.626 -0.67% ⋁,27.062 1.40% ⋀,25.939 5.79% ⋀,24.495 12.02% ⋀,23.245 18.05% ⋀
Exponential Moving Average (10),27.495 -0.20% ⋁,27.497 -0.21% ⋁,27.433 0.03% ⋀,26.927 1.91% ⋀,26.101 5.13% ⋀,25.168 9.03% ⋀,24.305 12.90% ⋀
Simple Moving Average (20),27.405 0.13% ⋀,27.608 -0.61% ⋁,26.870 2.12% ⋀,25.494 7.64% ⋀,23.918 14.73% ⋀,23.351 17.51% ⋀,23.737 15.60% ⋀
Exponential Moving Average (20),27.496 -0.20% ⋁,27.525 -0.31% ⋁,26.833 2.26% ⋀,25.826 6.25% ⋀,24.804 10.63% ⋀,24.001 14.33% ⋀,24.612 11.49% ⋀
Simple Moving Average (30),27.528 -0.32% ⋁,27.574 -0.49% ⋁,26.088 5.18% ⋀,24.347 12.70% ⋀,23.483 16.85% ⋀,22.878 19.94% ⋀,25.292 8.49% ⋀
Exponential Moving Average (30),27.516 -0.28% ⋁,27.479 -0.14% ⋁,26.214 4.68% ⋀,25.060 9.50% ⋀,24.143 13.66% ⋀,23.582 16.36% ⋀,25.558 7.36% ⋀
Simple Moving Average (50),27.626 -0.67% ⋁,27.516 -0.28% ⋁,24.719 11.01% ⋀,23.512 16.71% ⋀,22.839 20.14% ⋀,22.886 19.90% ⋀,28.147 -2.51% ⋁
Exponential Moving Average (50),27.545 -0.38% ⋁,27.236 0.75% ⋀,25.270 8.59% ⋀,24.185 13.46% ⋀,23.630 16.12% ⋀,23.538 16.58% ⋀,27.157 1.04% ⋀
Simple Moving Average (100),27.614 -0.63% ⋁,26.419 3.87% ⋀,23.456 16.99% ⋀,22.721 20.77% ⋀,23.186 18.35% ⋀,24.495 12.02% ⋀,32.225 -14.85% ⋁
Exponential Moving Average (100),27.442 -0.01% ⋁,26.413 3.89% ⋀,24.065 14.03% ⋀,23.455 16.99% ⋀,23.923 14.70% ⋀,24.834 10.49% ⋀,27.621 -0.65% ⋁
Simple Moving Average (200),27.084 1.31% ⋀,24.625 11.43% ⋀,22.685 20.96% ⋀,23.145 18.55% ⋀,25.731 6.64% ⋀,28.239 -2.83% ⋁,23.883 14.90% ⋀
Exponential Moving Average (200),26.939 1.86% ⋀,25.049 9.55% ⋀,23.408 17.23% ⋀,23.915 14.74% ⋀,25.970 5.66% ⋀,27.568 -0.46% ⋁,26.057 5.31% ⋀
Summary,Up: 3 Down: 9 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 9 Down: 3 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),46.88NE,48.94NE,61.88NE,76.47OB,76.86OB,75.56OB,56.09NE
"Stochastic K (14,3,3)",65.12NE,49.35NE,59.04NE,78.90NE,84.14OB,87.25OB,76.77NE
Commodity Channel Index (20),6.45NE,-44.66NE,47.01NE,85.36NE,118.48OB,194.05OB,174.29OB
Williams %R (14),-36.05NE,-54.17NE,-56.30NE,-26.02NE,-18.36OB,-16.65OB,-15.58OB
"Bollinger Bands Upper / Lower (20,2,2)",27.82826.982NE,28.33126.885NE,28.98024.760NE,29.11321.874NE,28.61819.217NE,27.36919.333OB,27.78219.692NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 4 OS: 0 NE: 1,OB: 5 OS: 0 NE: 0,OB: 2 OS: 0 NE: 3
