Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),1.25839645 -1.35% ⋁,1.25048432 -0.72% ⋁,1.22244521 1.55% ⋀,1.21067375 2.54% ⋀,1.19949255 3.50% ⋀,1.17383270 5.76% ⋀,1.15000964 7.95% ⋀
Exponential Moving Average (10),1.25033834 -0.71% ⋁,1.24396892 -0.20% ⋁,1.22720128 1.16% ⋀,1.21409938 2.25% ⋀,1.20081943 3.38% ⋀,1.18341390 4.90% ⋀,1.17308366 5.83% ⋀
Simple Moving Average (20),1.24523444 -0.30% ⋁,1.22664616 1.21% ⋀,1.20847682 2.73% ⋀,1.19057882 4.27% ⋀,1.15598907 7.39% ⋀,1.15780131 7.22% ⋀,1.16722144 6.36% ⋀
Exponential Moving Average (20),1.24357166 -0.17% ⋁,1.23318843 0.67% ⋀,1.21075449 2.53% ⋀,1.19387093 3.98% ⋀,1.17816265 5.37% ⋀,1.16376377 6.67% ⋀,1.18258734 4.98% ⋀
Simple Moving Average (30),1.22939798 0.98% ⋀,1.22006523 1.75% ⋀,1.19501677 3.88% ⋀,1.16758411 6.33% ⋀,1.16023383 7.00% ⋀,1.15475456 7.51% ⋀,1.26320966 -1.72% ⋁
Exponential Moving Average (30),1.23620130 0.42% ⋀,1.22460480 1.37% ⋀,1.19807734 3.62% ⋀,1.18068417 5.15% ⋀,1.16650212 6.42% ⋀,1.15687943 7.31% ⋀,1.18017766 5.19% ⋀
Simple Moving Average (50),1.21814059 1.91% ⋀,1.20969495 2.62% ⋀,1.16934832 6.17% ⋀,1.15232414 7.73% ⋀,1.14517568 8.41% ⋀,1.12881819 9.98% ⋀,1.19107595 4.23% ⋀
Exponential Moving Average (50),1.22450975 1.38% ⋀,1.21064355 2.54% ⋀,1.18101762 5.12% ⋀,1.16574153 6.49% ⋀,1.15987926 7.03% ⋀,1.16012777 7.01% ⋀,1.14118600 8.78% ⋀
Simple Moving Average (100),1.20079954 3.38% ⋀,1.17778940 5.40% ⋀,1.15295314 7.67% ⋀,1.13967637 8.93% ⋀,1.16004001 7.02% ⋀,1.23618444 0.43% ⋀,0.96171193 29.09% ⋀
Exponential Moving Average (100),1.19991678 3.46% ⋀,1.18863121 4.44% ⋀,1.15678262 7.32% ⋀,1.15833967 7.17% ⋀,1.17308061 5.83% ⋀,1.17518637 5.64% ⋀,1.02263712 21.40% ⋀
Simple Moving Average (200),1.15290768 7.68% ⋀,1.15309092 7.66% ⋀,1.12586908 10.26% ⋀,1.16190426 6.85% ⋀,1.23547161 0.48% ⋀,1.18337765 4.91% ⋀,0.81570064 52.19% ⋀
Exponential Moving Average (200),1.17949228 5.25% ⋀,1.16831998 6.26% ⋀,1.14476898 8.44% ⋀,1.20265315 3.22% ⋀,1.16879776 6.22% ⋀,1.10968382 11.87% ⋀,0.96408186 28.77% ⋀
Summary,Up: 8 Down: 4 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 11 Down: 1 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),51.66NE,55.15NE,60.33NE,63.69NE,65.41NE,63.29NE,53.29NE
"Stochastic K (14,3,3)",36.04NE,68.15NE,77.80NE,79.16NE,78.27NE,82.32OB,67.43NE
Commodity Channel Index (20),-15.88NE,40.88NE,122.19OB,151.41OB,134.19OB,140.97OB,76.36NE
Williams %R (14),-74.63NE,-32.70NE,-32.70NE,-32.02NE,-18.12OB,-14.69OB,-11.74OB
"Bollinger Bands Upper / Lower (20,2,2)",1.282923841.20754503NE,1.282388621.17090370NE,1.256986571.15996707NE,1.250452861.13070477NE,1.259930331.05204781NE,1.246983471.06861914NE,1.337970300.99647259NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 1 OS: 0 NE: 4
