Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00002650 0.26% ⋀,0.00002654 0.12% ⋀,0.00002685 -1.04% ⋁,0.00002677 -0.74% ⋁,0.00002670 -0.49% ⋁,0.00002662 -0.17% ⋁,0.00002672 -0.55% ⋁
Exponential Moving Average (10),0.00002652 0.18% ⋀,0.00002656 0.03% ⋀,0.00002671 -0.53% ⋁,0.00002671 -0.51% ⋁,0.00002670 -0.50% ⋁,0.00002669 -0.47% ⋁,0.00002707 -1.86% ⋁
Simple Moving Average (20),0.00002652 0.18% ⋀,0.00002667 -0.39% ⋁,0.00002676 -0.70% ⋁,0.00002663 -0.24% ⋁,0.00002671 -0.52% ⋁,0.00002669 -0.46% ⋁,0.00002803 -5.19% ⋁
Exponential Moving Average (20),0.00002655 0.09% ⋀,0.00002665 -0.32% ⋁,0.00002673 -0.58% ⋁,0.00002669 -0.46% ⋁,0.00002670 -0.47% ⋁,0.00002670 -0.51% ⋁,0.00002792 -4.84% ⋁
Simple Moving Average (30),0.00002657 -0.01% ⋁,0.00002681 -0.90% ⋁,0.00002669 -0.45% ⋁,0.00002664 -0.26% ⋁,0.00002672 -0.55% ⋁,0.00002661 -0.15% ⋁,0.00002906 -8.57% ⋁
Exponential Moving Average (30),0.00002659 -0.07% ⋁,0.00002671 -0.53% ⋁,0.00002671 -0.53% ⋁,0.00002669 -0.44% ⋁,0.00002672 -0.55% ⋁,0.00002683 -0.95% ⋁,0.00002877 -7.64% ⋁
Simple Moving Average (50),0.00002670 -0.50% ⋁,0.00002685 -1.02% ⋁,0.00002661 -0.16% ⋁,0.00002674 -0.65% ⋁,0.00002658 -0.05% ⋁,0.00002702 -1.67% ⋁,0.00003030 -12.32% ⋁
Exponential Moving Average (50),0.00002667 -0.37% ⋁,0.00002675 -0.66% ⋁,0.00002669 -0.46% ⋁,0.00002670 -0.49% ⋁,0.00002689 -1.17% ⋁,0.00002724 -2.45% ⋁,0.00003047 -12.81% ⋁
Simple Moving Average (100),0.00002690 -1.22% ⋁,0.00002672 -0.56% ⋁,0.00002673 -0.62% ⋁,0.00002660 -0.10% ⋁,0.00002764 -3.88% ⋁,0.00002857 -7.00% ⋁,0.00003429 -22.52% ⋁
Exponential Moving Average (100),0.00002676 -0.71% ⋁,0.00002672 -0.57% ⋁,0.00002667 -0.38% ⋁,0.00002694 -1.36% ⋁,0.00002764 -3.88% ⋁,0.00002832 -6.18% ⋁,0.00003531 -24.76% ⋁
Simple Moving Average (200),0.00002679 -0.81% ⋁,0.00002661 -0.16% ⋁,0.00002659 -0.08% ⋁,0.00002767 -3.98% ⋁,0.00002939 -9.59% ⋁,0.00003036 -12.50% ⋁,0.00004599 -42.23% ⋁
Exponential Moving Average (200),0.00002675 -0.68% ⋁,0.00002672 -0.57% ⋁,0.00002690 -1.22% ⋁,0.00002771 -4.12% ⋁,0.00002894 -8.20% ⋁,0.00003040 -12.59% ⋁,0.00004062 -34.58% ⋁
Summary,Up: 4 Down: 8 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),49.61NE,44.72NE,46.53NE,47.86NE,47.71NE,47.23NE,38.54NE
"Stochastic K (14,3,3)",66.67NE,33.28NE,12.87OS,33.56NE,45.78NE,44.20NE,23.96NE
Commodity Channel Index (20),77.29NE,-49.03NE,-84.10NE,-43.70NE,-66.89NE,-9.96NE,-60.58NE
Williams %R (14),-27.59NE,-52.27NE,-82.20OS,-64.67NE,-64.67NE,-70.72NE,-77.57NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000026520.00002652OB,0.000027070.00002628NE,0.000027240.00002628NE,0.000027120.00002614NE,0.000027300.00002611NE,0.000027220.00002617NE,0.000031340.00002471NE
Summary,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
