Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),440.67 0.05% ⋀,440.88 0.00% NE,441.12 -0.05% ⋁,441.73 -0.19% ⋁,440.92 -0.01% ⋁,437.92 0.68% ⋀,436.44 1.02% ⋀
Exponential Moving Average (10),440.59 0.07% ⋀,440.46 0.10% ⋀,440.91 -0.01% ⋁,440.97 -0.02% ⋁,440.12 0.17% ⋀,438.22 0.61% ⋀,440.80 0.02% ⋀
Simple Moving Average (20),440.16 0.16% ⋀,439.80 0.25% ⋀,441.23 -0.08% ⋁,439.92 0.22% ⋀,435.99 1.12% ⋀,435.66 1.20% ⋀,447.49 -1.48% ⋁
Exponential Moving Average (20),440.52 0.08% ⋀,440.47 0.09% ⋀,440.76 0.03% ⋀,439.67 0.28% ⋀,438.27 0.60% ⋀,437.04 0.88% ⋀,460.37 -4.23% ⋁
Simple Moving Average (30),440.97 -0.02% ⋁,440.21 0.15% ⋀,440.73 0.03% ⋀,437.80 0.70% ⋀,436.27 1.06% ⋀,436.42 1.02% ⋀,489.56 -9.94% ⋁
Exponential Moving Average (30),440.47 0.09% ⋀,440.63 0.06% ⋀,440.13 0.17% ⋀,438.49 0.54% ⋀,437.69 0.73% ⋀,438.19 0.61% ⋀,481.56 -8.45% ⋁
Simple Moving Average (50),440.04 0.19% ⋀,441.76 -0.20% ⋁,438.88 0.45% ⋀,435.80 1.17% ⋀,436.36 1.04% ⋀,438.50 0.54% ⋀,541.12 -18.53% ⋁
Exponential Moving Average (50),440.43 0.10% ⋀,440.82 0.01% ⋀,438.78 0.48% ⋀,437.34 0.81% ⋀,439.76 0.26% ⋀,445.40 -1.01% ⋁,512.16 -13.92% ⋁
Simple Moving Average (100),440.59 0.07% ⋀,441.14 -0.06% ⋁,435.89 1.14% ⋀,436.08 1.10% ⋀,445.74 -1.09% ⋁,474.14 -7.01% ⋁,562.32 -21.60% ⋁
Exponential Moving Average (100),440.58 0.07% ⋀,440.46 0.10% ⋀,437.21 0.84% ⋀,438.96 0.44% ⋀,455.80 -3.27% ⋁,475.01 -7.18% ⋁,541.79 -18.62% ⋁
Simple Moving Average (200),441.36 -0.11% ⋁,438.81 0.47% ⋀,436.05 1.11% ⋀,445.78 -1.10% ⋁,499.95 -11.82% ⋁,542.82 -18.78% ⋁,565.13 -21.99% ⋁
Exponential Moving Average (200),440.77 0.02% ⋀,437.91 0.68% ⋀,437.93 0.67% ⋀,457.45 -3.62% ⋁,497.40 -11.36% ⋁,516.51 -14.64% ⋁,592.66 -25.61% ⋁
Summary,Up: 10 Down: 2 Neutral: 0,Up: 9 Down: 2 Neutral: 1,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),52.98NE,51.17NE,51.16NE,53.25NE,54.40NE,53.10NE,39.44NE
"Stochastic K (14,3,3)",71.84NE,51.48NE,47.49NE,53.19NE,68.97NE,76.17NE,38.25NE
Commodity Channel Index (20),56.89NE,44.34NE,-11.99NE,35.35NE,75.03NE,85.55NE,-34.52NE
Williams %R (14),-19.74OB,-49.73NE,-50.04NE,-50.04NE,-30.34NE,-22.08NE,-51.59NE
"Bollinger Bands Upper / Lower (20,2,2)",441.99438.34NE,443.65435.95NE,445.90436.57NE,445.52434.32NE,448.41423.56NE,445.70425.62NE,481.94413.03NE
Summary,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
