Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.5905 -0.17% ⋁,0.5933 -0.64% ⋁,0.6028 -2.20% ⋁,0.6042 -2.42% ⋁,0.6028 -2.20% ⋁,0.6020 -2.08% ⋁,0.6053 -2.60% ⋁
Exponential Moving Average (10),0.5903 -0.14% ⋁,0.5927 -0.55% ⋁,0.5997 -1.70% ⋁,0.6008 -1.88% ⋁,0.6009 -1.89% ⋁,0.6030 -2.23% ⋁,0.6159 -4.28% ⋁
Simple Moving Average (20),0.5920 -0.42% ⋁,0.5962 -1.12% ⋁,0.6061 -2.75% ⋁,0.6021 -2.09% ⋁,0.5994 -1.65% ⋁,0.6092 -3.23% ⋁,0.6604 -10.73% ⋁
Exponential Moving Average (20),0.5919 -0.40% ⋁,0.5965 -1.17% ⋁,0.6030 -2.24% ⋁,0.6021 -2.09% ⋁,0.6040 -2.39% ⋁,0.6066 -2.82% ⋁,0.6399 -7.88% ⋁
Simple Moving Average (30),0.5939 -0.74% ⋁,0.6018 -2.05% ⋁,0.6059 -2.71% ⋁,0.6006 -1.85% ⋁,0.6097 -3.32% ⋁,0.6107 -3.47% ⋁,0.6689 -11.86% ⋁
Exponential Moving Average (30),0.5932 -0.62% ⋁,0.5992 -1.62% ⋁,0.6035 -2.32% ⋁,0.6030 -2.25% ⋁,0.6070 -2.88% ⋁,0.6122 -3.71% ⋁,0.6545 -9.93% ⋁
Simple Moving Average (50),0.5948 -0.88% ⋁,0.6067 -2.83% ⋁,0.6026 -2.18% ⋁,0.6054 -2.62% ⋁,0.6075 -2.97% ⋁,0.6152 -4.18% ⋁,0.6779 -13.04% ⋁
Exponential Moving Average (50),0.5958 -1.06% ⋁,0.6023 -2.12% ⋁,0.6038 -2.36% ⋁,0.6058 -2.68% ⋁,0.6148 -4.11% ⋁,0.6258 -5.80% ⋁,0.6693 -11.93% ⋁
Simple Moving Average (100),0.6032 -2.28% ⋁,0.6071 -2.90% ⋁,0.6059 -2.71% ⋁,0.6068 -2.84% ⋁,0.6489 -9.15% ⋁,0.6706 -12.10% ⋁,0.6828 -13.66% ⋁
Exponential Moving Average (100),0.6002 -1.78% ⋁,0.6041 -2.42% ⋁,0.6040 -2.40% ⋁,0.6189 -4.75% ⋁,0.6330 -6.87% ⋁,0.6505 -9.38% ⋁,0.6663 -11.52% ⋁
Simple Moving Average (200),0.6066 -2.81% ⋁,0.6027 -2.19% ⋁,0.6066 -2.82% ⋁,0.6505 -9.38% ⋁,0.6660 -11.49% ⋁,0.6764 -12.85% ⋁,0.6309 -6.56% ⋁
Exponential Moving Average (200),0.6039 -2.39% ⋁,0.6019 -2.06% ⋁,0.6117 -3.63% ⋁,0.6418 -8.16% ⋁,0.6555 -10.07% ⋁,0.6830 -13.69% ⋁,0.7421 -20.56% ⋁
Summary,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),40.30NE,32.59NE,37.95NE,41.51NE,43.29NE,43.20NE,43.67NE
"Stochastic K (14,3,3)",20.24NE,15.47OS,5.03OS,6.11OS,19.45OS,33.72NE,25.18NE
Commodity Channel Index (20),-111.81OS,-136.30OS,-156.63OS,-123.87OS,-82.34NE,-70.29NE,-76.48NE
Williams %R (14),-73.81NE,-81.20OS,-96.43OS,-96.43OS,-91.68OS,-74.01NE,-75.84NE
"Bollinger Bands Upper / Lower (20,2,2)",0.59710.5869NE,0.60580.5865NE,0.62530.5870NE,0.61850.5857NE,0.61830.5804NE,0.64080.5775NE,0.81450.5063NE
Summary,OB: 0 OS: 1 NE: 4,OB: 0 OS: 3 NE: 2,OB: 0 OS: 3 NE: 2,OB: 0 OS: 3 NE: 2,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
