Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),123.686 0.51% ⋀,123.676 0.52% ⋀,124.155 0.13% ⋀,124.535 -0.17% ⋁,124.669 -0.28% ⋁,124.174 0.12% ⋀,124.502 -0.15% ⋁
Exponential Moving Average (10),123.884 0.35% ⋀,123.750 0.46% ⋀,124.126 0.16% ⋀,124.403 -0.07% ⋁,124.424 -0.08% ⋁,124.230 0.07% ⋀,125.966 -1.31% ⋁
Simple Moving Average (20),123.618 0.57% ⋀,123.426 0.72% ⋀,124.369 -0.04% ⋁,124.532 -0.17% ⋁,123.713 0.49% ⋀,124.164 0.13% ⋀,131.137 -5.20% ⋁
Exponential Moving Average (20),123.675 0.52% ⋀,123.729 0.48% ⋀,124.313 0.01% ⋀,124.343 -0.02% ⋁,124.301 0.02% ⋀,124.406 -0.07% ⋁,131.280 -5.30% ⋁
Simple Moving Average (30),123.526 0.64% ⋀,123.794 0.43% ⋀,124.592 -0.22% ⋁,124.169 0.12% ⋀,124.300 0.02% ⋀,124.400 -0.06% ⋁,137.295 -9.45% ⋁
Exponential Moving Average (30),123.616 0.57% ⋀,123.852 0.38% ⋀,124.343 -0.02% ⋁,124.254 0.05% ⋀,124.475 -0.12% ⋁,125.154 -0.67% ⋁,136.256 -8.76% ⋁
Simple Moving Average (50),123.396 0.75% ⋀,124.380 -0.05% ⋁,124.472 -0.12% ⋁,123.906 0.33% ⋀,124.458 -0.11% ⋁,126.461 -1.69% ⋁,149.732 -16.97% ⋁
Exponential Moving Average (50),123.673 0.52% ⋀,124.083 0.19% ⋀,124.257 0.05% ⋀,124.314 0.00% ⋀,125.577 -1.00% ⋁,127.424 -2.44% ⋁,143.083 -13.11% ⋁
Simple Moving Average (100),124.197 0.10% ⋀,124.648 -0.26% ⋁,123.970 0.28% ⋀,124.483 -0.13% ⋁,131.169 -5.22% ⋁,134.009 -7.23% ⋁,153.801 -19.17% ⋁
Exponential Moving Average (100),123.987 0.27% ⋀,124.341 -0.02% ⋁,124.232 0.07% ⋀,126.096 -1.41% ⋁,129.907 -4.30% ⋁,134.550 -7.60% ⋁,149.076 -16.61% ⋁
Simple Moving Average (200),124.575 -0.20% ⋁,124.498 -0.14% ⋁,124.522 -0.16% ⋁,131.154 -5.21% ⋁,138.917 -10.51% ⋁,149.620 -16.91% ⋁,151.787 -18.10% ⋁
Exponential Moving Average (200),124.300 0.02% ⋀,124.024 0.24% ⋀,125.449 -0.90% ⋁,129.703 -4.15% ⋁,139.936 -11.16% ⋁,144.859 -14.18% ⋁,168.463 -26.20% ⋁
Summary,Up: 11 Down: 1 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 4 Down: 8 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),61.18NE,54.90NE,49.84NE,50.32NE,49.73NE,48.08NE,41.26NE
"Stochastic K (14,3,3)",87.61OB,91.63OB,49.08NE,51.53NE,61.74NE,69.17NE,20.14NE
Commodity Channel Index (20),99.46NE,119.35OB,-15.57NE,-39.91NE,36.85NE,-41.94NE,-52.99NE
Williams %R (14),-6.28OB,-6.28OB,-43.81NE,-43.81NE,-42.54NE,-29.38NE,-73.22NE
"Bollinger Bands Upper / Lower (20,2,2)",124.719122.517NE,124.639122.213NE,125.935122.803NE,125.665123.398NE,126.563120.862NE,127.073121.254NE,153.531108.742NE
Summary,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
