Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00000074 -0.40% ⋁,0.00000074 -0.13% ⋁,0.00000074 0.41% ⋀,0.00000073 0.82% ⋀,0.00000073 1.51% ⋀,0.00000072 3.35% ⋀,0.00000071 4.37% ⋀
Exponential Moving Average (10),0.00000074 -0.24% ⋁,0.00000074 -0.15% ⋁,0.00000074 0.46% ⋀,0.00000073 0.86% ⋀,0.00000073 1.38% ⋀,0.00000072 2.75% ⋀,0.00000072 2.85% ⋀
Simple Moving Average (20),0.00000074 -0.07% ⋁,0.00000074 0.41% ⋀,0.00000073 1.23% ⋀,0.00000072 2.28% ⋀,0.00000071 3.64% ⋀,0.00000071 4.74% ⋀,0.00000073 2.07% ⋀
Exponential Moving Average (20),0.00000074 -0.06% ⋁,0.00000074 0.16% ⋀,0.00000073 1.14% ⋀,0.00000073 1.98% ⋀,0.00000072 2.78% ⋀,0.00000071 3.80% ⋀,0.00000074 0.26% ⋀
Simple Moving Average (30),0.00000074 0.32% ⋀,0.00000074 0.45% ⋀,0.00000073 1.88% ⋀,0.00000072 3.40% ⋀,0.00000071 4.47% ⋀,0.00000071 4.62% ⋀,0.00000078 -4.60% ⋁
Exponential Moving Average (30),0.00000074 0.11% ⋀,0.00000074 0.36% ⋀,0.00000073 1.73% ⋀,0.00000072 2.74% ⋀,0.00000072 3.41% ⋀,0.00000071 3.89% ⋀,0.00000076 -2.24% ⋁
Simple Moving Average (50),0.00000074 0.57% ⋀,0.00000074 0.57% ⋀,0.00000072 3.21% ⋀,0.00000071 4.61% ⋀,0.00000071 4.61% ⋀,0.00000071 4.55% ⋀,0.00000080 -7.73% ⋁
Exponential Moving Average (50),0.00000074 0.34% ⋀,0.00000073 0.73% ⋀,0.00000072 2.63% ⋀,0.00000071 3.57% ⋀,0.00000071 3.51% ⋀,0.00000072 2.78% ⋀,0.00000079 -5.94% ⋁
Simple Moving Average (100),0.00000074 0.60% ⋀,0.00000073 1.69% ⋀,0.00000071 4.73% ⋀,0.00000071 4.67% ⋀,0.00000072 3.11% ⋀,0.00000076 -2.21% ⋁,0.00000084 -11.72% ⋁
Exponential Moving Average (100),0.00000073 0.79% ⋀,0.00000073 1.65% ⋀,0.00000071 3.72% ⋀,0.00000071 3.85% ⋀,0.00000073 0.91% ⋀,0.00000075 -0.99% ⋁,0.00000086 -13.94% ⋁
Simple Moving Average (200),0.00000073 1.75% ⋀,0.00000071 3.61% ⋀,0.00000071 4.72% ⋀,0.00000072 3.11% ⋀,0.00000079 -6.35% ⋁,0.00000081 -8.09% ⋁,0.00000102 -27.77% ⋁
Exponential Moving Average (200),0.00000073 1.88% ⋀,0.00000072 3.03% ⋀,0.00000071 4.24% ⋀,0.00000074 0.55% ⋀,0.00000076 -3.18% ⋁,0.00000077 -4.39% ⋁,0.00000105 -29.81% ⋁
Summary,Up: 8 Down: 4 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 4 Down: 8 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),50.94NE,51.98NE,57.84NE,59.42NE,63.41NE,67.06NE,47.49NE
"Stochastic K (14,3,3)",0.00OS,66.67NE,77.78NE,78.33NE,85.71OB,80.16OB,56.94NE
Commodity Channel Index (20),-21.05NE,40.73NE,95.24NE,109.68OB,130.06OB,193.49OB,31.83NE
Williams %R (14),-100.00OS,-50.00NE,-33.33NE,-25.00NE,-14.29OB,-14.29OB,-12.50OB
"Bollinger Bands Upper / Lower (20,2,2)",0.000000740.00000074OS,0.000000740.00000074OB,0.000000730.00000073OB,0.000000720.00000072OB,0.000000710.00000071OB,0.000000710.00000071OB,0.000000730.00000073OB
Summary,OB: 0 OS: 3 NE: 2,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 2 OS: 0 NE: 3,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 2 OS: 0 NE: 3
