Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.290770 0.70% ⋀,0.287960 1.68% ⋀,0.288440 1.51% ⋀,0.288400 1.53% ⋀,0.286350 2.25% ⋀,0.280660 4.33% ⋀,0.277210 5.62% ⋀
Exponential Moving Average (10),0.290709 0.72% ⋀,0.288640 1.44% ⋀,0.288336 1.55% ⋀,0.288098 1.63% ⋀,0.285774 2.46% ⋀,0.281668 3.95% ⋀,0.284425 2.94% ⋀
Simple Moving Average (20),0.288020 1.66% ⋀,0.285830 2.44% ⋀,0.287645 1.79% ⋀,0.284430 2.94% ⋀,0.275600 6.24% ⋀,0.273115 7.21% ⋀,0.292430 0.13% ⋀
Exponential Moving Average (20),0.289074 1.29% ⋀,0.287576 1.82% ⋀,0.286976 2.03% ⋀,0.284318 2.98% ⋀,0.280460 4.40% ⋀,0.277866 5.37% ⋀,0.306834 -4.57% ⋁
Simple Moving Average (30),0.287507 1.84% ⋀,0.287163 1.96% ⋀,0.286040 2.36% ⋀,0.279973 4.58% ⋀,0.273647 7.00% ⋀,0.274953 6.49% ⋀,0.344207 -14.93% ⋁
Exponential Moving Average (30),0.288155 1.61% ⋀,0.287402 1.88% ⋀,0.285200 2.66% ⋀,0.281264 4.10% ⋀,0.278490 5.14% ⋀,0.278797 5.02% ⋀,0.328592 -10.89% ⋁
Simple Moving Average (50),0.285758 2.46% ⋀,0.287974 1.68% ⋀,0.281630 3.97% ⋀,0.273202 7.17% ⋀,0.275000 6.47% ⋀,0.279234 4.86% ⋀,0.400166 -26.83% ⋁
Exponential Moving Average (50),0.287403 1.88% ⋀,0.287205 1.95% ⋀,0.281788 3.91% ⋀,0.278115 5.28% ⋀,0.280426 4.41% ⋀,0.287956 1.68% ⋀,0.351456 -16.69% ⋁
Simple Moving Average (100),0.287491 1.85% ⋀,0.286925 2.05% ⋀,0.272928 7.28% ⋀,0.274847 6.53% ⋀,0.288112 1.63% ⋀,0.324859 -9.87% ⋁,0.361548 -19.01% ⋁
Exponential Moving Average (100),0.287112 1.98% ⋀,0.285725 2.48% ⋀,0.277652 5.46% ⋀,0.279207 4.87% ⋀,0.300630 -2.60% ⋁,0.322979 -9.34% ⋁,0.355080 -17.54% ⋁
Simple Moving Average (200),0.287338 1.90% ⋀,0.281346 4.07% ⋀,0.274739 6.57% ⋀,0.288349 1.54% ⋀,0.356744 -17.92% ⋁,0.401762 -27.12% ⋁,0.328593 -10.89% ⋁
Exponential Moving Average (200),0.286966 2.03% ⋀,0.279942 4.59% ⋀,0.277964 5.34% ⋀,0.302861 -3.32% ⋁,0.347926 -15.84% ⋁,0.347300 -15.69% ⋁,0.362217 -19.16% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),75.09OB,66.61NE,62.71NE,66.63NE,66.14NE,62.91NE,41.71NE
"Stochastic K (14,3,3)",91.41OB,93.57OB,68.23NE,75.03NE,90.19OB,88.78OB,50.39NE
Commodity Channel Index (20),111.34OB,199.08OB,145.15OB,118.36OB,109.36OB,136.33OB,-12.78NE
Williams %R (14),-1.03OB,-0.86OB,-7.03OB,-6.21OB,-2.93OB,-1.97OB,-28.71NE
"Bollinger Bands Upper / Lower (20,2,2)",0.2941490.281891NE,0.2917890.279871OB,0.2932610.282029NE,0.2954870.273373NE,0.3007010.250499NE,0.2941670.252063NE,0.3361480.248712NE
Summary,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 2 OS: 0 NE: 3,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 3 OS: 0 NE: 2,OB: 0 OS: 0 NE: 5
