Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.5385 0.15% ⋀,0.5375 0.34% ⋀,0.5382 0.21% ⋀,0.5369 0.44% ⋀,0.5362 0.57% ⋀,0.5270 2.34% ⋀,0.5303 1.70% ⋀
Exponential Moving Average (10),0.5383 0.18% ⋀,0.5374 0.36% ⋀,0.5374 0.35% ⋀,0.5370 0.44% ⋀,0.5340 1.00% ⋀,0.5297 1.82% ⋀,-
Simple Moving Average (20),0.5373 0.38% ⋀,0.5357 0.67% ⋀,0.5365 0.53% ⋀,0.5337 1.06% ⋀,0.5200 3.71% ⋀,0.5216 3.40% ⋀,0.5555 -2.91% ⋁
Exponential Moving Average (20),0.5377 0.30% ⋀,0.5371 0.42% ⋀,0.5364 0.54% ⋀,0.5325 1.27% ⋀,0.5287 2.00% ⋀,0.5276 2.21% ⋀,-
Simple Moving Average (30),0.5374 0.36% ⋀,0.5374 0.35% ⋀,0.5372 0.38% ⋀,0.5252 2.68% ⋀,0.5221 3.30% ⋀,0.5281 2.12% ⋀,0.6156 -12.39% ⋁
Exponential Moving Average (30),0.5373 0.38% ⋀,0.5372 0.40% ⋀,0.5343 0.94% ⋀,0.5291 1.92% ⋀,0.5282 2.09% ⋀,0.5315 1.47% ⋀,-
Simple Moving Average (50),0.5354 0.73% ⋀,0.5383 0.18% ⋀,0.5295 1.84% ⋀,0.5198 3.74% ⋀,0.5290 1.95% ⋀,0.5404 -0.21% ⋁,0.5560 -3.01% ⋁
Exponential Moving Average (50),0.5370 0.43% ⋀,0.5371 0.40% ⋀,0.5301 1.74% ⋀,0.5270 2.34% ⋀,0.5340 0.99% ⋀,0.5438 -0.82% ⋁,-
Simple Moving Average (100),0.5381 0.23% ⋀,0.5382 0.21% ⋀,0.5199 3.72% ⋀,0.5290 1.96% ⋀,0.5548 -2.79% ⋁,0.5910 -8.75% ⋁,-
Exponential Moving Average (100),0.5370 0.43% ⋀,0.5353 0.76% ⋀,0.5268 2.37% ⋀,0.5335 1.09% ⋀,0.5621 -4.05% ⋁,-,-
Simple Moving Average (200),0.5369 0.45% ⋀,0.5291 1.93% ⋀,0.5291 1.92% ⋀,0.5550 -2.83% ⋁,0.6291 -14.28% ⋁,-,-
Exponential Moving Average (200),0.5378 0.27% ⋀,0.5271 2.32% ⋀,0.5328 1.21% ⋀,0.5627 -4.16% ⋁,-,-,-
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 3 Neutral: 0,Up: 6 Down: 3 Neutral: 0,Up: 1 Down: 3 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),61.09NE,56.64NE,56.69NE,59.07NE,57.43NE,54.59NE,-
"Stochastic K (14,3,3)",77.38NE,86.03OB,53.37NE,49.51NE,80.63OB,83.68OB,39.63NE
Commodity Channel Index (20),94.85NE,100.34OB,50.48NE,53.09NE,79.54NE,79.64NE,-49.48NE
Williams %R (14),-10.71OB,-9.52OB,-40.99NE,-47.98NE,-19.42OB,-14.64OB,-57.26NE
"Bollinger Bands Upper / Lower (20,2,2)",0.54020.5343NE,0.54050.5309NE,0.54390.5291NE,0.55070.5166NE,0.55750.4825NE,0.55270.4905NE,0.62170.4892NE
Summary,OB: 1 OS: 0 NE: 4,OB: 3 OS: 0 NE: 2,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 4
