Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00005491 0.12% ⋀,0.00005459 0.72% ⋀,0.00005412 1.58% ⋀,0.00005411 1.62% ⋀,0.00005283 4.08% ⋀,0.00005133 7.11% ⋀,0.00005078 8.28% ⋀
Exponential Moving Average (10),0.00005488 0.19% ⋀,0.00005460 0.69% ⋀,0.00005419 1.46% ⋀,0.00005382 2.16% ⋀,0.00005308 3.58% ⋀,0.00005212 5.49% ⋀,0.00005196 5.82% ⋀
Simple Moving Average (20),0.00005472 0.48% ⋀,0.00005406 1.70% ⋀,0.00005398 1.85% ⋀,0.00005234 5.05% ⋀,0.00005088 8.06% ⋀,0.00005078 8.28% ⋀,0.00005275 4.22% ⋀
Exponential Moving Average (20),0.00005473 0.47% ⋀,0.00005431 1.23% ⋀,0.00005361 2.56% ⋀,0.00005274 4.24% ⋀,0.00005192 5.90% ⋀,0.00005126 7.27% ⋀,0.00005301 3.71% ⋀
Simple Moving Average (30),0.00005456 0.76% ⋀,0.00005401 1.80% ⋀,0.00005294 3.85% ⋀,0.00005125 7.28% ⋀,0.00005092 7.97% ⋀,0.00005063 8.59% ⋀,0.00005721 -3.91% ⋁
Exponential Moving Average (30),0.00005458 0.74% ⋀,0.00005415 1.52% ⋀,0.00005303 3.68% ⋀,0.00005206 5.60% ⋀,0.00005144 6.89% ⋀,0.00005113 7.52% ⋀,0.00005334 3.07% ⋀
Simple Moving Average (50),0.00005418 1.47% ⋀,0.00005389 2.02% ⋀,0.00005149 6.77% ⋀,0.00005069 8.47% ⋀,0.00005053 8.81% ⋀,0.00005068 8.47% ⋀,0.00005511 -0.23% ⋁
Exponential Moving Average (50),0.00005436 1.14% ⋀,0.00005390 2.00% ⋀,0.00005217 5.38% ⋀,0.00005139 6.98% ⋀,0.00005132 7.14% ⋀,0.00005168 6.38% ⋀,0.00005197 5.79% ⋀
Simple Moving Average (100),0.00005398 1.85% ⋀,0.00005333 3.10% ⋀,0.00005064 8.58% ⋀,0.00005044 9.00% ⋀,0.00005187 5.99% ⋀,0.00005470 0.51% ⋀,0.00004376 25.65% ⋀
Exponential Moving Average (100),0.00005412 1.59% ⋀,0.00005316 3.42% ⋀,0.00005122 7.35% ⋀,0.00005120 7.37% ⋀,0.00005291 3.91% ⋀,0.00005292 3.89% ⋀,0.00004740 16.00% ⋀
Simple Moving Average (200),0.00005390 2.01% ⋀,0.00005140 6.96% ⋀,0.00005040 9.08% ⋀,0.00005187 6.00% ⋀,0.00005770 -4.71% ⋁,0.00005488 0.18% ⋀,0.00003999 37.50% ⋀
Exponential Moving Average (200),0.00005366 2.45% ⋀,0.00005193 5.87% ⋀,0.00005089 8.04% ⋀,0.00005292 3.89% ⋀,0.00005324 3.26% ⋀,0.00004986 10.28% ⋀,0.00004361 26.07% ⋀
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),65.40NE,68.00NE,67.27NE,68.12NE,67.64NE,66.41NE,52.96NE
"Stochastic K (14,3,3)",81.68OB,89.69OB,88.81OB,88.23OB,87.46OB,80.57OB,57.09NE
Commodity Channel Index (20),74.35NE,114.18OB,213.21OB,94.54NE,136.87OB,156.57OB,44.41NE
Williams %R (14),-12.66OB,-6.29OB,-4.24OB,-6.80OB,-4.46OB,-4.30OB,-4.10OB
"Bollinger Bands Upper / Lower (20,2,2)",0.000055230.00005421NE,0.000055320.00005280NE,0.000054970.00005298OB,0.000056420.00004826NE,0.000055710.00004605NE,0.000054670.00004688OB,0.000059340.00004617NE
Summary,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 4 OS: 0 NE: 1,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 4 OS: 0 NE: 1,OB: 1 OS: 0 NE: 4
