Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),3.3529 0.06% ⋀,3.3529 0.06% ⋀,3.3606 -0.17% ⋁,3.3591 -0.12% ⋁,3.3519 0.09% ⋀,3.3114 1.32% ⋀,3.2709 2.57% ⋀
Exponential Moving Average (10),3.3515 0.10% ⋀,3.3499 0.15% ⋀,3.3561 -0.03% ⋁,3.3539 0.03% ⋀,3.3420 0.39% ⋀,3.3137 1.25% ⋀,3.2924 1.90% ⋀
Simple Moving Average (20),3.3485 0.19% ⋀,3.3441 0.33% ⋀,3.3565 -0.04% ⋁,3.3421 0.39% ⋀,3.2914 1.93% ⋀,3.2626 2.83% ⋀,3.2562 3.04% ⋀
Exponential Moving Average (20),3.3506 0.13% ⋀,3.3506 0.13% ⋀,3.3533 0.05% ⋀,3.3367 0.55% ⋀,3.3117 1.31% ⋀,3.2854 2.12% ⋀,3.3872 -0.95% ⋁
Simple Moving Average (30),3.3530 0.06% ⋀,3.3542 0.02% ⋀,3.3538 0.04% ⋀,3.3155 1.19% ⋀,3.2733 2.49% ⋀,3.2565 3.02% ⋀,3.4987 -4.11% ⋁
Exponential Moving Average (30),3.3499 0.15% ⋀,3.3524 0.08% ⋀,3.3452 0.29% ⋀,3.3189 1.09% ⋀,3.2958 1.80% ⋀,3.2798 2.29% ⋀,3.5252 -4.83% ⋁
Simple Moving Average (50),3.3437 0.34% ⋀,3.3630 -0.24% ⋁,3.3327 0.67% ⋀,3.2724 2.53% ⋀,3.2704 2.59% ⋀,3.2719 2.54% ⋀,3.9305 -14.64% ⋁
Exponential Moving Average (50),3.3503 0.14% ⋀,3.3538 0.04% ⋀,3.3258 0.88% ⋀,3.2965 1.78% ⋀,3.2920 1.92% ⋀,3.3057 1.49% ⋀,3.7585 -10.74% ⋁
Simple Moving Average (100),3.3562 -0.04% ⋁,3.3549 0.00% ⋀,3.2731 2.50% ⋀,3.2691 2.63% ⋀,3.2950 1.82% ⋀,3.4183 -1.85% ⋁,4.2261 -20.61% ⋁
Exponential Moving Average (100),3.3522 0.08% ⋀,3.3492 0.17% ⋀,3.2986 1.71% ⋀,3.2837 2.17% ⋀,3.3680 -0.39% ⋁,3.4865 -3.77% ⋁,4.0441 -17.04% ⋁
Simple Moving Average (200),3.3566 -0.05% ⋁,3.3320 0.69% ⋀,3.2696 2.61% ⋀,3.2926 1.90% ⋀,3.5999 -6.80% ⋁,3.9568 -15.21% ⋁,4.3549 -22.96% ⋁
Exponential Moving Average (200),3.3536 0.04% ⋀,3.3164 1.16% ⋀,3.2829 2.19% ⋀,3.3575 -0.07% ⋁,3.6564 -8.24% ⋁,3.8029 -11.78% ⋁,4.5427 -26.15% ⋁
Summary,Up: 10 Down: 2 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),54.14NE,51.27NE,51.81NE,54.96NE,56.82NE,57.97NE,46.23NE
"Stochastic K (14,3,3)",70.94NE,63.41NE,39.10NE,47.22NE,73.56NE,77.25NE,49.80NE
Commodity Channel Index (20),39.13NE,49.87NE,-6.06NE,37.18NE,71.07NE,99.97NE,65.83NE
Williams %R (14),-17.95OB,-34.33NE,-60.16NE,-51.39NE,-29.02NE,-21.76NE,-36.47NE
"Bollinger Bands Upper / Lower (20,2,2)",3.36523.3319NE,3.36953.3187NE,3.40253.3105NE,3.40523.2790NE,3.45103.1317NE,3.39623.1289NE,3.53492.9774NE
Summary,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
