Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),35.9660 0.15% ⋀,35.8970 0.34% ⋀,36.0090 0.03% ⋀,35.9970 0.06% ⋀,35.8400 0.50% ⋀,35.4330 1.66% ⋀,35.2500 2.18% ⋀
Exponential Moving Average (10),35.9605 0.17% ⋀,35.8925 0.36% ⋀,35.9376 0.23% ⋀,35.9328 0.24% ⋀,35.7968 0.62% ⋀,35.5129 1.43% ⋀,35.8089 0.59% ⋀
Simple Moving Average (20),35.8615 0.44% ⋀,35.7515 0.75% ⋀,35.9530 0.19% ⋀,35.7235 0.83% ⋀,35.2375 2.22% ⋀,35.1310 2.53% ⋀,36.7225 -1.91% ⋁
Exponential Moving Average (20),35.9088 0.31% ⋀,35.8735 0.41% ⋀,35.8910 0.36% ⋀,35.7260 0.82% ⋀,35.5203 1.41% ⋀,35.3427 1.92% ⋀,37.7538 -4.59% ⋁
Simple Moving Average (30),35.8940 0.35% ⋀,35.8837 0.38% ⋀,35.8517 0.47% ⋀,35.4343 1.65% ⋀,35.2057 2.31% ⋀,35.1770 2.40% ⋀,40.3507 -10.73% ⋁
Exponential Moving Average (30),35.8789 0.39% ⋀,35.8910 0.36% ⋀,35.7918 0.64% ⋀,35.5559 1.31% ⋀,35.4306 1.66% ⋀,35.4730 1.54% ⋀,39.8887 -9.70% ⋁
Simple Moving Average (50),35.7598 0.73% ⋀,36.0100 0.03% ⋀,35.5736 1.25% ⋀,35.1562 2.46% ⋀,35.1914 2.35% ⋀,35.6006 1.18% ⋀,45.5708 -20.96% ⋁
Exponential Moving Average (50),35.8631 0.44% ⋀,35.9072 0.31% ⋀,35.5961 1.19% ⋀,35.3904 1.78% ⋀,35.6467 1.05% ⋀,36.2451 -0.62% ⋁,43.2009 -16.62% ⋁
Simple Moving Average (100),35.9411 0.22% ⋀,35.9236 0.27% ⋀,35.1542 2.46% ⋀,35.1677 2.42% ⋀,36.4993 -1.31% ⋁,39.1610 -8.02% ⋁,49.1856 -26.77% ⋁
Exponential Moving Average (100),35.8855 0.37% ⋀,35.8328 0.52% ⋀,35.3614 1.86% ⋀,35.5899 1.21% ⋀,37.2745 -3.37% ⋁,39.2247 -8.17% ⋁,47.2547 -23.77% ⋁
Simple Moving Average (200),35.9611 0.16% ⋀,35.5552 1.31% ⋀,35.1693 2.42% ⋀,36.5099 -1.34% ⋁,41.6040 -13.42% ⋁,45.8956 -21.52% ⋁,52.1859 -30.98% ⋁
Exponential Moving Average (200),35.9029 0.33% ⋀,35.5016 1.46% ⋀,35.4870 1.50% ⋀,37.4230 -3.75% ⋁,41.4249 -13.05% ⋁,43.6427 -17.47% ⋁,47.8805 -24.77% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),61.73NE,55.63NE,53.88NE,57.41NE,58.07NE,56.25NE,38.28NE
"Stochastic K (14,3,3)",83.97OB,86.42OB,53.75NE,58.89NE,74.89NE,78.15NE,34.16NE
Commodity Channel Index (20),92.19NE,106.64OB,24.25NE,70.79NE,96.98NE,106.52OB,-34.60NE
Williams %R (14),-13.46OB,-13.24OB,-38.76NE,-38.76NE,-23.04NE,-16.67OB,-51.49NE
"Bollinger Bands Upper / Lower (20,2,2)",36.112535.6105NE,36.147535.3555NE,36.462535.4435NE,36.484534.9625NE,36.682633.7924NE,36.248034.0140NE,40.698132.7469NE
Summary,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5
