Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),"3,960.51 0.07% ⋀","3,967.10 -0.10% ⋁","3,978.13 -0.38% ⋁","3,984.10 -0.53% ⋁","4,004.84 -1.04% ⋁","3,996.71 -0.84% ⋁","3,949.72 0.34% ⋀"
Exponential Moving Average (10),"3,960.39 0.07% ⋀","3,961.24 0.05% ⋀","3,972.93 -0.25% ⋁","3,982.13 -0.48% ⋁","3,985.62 -0.56% ⋁","3,977.84 -0.37% ⋁","3,980.54 -0.44% ⋁"
Simple Moving Average (20),"3,959.70 0.09% ⋀","3,958.56 0.12% ⋀","3,986.60 -0.59% ⋁","4,002.03 -0.97% ⋁","3,961.19 0.05% ⋀","3,953.41 0.25% ⋀","4,045.33 -2.03% ⋁"
Exponential Moving Average (20),"3,961.11 0.05% ⋀","3,965.18 -0.05% ⋁","3,984.29 -0.53% ⋁","3,985.28 -0.56% ⋁","3,974.58 -0.29% ⋁","3,963.24 0.00% ⋁","4,046.30 -2.05% ⋁"
Simple Moving Average (30),"3,966.86 -0.09% ⋁","3,973.14 -0.25% ⋁","4,003.00 -1.00% ⋁","3,992.50 -0.74% ⋁","3,956.23 0.17% ⋀","3,952.21 0.28% ⋀","4,150.56 -4.52% ⋁"
Exponential Moving Average (30),"3,961.76 0.04% ⋀","3,969.79 -0.17% ⋁","3,987.75 -0.62% ⋁","3,978.74 -0.39% ⋁","3,965.83 -0.07% ⋁","3,963.68 -0.01% ⋁","4,095.81 -3.24% ⋁"
Simple Moving Average (50),"3,955.83 0.18% ⋀","3,981.88 -0.47% ⋁","4,005.70 -1.06% ⋁","3,953.27 0.25% ⋀","3,941.73 0.54% ⋀","3,944.35 0.48% ⋀","4,278.54 -7.37% ⋁"
Exponential Moving Average (50),"3,964.10 -0.02% ⋁","3,977.73 -0.37% ⋁","3,983.05 -0.50% ⋁","3,966.29 -0.08% ⋁","3,969.46 -0.16% ⋁","3,990.48 -0.68% ⋁","4,110.15 -3.58% ⋁"
Simple Moving Average (100),"3,976.20 -0.33% ⋁","4,000.81 -0.94% ⋁","3,954.54 0.22% ⋀","3,939.01 0.61% ⋀","4,023.70 -1.50% ⋁","4,130.64 -4.05% ⋁","3,956.05 0.18% ⋀"
Exponential Moving Average (100),"3,970.68 -0.19% ⋁","3,990.03 -0.67% ⋁","3,966.39 -0.08% ⋁","3,974.44 -0.28% ⋁","4,019.97 -1.41% ⋁","4,091.75 -3.14% ⋁","3,900.36 1.61% ⋀"
Simple Moving Average (200),"3,982.64 -0.49% ⋁","4,005.65 -1.06% ⋁","3,939.35 0.60% ⋀","4,024.90 -1.53% ⋁","4,158.53 -4.70% ⋁","4,281.68 -7.44% ⋁","3,308.56 19.78% ⋀"
Exponential Moving Average (200),"3,987.03 -0.60% ⋁","3,972.51 -0.24% ⋁","3,954.99 0.21% ⋀","4,049.63 -2.14% ⋁","4,148.02 -4.46% ⋁","4,125.72 -3.94% ⋁","3,482.41 13.80% ⋀"
Summary,Up: 6 Down: 6 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 5 Down: 7 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),51.33NE,47.81NE,43.55NE,46.92NE,49.33NE,50.11NE,45.78NE
"Stochastic K (14,3,3)",77.79NE,46.14NE,42.95NE,30.10NE,47.38NE,68.88NE,46.01NE
Commodity Channel Index (20),34.77NE,9.74NE,-84.90NE,-119.60OS,0.05NE,8.79NE,-35.56NE
Williams %R (14),-12.99OB,-52.61NE,-56.95NE,-67.80NE,-67.80NE,-34.71NE,-45.62NE
"Bollinger Bands Upper / Lower (20,2,2)","3,974.683,944.71NE","3,993.663,923.47NE","4,036.493,936.70NE","4,060.113,943.96NE","4,111.903,810.48NE","4,078.423,828.40NE","4,380.223,710.44NE"
Summary,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 1 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
