Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),1.67696 1.67% ⋀,1.66274 2.54% ⋀,1.64944 3.37% ⋀,1.63625 4.20% ⋀,1.59127 7.15% ⋀,1.51683 12.41% ⋀,1.46164 16.65% ⋀
Exponential Moving Average (10),1.67962 1.51% ⋀,1.66619 2.33% ⋀,1.65173 3.23% ⋀,1.63430 4.33% ⋀,1.59624 6.81% ⋀,1.54873 10.09% ⋀,1.51710 12.39% ⋀
Simple Moving Average (20),1.65757 2.86% ⋀,1.64348 3.74% ⋀,1.62538 4.90% ⋀,1.56811 8.73% ⋀,1.48634 14.71% ⋀,1.46926 16.05% ⋀,1.48960 14.46% ⋀
Exponential Moving Average (20),1.66801 2.22% ⋀,1.65331 3.13% ⋀,1.62174 5.13% ⋀,1.58089 7.85% ⋀,1.53483 11.09% ⋀,1.49650 13.93% ⋀,1.58694 7.44% ⋀
Simple Moving Average (30),1.66224 2.57% ⋀,1.63947 4.00% ⋀,1.59484 6.91% ⋀,1.51016 12.90% ⋀,1.47585 15.53% ⋀,1.46384 16.47% ⋀,1.72183 -0.98% ⋁
Exponential Moving Average (30),1.66171 2.61% ⋀,1.64541 3.62% ⋀,1.59409 6.96% ⋀,1.54509 10.35% ⋀,1.50464 13.32% ⋀,1.47961 15.23% ⋀,1.69271 0.73% ⋀
Simple Moving Average (50),1.64877 3.41% ⋀,1.63250 4.44% ⋀,1.52927 11.49% ⋀,1.46767 16.17% ⋀,1.45449 17.22% ⋀,1.43216 19.05% ⋀,2.02520 -15.81% ⋁
Exponential Moving Average (50),1.65328 3.13% ⋀,1.63239 4.45% ⋀,1.55174 9.88% ⋀,1.50540 13.26% ⋀,1.48556 14.77% ⋀,1.49487 14.06% ⋀,1.81934 -6.28% ⋁
Simple Moving Average (100),1.63951 3.99% ⋀,1.60518 6.22% ⋀,1.46411 16.45% ⋀,1.44818 17.73% ⋀,1.46203 16.62% ⋀,1.62127 5.16% ⋀,1.99086 -14.36% ⋁
Exponential Moving Average (100),1.64174 3.85% ⋀,1.59841 6.67% ⋀,1.49878 13.76% ⋀,1.47574 15.54% ⋀,1.54474 10.37% ⋀,1.64876 3.41% ⋀,1.75199 -2.68% ⋁
Simple Moving Average (200),1.62620 4.85% ⋀,1.52385 11.89% ⋀,1.44620 17.90% ⋀,1.46102 16.70% ⋀,1.76930 -3.63% ⋁,2.03775 -16.33% ⋁,1.21431 40.41% ⋀
Exponential Moving Average (200),1.62200 5.12% ⋀,1.53634 10.98% ⋀,1.45953 16.82% ⋀,1.55359 9.75% ⋀,1.77818 -4.12% ⋁,1.89834 -10.18% ⋁,1.42426 19.71% ⋀
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 7 Down: 5 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),75.09OB,65.18NE,65.52NE,68.13NE,73.64OB,69.84NE,51.76NE
"Stochastic K (14,3,3)",98.57OB,88.18OB,78.06NE,94.62OB,90.40OB,84.81OB,78.07NE
Commodity Channel Index (20),158.79OB,130.32OB,181.96OB,124.55OB,135.30OB,181.11OB,141.87OB
Williams %R (14),-1.88OB,-1.88OB,-1.28OB,-0.89OB,-0.47OB,-0.43OB,-0.36OB
"Bollinger Bands Upper / Lower (20,2,2)",1.705281.60986NE,1.715591.57136NE,1.697421.55333OB,1.733561.40265NE,1.724551.24812NE,1.661581.27693OB,1.726331.25286NE
Summary,OB: 4 OS: 0 NE: 1,OB: 3 OS: 0 NE: 2,OB: 3 OS: 0 NE: 2,OB: 3 OS: 0 NE: 2,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 2 OS: 0 NE: 3
