Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),41.416 0.08% ⋀,41.412 0.09% ⋀,41.493 -0.10% ⋁,41.550 -0.24% ⋁,41.809 -0.86% ⋁,41.672 -0.53% ⋁,39.912 3.86% ⋀
Exponential Moving Average (10),41.410 0.10% ⋀,41.389 0.15% ⋀,41.466 -0.04% ⋁,41.568 -0.28% ⋁,41.563 -0.27% ⋁,41.359 0.22% ⋀,40.736 1.76% ⋀
Simple Moving Average (20),41.361 0.22% ⋀,41.330 0.29% ⋀,41.568 -0.28% ⋁,41.781 -0.79% ⋁,41.169 0.69% ⋀,40.777 1.65% ⋀,40.817 1.55% ⋀
Exponential Moving Average (20),41.394 0.14% ⋀,41.400 0.12% ⋀,41.570 -0.29% ⋁,41.547 -0.23% ⋁,41.210 0.58% ⋀,40.830 1.52% ⋀,41.995 -1.30% ⋁
Simple Moving Average (30),41.414 0.09% ⋀,41.442 0.02% ⋀,41.786 -0.80% ⋁,41.633 -0.44% ⋁,40.805 1.58% ⋀,39.987 3.66% ⋀,43.856 -5.48% ⋁
Exponential Moving Average (30),41.387 0.15% ⋀,41.428 0.06% ⋀,41.594 -0.34% ⋁,41.371 0.19% ⋀,40.862 1.44% ⋀,40.576 2.16% ⋀,43.809 -5.38% ⋁
Simple Moving Average (50),41.325 0.30% ⋀,41.489 -0.09% ⋁,41.839 -0.93% ⋁,40.910 1.32% ⋀,39.828 4.08% ⋀,39.706 4.39% ⋀,48.802 -15.06% ⋁
Exponential Moving Average (50),41.391 0.15% ⋀,41.494 -0.10% ⋁,41.461 -0.02% ⋁,40.967 1.18% ⋀,40.591 2.12% ⋀,40.802 1.59% ⋀,46.730 -11.30% ⋁
Simple Moving Average (100),41.464 -0.03% ⋁,41.747 -0.71% ⋁,40.907 1.33% ⋀,39.787 4.18% ⋀,40.330 2.78% ⋀,42.842 -3.25% ⋁,53.277 -22.20% ⋁
Exponential Moving Average (100),41.429 0.05% ⋀,41.629 -0.43% ⋁,40.933 1.26% ⋀,40.527 2.28% ⋀,41.429 0.05% ⋀,43.185 -4.01% ⋁,48.517 -14.56% ⋁
Simple Moving Average (200),41.508 -0.14% ⋁,41.834 -0.91% ⋁,39.780 4.20% ⋀,40.336 2.76% ⋀,44.705 -7.28% ⋁,49.118 -15.61% ⋁,46.686 -11.21% ⋁
Exponential Moving Average (200),41.604 -0.37% ⋁,41.349 0.25% ⋀,40.360 2.70% ⋀,41.696 -0.59% ⋁,45.089 -8.07% ⋁,47.501 -12.74% ⋁,47.943 -13.54% ⋁
Summary,Up: 9 Down: 3 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 4 Down: 8 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),55.51NE,51.53NE,46.52NE,50.35NE,56.14NE,56.96NE,44.56NE
"Stochastic K (14,3,3)",77.24NE,64.33NE,50.10NE,30.86NE,55.03NE,69.93NE,72.94NE
Commodity Channel Index (20),75.99NE,57.38NE,-51.35NE,-86.94NE,21.59NE,41.74NE,27.30NE
Williams %R (14),-11.65OB,-34.00NE,-44.58NE,-68.52NE,-54.00NE,-28.78NE,-17.83OB
"Bollinger Bands Upper / Lower (20,2,2)",41.53341.189NE,41.59341.067NE,42.03641.099NE,42.42341.140NE,43.29439.043NE,42.77038.784NE,44.96736.667NE
Summary,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4
