Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.458528 -0.55% ⋁,0.455346 0.14% ⋀,0.450605 1.20% ⋀,0.448548 1.66% ⋀,0.444083 2.68% ⋀,0.437713 4.18% ⋀,0.437691 4.18% ⋀
Exponential Moving Average (10),0.457558 -0.34% ⋁,0.455562 0.09% ⋀,0.451985 0.89% ⋀,0.449588 1.42% ⋀,0.445316 2.40% ⋀,0.442318 3.09% ⋀,0.449988 1.33% ⋀
Simple Moving Average (20),0.455459 0.12% ⋀,0.451091 1.09% ⋀,0.446819 2.05% ⋀,0.442850 2.97% ⋀,0.433401 5.21% ⋀,0.438525 3.98% ⋀,0.469846 -2.95% ⋁
Exponential Moving Average (20),0.455561 0.09% ⋀,0.452654 0.74% ⋀,0.447733 1.84% ⋀,0.444040 2.69% ⋀,0.440540 3.51% ⋀,0.440221 3.58% ⋀,0.477448 -4.49% ⋁
Simple Moving Average (30),0.452664 0.74% ⋀,0.449926 1.35% ⋀,0.443859 2.73% ⋀,0.435545 4.69% ⋀,0.437927 4.13% ⋀,0.439298 3.80% ⋀,0.536301 -14.97% ⋁
Exponential Moving Average (30),0.453782 0.49% ⋀,0.450661 1.18% ⋀,0.444608 2.56% ⋀,0.441114 3.37% ⋀,0.439878 3.66% ⋀,0.443273 2.87% ⋀,0.497134 -8.28% ⋁
Simple Moving Average (50),0.449858 1.36% ⋀,0.446673 2.09% ⋀,0.437117 4.32% ⋀,0.436167 4.55% ⋀,0.437242 4.29% ⋀,0.445871 2.27% ⋀,0.537812 -15.21% ⋁
Exponential Moving Average (50),0.451049 1.10% ⋀,0.447691 1.85% ⋀,0.440807 3.45% ⋀,0.439293 3.80% ⋀,0.445618 2.33% ⋀,0.456661 -0.15% ⋁,0.514547 -11.38% ⋁
Simple Moving Average (100),0.445601 2.33% ⋀,0.441667 3.24% ⋀,0.436179 4.54% ⋀,0.436574 4.45% ⋀,0.464122 -1.75% ⋁,0.523233 -12.85% ⋁,0.528656 -13.74% ⋁
Exponential Moving Average (100),0.445816 2.28% ⋀,0.442210 3.12% ⋀,0.437284 4.28% ⋀,0.445140 2.44% ⋀,0.471357 -3.26% ⋁,0.488640 -6.68% ⋁,0.505441 -9.78% ⋁
Simple Moving Average (200),0.436540 4.46% ⋀,0.432136 5.52% ⋀,0.435521 4.70% ⋀,0.465044 -1.95% ⋁,0.538518 -15.32% ⋁,0.537726 -15.20% ⋁,0.450005 1.33% ⋀
Exponential Moving Average (200),0.438936 3.89% ⋀,0.439792 3.68% ⋀,0.442186 3.12% ⋀,0.486019 -6.18% ⋁,0.499747 -8.76% ⋁,0.515250 -11.50% ⋁,0.484071 -5.80% ⋁
Summary,Up: 10 Down: 2 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),53.13NE,56.66NE,62.26NE,64.18NE,61.30NE,57.99NE,43.81NE
"Stochastic K (14,3,3)",90.17OB,93.74OB,94.53OB,91.56OB,92.65OB,91.37OB,38.52NE
Commodity Channel Index (20),18.47NE,66.75NE,131.92OB,153.81OB,145.58OB,104.09OB,-30.46NE
Williams %R (14),-29.35NE,-18.71OB,-16.36OB,-12.81OB,-8.01OB,-6.53OB,-44.29NE
"Bollinger Bands Upper / Lower (20,2,2)",0.4636210.447298NE,0.4626680.439515NE,0.4596470.433991NE,0.4589200.426779NE,0.4594490.407352NE,0.4630370.414013NE,0.5517080.387984NE
Summary,OB: 1 OS: 0 NE: 4,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 3 OS: 0 NE: 2,OB: 3 OS: 0 NE: 2,OB: 3 OS: 0 NE: 2,OB: 0 OS: 0 NE: 5
