Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.32399 -0.24% ⋁,0.32320 0.00% ⋁,0.32405 -0.26% ⋁,0.32740 -1.28% ⋁,0.32447 -0.39% ⋁,0.31770 1.73% ⋀,0.28882 11.90% ⋀
Exponential Moving Average (10),0.32347 -0.08% ⋁,0.32289 0.10% ⋀,0.32438 -0.36% ⋁,0.32549 -0.70% ⋁,0.32260 0.19% ⋀,0.31863 1.44% ⋀,0.29823 8.37% ⋀
Simple Moving Average (20),0.32260 0.19% ⋀,0.32130 0.59% ⋀,0.32824 -1.53% ⋁,0.32438 -0.36% ⋁,0.31608 2.25% ⋀,0.31139 3.79% ⋀,0.27521 17.44% ⋀
Exponential Moving Average (20),0.32322 -0.01% ⋁,0.32289 0.10% ⋀,0.32549 -0.70% ⋁,0.32339 -0.06% ⋁,0.31589 2.32% ⋀,0.30773 5.03% ⋀,0.29591 9.22% ⋀
Simple Moving Average (30),0.32353 -0.10% ⋁,0.32298 0.07% ⋀,0.32950 -1.91% ⋁,0.31876 1.39% ⋀,0.31179 3.66% ⋀,0.29429 9.82% ⋀,0.29707 8.80% ⋀
Exponential Moving Average (30),0.32302 0.06% ⋀,0.32348 -0.09% ⋁,0.32474 -0.48% ⋁,0.31991 1.03% ⋀,0.30847 4.78% ⋀,0.29881 8.16% ⋀,0.30441 6.17% ⋀
Simple Moving Average (50),0.32200 0.37% ⋀,0.32494 -0.54% ⋁,0.32098 0.69% ⋀,0.31512 2.56% ⋀,0.28943 11.67% ⋀,0.27280 18.47% ⋀,0.33919 -4.71% ⋁
Exponential Moving Average (50),0.32294 0.08% ⋀,0.32473 -0.47% ⋁,0.32149 0.53% ⋀,0.31204 3.58% ⋀,0.29741 8.67% ⋀,0.29084 11.13% ⋀,0.31942 1.18% ⋀
Simple Moving Average (100),0.32368 -0.15% ⋁,0.33001 -2.06% ⋁,0.31491 2.63% ⋀,0.28831 12.10% ⋀,0.27211 18.78% ⋀,0.28711 12.57% ⋀,0.35756 -9.61% ⋁
Exponential Moving Average (100),0.32400 -0.25% ⋁,0.32494 -0.53% ⋁,0.31118 3.86% ⋀,0.29683 8.88% ⋀,0.29175 10.78% ⋀,0.29924 8.01% ⋀,0.32310 0.03% ⋀
Simple Moving Average (200),0.32718 -1.22% ⋁,0.32061 0.81% ⋀,0.28768 12.35% ⋀,0.27179 18.92% ⋀,0.30500 5.97% ⋀,0.34020 -5.00% ⋁,0.29043 11.28% ⋀
Exponential Moving Average (200),0.32698 -1.16% ⋁,0.32138 0.57% ⋀,0.29278 10.39% ⋀,0.29284 10.37% ⋀,0.31336 3.14% ⋀,0.32143 0.55% ⋀,0.31359 3.06% ⋀
Summary,Up: 4 Down: 8 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 10 Down: 2 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),50.65NE,49.83NE,47.61NE,52.10NE,58.44NE,61.25NE,55.53NE
"Stochastic K (14,3,3)",51.75NE,68.31NE,42.87NE,43.60NE,52.86NE,57.82NE,80.67OB
Commodity Channel Index (20),21.80NE,46.67NE,-65.50NE,-2.61NE,52.08NE,64.15NE,137.74OB
Williams %R (14),-47.37NE,-46.51NE,-54.63NE,-68.37NE,-45.79NE,-41.36NE,-15.94OB
"Bollinger Bands Upper / Lower (20,2,2)",0.326200.31900NE,0.327590.31501NE,0.339760.31671NE,0.346590.30217NE,0.338790.29336NE,0.340870.28191NE,0.335340.21508NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 3 OS: 0 NE: 2
