Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.0082718 0.45% ⋀,0.0082570 0.63% ⋀,0.0082583 0.61% ⋀,0.0082731 0.43% ⋀,0.0082328 0.93% ⋀,0.0080713 2.95% ⋀,0.0078393 5.99% ⋀
Exponential Moving Average (10),0.0082723 0.44% ⋀,0.0082531 0.68% ⋀,0.0082592 0.60% ⋀,0.0082507 0.71% ⋀,0.0081741 1.65% ⋀,0.0080451 3.28% ⋀,0.0080934 2.66% ⋀
Simple Moving Average (20),0.0082427 0.80% ⋀,0.0082099 1.21% ⋀,0.0082721 0.45% ⋀,0.0081902 1.45% ⋀,0.0078497 5.85% ⋀,0.0076956 7.97% ⋀,0.0084761 -1.97% ⋁
Exponential Moving Average (20),0.0082574 0.63% ⋀,0.0082415 0.82% ⋀,0.0082411 0.82% ⋀,0.0081490 1.96% ⋀,0.0079929 3.95% ⋀,0.0078950 5.24% ⋀,0.0087379 -4.91% ⋁
Simple Moving Average (30),0.0082554 0.65% ⋀,0.0082333 0.92% ⋀,0.0082463 0.76% ⋀,0.0080490 3.23% ⋀,0.0077122 7.74% ⋀,0.0077311 7.48% ⋀,0.0097271 -14.58% ⋁
Exponential Moving Average (30),0.0082483 0.74% ⋀,0.0082422 0.81% ⋀,0.0081942 1.40% ⋀,0.0080424 3.31% ⋀,0.0079149 4.98% ⋀,0.0079170 4.95% ⋀,0.0093528 -11.16% ⋁
Simple Moving Average (50),0.0082182 1.11% ⋀,0.0082626 0.56% ⋀,0.0081192 2.34% ⋀,0.0077293 7.50% ⋀,0.0077543 7.15% ⋀,0.0079363 4.70% ⋀,0.0113101 -26.53% ⋁
Exponential Moving Average (50),0.0082402 0.84% ⋀,0.0082450 0.78% ⋀,0.0080787 2.85% ⋀,0.0079163 4.96% ⋀,0.0079652 4.32% ⋀,0.0081908 1.44% ⋀,0.0100196 -17.07% ⋁
Simple Moving Average (100),0.0082418 0.82% ⋀,0.0082651 0.53% ⋀,0.0077201 7.63% ⋀,0.0077484 7.24% ⋀,0.0083326 -0.28% ⋁,0.0092478 -10.15% ⋁,0.0104562 -20.54% ⋁
Exponential Moving Average (100),0.0082404 0.83% ⋀,0.0082172 1.12% ⋀,0.0079106 5.04% ⋀,0.0079567 4.43% ⋀,0.0085830 -3.19% ⋁,0.0092028 -9.71% ⋁,0.0101053 -17.78% ⋁
Simple Moving Average (200),0.0082577 0.62% ⋀,0.0081113 2.44% ⋀,0.0077489 7.23% ⋀,0.0083437 -0.42% ⋁,0.0102243 -18.73% ⋁,0.0114160 -27.22% ⋁,0.0092218 -9.90% ⋁
Exponential Moving Average (200),0.0082506 0.71% ⋀,0.0080138 3.68% ⋀,0.0079121 5.02% ⋀,0.0086012 -3.40% ⋁,0.0099325 -16.35% ⋁,0.0099509 -16.50% ⋁,0.0102469 -18.91% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),64.22NE,58.84NE,56.85NE,62.47NE,63.66NE,60.46NE,40.75NE
"Stochastic K (14,3,3)",88.40OB,77.14NE,56.06NE,47.23NE,76.72NE,83.32OB,46.04NE
Commodity Channel Index (20),124.26OB,110.28OB,27.46NE,65.67NE,74.26NE,94.93NE,-16.37NE
Williams %R (14),0.00OB,-13.74OB,-33.59NE,-48.01NE,-23.70NE,-13.40OB,-39.80NE
"Bollinger Bands Upper / Lower (20,2,2)",0.00831690.0081684NE,0.00833060.0080891NE,0.00839850.0081457NE,0.00845930.0079210NE,0.00880270.0068966NE,0.00855030.0068409NE,0.01015660.0067956NE
Summary,OB: 3 OS: 0 NE: 2,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5
