Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00000068 -0.29% ⋁,0.00000068 -0.58% ⋁,0.00000067 2.10% ⋀,0.00000065 3.98% ⋀,0.00000064 5.75% ⋀,0.00000063 7.77% ⋀,0.00000063 7.59% ⋀
Exponential Moving Average (10),0.00000068 -0.18% ⋁,0.00000068 0.15% ⋀,0.00000067 1.93% ⋀,0.00000066 3.41% ⋀,0.00000065 4.55% ⋀,0.00000064 6.36% ⋀,0.00000064 5.91% ⋀
Simple Moving Average (20),0.00000069 -0.73% ⋁,0.00000067 1.19% ⋀,0.00000065 4.53% ⋀,0.00000064 6.83% ⋀,0.00000063 7.85% ⋀,0.00000063 8.37% ⋀,0.00000065 5.10% ⋀
Exponential Moving Average (20),0.00000068 -0.35% ⋁,0.00000067 0.90% ⋀,0.00000066 3.79% ⋀,0.00000064 5.51% ⋀,0.00000064 6.44% ⋀,0.00000063 7.55% ⋀,0.00000065 4.17% ⋀
Simple Moving Average (30),0.00000069 -0.83% ⋁,0.00000067 2.00% ⋀,0.00000064 6.03% ⋀,0.00000063 7.99% ⋀,0.00000063 7.99% ⋀,0.00000063 8.51% ⋀,0.00000067 2.20% ⋀
Exponential Moving Average (30),0.00000068 -0.18% ⋁,0.00000067 1.63% ⋀,0.00000065 5.02% ⋀,0.00000064 6.56% ⋀,0.00000063 7.13% ⋀,0.00000063 7.64% ⋀,0.00000067 1.36% ⋀
Simple Moving Average (50),0.00000068 0.56% ⋀,0.00000066 3.09% ⋀,0.00000063 7.77% ⋀,0.00000063 8.38% ⋀,0.00000063 8.45% ⋀,0.00000063 7.87% ⋀,0.00000071 -3.79% ⋁
Exponential Moving Average (50),0.00000068 0.46% ⋀,0.00000066 2.85% ⋀,0.00000064 6.42% ⋀,0.00000063 7.48% ⋀,0.00000063 7.29% ⋀,0.00000064 6.73% ⋀,0.00000071 -4.48% ⋁
Simple Moving Average (100),0.00000067 2.22% ⋀,0.00000064 5.70% ⋀,0.00000063 8.47% ⋀,0.00000063 8.68% ⋀,0.00000064 6.17% ⋀,0.00000066 3.20% ⋀,0.00000089 -23.27% ⋁
Exponential Moving Average (100),0.00000067 2.00% ⋀,0.00000065 4.87% ⋀,0.00000063 7.73% ⋀,0.00000063 7.57% ⋀,0.00000064 5.52% ⋀,0.00000066 3.06% ⋀,0.00000077 -12.14% ⋁
Simple Moving Average (200),0.00000065 4.92% ⋀,0.00000063 8.04% ⋀,0.00000063 8.72% ⋀,0.00000064 6.25% ⋀,0.00000067 0.75% ⋀,0.00000071 -4.25% ⋁,0.00000083 -18.20% ⋁
Exponential Moving Average (200),0.00000065 4.13% ⋀,0.00000064 6.69% ⋀,0.00000063 7.94% ⋀,0.00000064 5.52% ⋀,0.00000068 0.57% ⋀,0.00000071 -3.88% ⋁,0.00000084 -19.07% ⋁
Summary,Up: 6 Down: 6 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 6 Down: 6 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),48.61NE,55.96NE,66.18NE,68.89NE,73.73OB,73.28OB,54.28NE
"Stochastic K (14,3,3)",33.33NE,55.56NE,77.98NE,80.42OB,81.11OB,81.11OB,52.59NE
Commodity Channel Index (20),-122.98OS,31.14NE,131.91OB,163.58OB,224.19OB,345.68OB,98.36NE
Williams %R (14),-50.00NE,-40.00NE,-28.57NE,-22.22NE,-20.00NE,-20.00NE,-20.00NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000000690.00000069OS,0.000000670.00000067OB,0.000000650.00000065OB,0.000000640.00000064OB,0.000000630.00000063OB,0.000000630.00000063OB,0.000000650.00000065OB
Summary,OB: 0 OS: 2 NE: 3,OB: 1 OS: 0 NE: 4,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 1 OS: 0 NE: 4
