Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00000247 0.32% ⋀,0.00000248 0.16% ⋀,0.00000249 -0.52% ⋁,0.00000251 -1.12% ⋁,0.00000253 -1.90% ⋁,0.00000254 -2.48% ⋁,0.00000244 1.68% ⋀
Exponential Moving Average (10),0.00000247 0.34% ⋀,0.00000248 0.18% ⋀,0.00000249 -0.42% ⋁,0.00000250 -0.97% ⋁,0.00000251 -1.36% ⋁,0.00000251 -1.36% ⋁,0.00000247 0.34% ⋀
Simple Moving Average (20),0.00000247 0.40% ⋀,0.00000248 0.18% ⋀,0.00000251 -1.29% ⋁,0.00000253 -2.15% ⋁,0.00000254 -2.44% ⋁,0.00000249 -0.28% ⋁,0.00000243 2.10% ⋀
Exponential Moving Average (20),0.00000247 0.35% ⋀,0.00000248 -0.05% ⋁,0.00000251 -1.13% ⋁,0.00000252 -1.61% ⋁,0.00000251 -1.30% ⋁,0.00000249 -0.57% ⋁,0.00000250 -0.65% ⋁
Simple Moving Average (30),0.00000247 0.30% ⋀,0.00000249 -0.49% ⋁,0.00000253 -2.16% ⋁,0.00000255 -2.82% ⋁,0.00000249 -0.56% ⋁,0.00000246 0.84% ⋀,0.00000256 -3.19% ⋁
Exponential Moving Average (30),0.00000247 0.31% ⋀,0.00000249 -0.32% ⋁,0.00000252 -1.54% ⋁,0.00000252 -1.62% ⋁,0.00000250 -0.75% ⋁,0.00000248 0.06% ⋀,0.00000250 -0.87% ⋁
Simple Moving Average (50),0.00000247 0.36% ⋀,0.00000250 -0.90% ⋁,0.00000255 -2.58% ⋁,0.00000250 -0.99% ⋁,0.00000245 1.33% ⋀,0.00000244 1.71% ⋀,0.00000267 -7.10% ⋁
Exponential Moving Average (50),0.00000248 0.13% ⋀,0.00000250 -0.79% ⋁,0.00000253 -1.78% ⋁,0.00000251 -1.10% ⋁,0.00000248 0.01% ⋀,0.00000248 0.06% ⋀,0.00000241 2.72% ⋀
Simple Moving Average (100),0.00000250 -0.61% ⋁,0.00000253 -1.96% ⋁,0.00000250 -0.95% ⋁,0.00000244 1.46% ⋀,0.00000244 1.84% ⋀,0.00000250 -0.73% ⋁,0.00000196 26.57% ⋀
Exponential Moving Average (100),0.00000249 -0.37% ⋁,0.00000252 -1.59% ⋁,0.00000250 -0.98% ⋁,0.00000248 0.17% ⋀,0.00000251 -1.34% ⋁,0.00000251 -1.28% ⋁,0.00000208 19.11% ⋀
Simple Moving Average (200),0.00000251 -1.27% ⋁,0.00000255 -2.79% ⋁,0.00000244 1.52% ⋀,0.00000243 1.92% ⋀,0.00000266 -6.78% ⋁,0.00000264 -6.20% ⋁,0.00000145 70.85% ⋀
Exponential Moving Average (200),0.00000251 -1.20% ⋁,0.00000253 -2.06% ⋁,0.00000248 0.04% ⋀,0.00000249 -0.35% ⋁,0.00000256 -2.97% ⋁,0.00000229 8.34% ⋀,0.00000166 49.28% ⋀
Summary,Up: 8 Down: 4 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 8 Down: 4 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),54.76NE,46.84NE,37.86NE,42.34NE,46.95NE,49.76NE,49.10NE
"Stochastic K (14,3,3)",77.78NE,66.67NE,26.67NE,12.94OS,9.08OS,38.56NE,36.96NE
Commodity Channel Index (20),107.69OB,0.00NE,-115.75OS,-145.03OS,-108.76OS,-15.38NE,18.44NE
Williams %R (14),0.00OB,-25.00NE,-70.00NE,-85.00OS,-88.46OS,-67.65NE,-67.50NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000002470.00000247OB,0.000002480.00000248OB,0.000002510.00000251OS,0.000002530.00000253OS,0.000002540.00000254OS,0.000002490.00000249OS,0.000002680.00000218NE
Summary,OB: 3 OS: 0 NE: 2,OB: 1 OS: 0 NE: 4,OB: 0 OS: 2 NE: 3,OB: 0 OS: 4 NE: 1,OB: 0 OS: 4 NE: 1,OB: 0 OS: 1 NE: 4,OB: 0 OS: 0 NE: 5
