Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.0000147 0.35% ⋀,0.0000148 -0.03% ⋁,0.0000148 -0.55% ⋁,0.0000148 -0.39% ⋁,0.0000146 0.91% ⋀,0.0000145 1.39% ⋀,0.0000148 -0.55% ⋁
Exponential Moving Average (10),0.0000147 0.29% ⋀,0.0000147 0.08% ⋀,0.0000148 -0.26% ⋁,0.0000147 0.03% ⋀,0.0000147 0.49% ⋀,0.0000147 0.38% ⋀,0.0000150 -1.84% ⋁
Simple Moving Average (20),0.0000147 0.07% ⋀,0.0000148 -0.33% ⋁,0.0000148 -0.36% ⋁,0.0000146 0.99% ⋀,0.0000146 1.11% ⋀,0.0000148 -0.64% ⋁,0.0000157 -6.28% ⋁
Exponential Moving Average (20),0.0000147 0.13% ⋀,0.0000148 -0.22% ⋁,0.0000148 -0.05% ⋁,0.0000147 0.42% ⋀,0.0000147 0.32% ⋀,0.0000148 -0.13% ⋁,0.0000155 -5.05% ⋁
Simple Moving Average (30),0.0000148 -0.14% ⋁,0.0000148 -0.63% ⋁,0.0000147 0.49% ⋀,0.0000146 1.32% ⋀,0.0000148 -0.66% ⋁,0.0000149 -1.01% ⋁,0.0000165 -10.52% ⋁
Exponential Moving Average (30),0.0000148 -0.02% ⋁,0.0000148 -0.36% ⋁,0.0000147 0.24% ⋀,0.0000147 0.42% ⋀,0.0000148 -0.15% ⋁,0.0000149 -1.01% ⋁,0.0000159 -7.02% ⋁
Simple Moving Average (50),0.0000148 -0.24% ⋁,0.0000149 -0.72% ⋁,0.0000146 1.36% ⋀,0.0000147 0.08% ⋀,0.0000149 -0.83% ⋁,0.0000150 -1.62% ⋁,0.0000162 -8.96% ⋁
Exponential Moving Average (50),0.0000148 -0.22% ⋁,0.0000148 -0.36% ⋁,0.0000147 0.44% ⋀,0.0000147 0.04% ⋀,0.0000150 -1.40% ⋁,0.0000152 -3.08% ⋁,0.0000164 -9.90% ⋁
Simple Moving Average (100),0.0000149 -0.68% ⋁,0.0000147 0.11% ⋀,0.0000147 0.01% ⋀,0.0000149 -0.79% ⋁,0.0000156 -5.39% ⋁,0.0000164 -9.98% ⋁,0.0000176 -16.39% ⋁
Exponential Moving Average (100),0.0000148 -0.39% ⋁,0.0000147 0.11% ⋀,0.0000147 0.22% ⋀,0.0000150 -1.75% ⋁,0.0000155 -4.59% ⋁,0.0000157 -6.34% ⋁,0.0000176 -16.23% ⋁
Simple Moving Average (200),0.0000148 -0.39% ⋁,0.0000146 1.37% ⋀,0.0000149 -0.78% ⋁,0.0000156 -5.50% ⋁,0.0000165 -10.73% ⋁,0.0000163 -9.47% ⋁,0.0000203 -27.26% ⋁
Exponential Moving Average (200),0.0000147 0.06% ⋀,0.0000147 0.49% ⋀,0.0000149 -0.84% ⋁,0.0000157 -5.99% ⋁,0.0000158 -6.71% ⋁,0.0000163 -9.37% ⋁,0.0000231 -36.10% ⋁
Summary,Up: 5 Down: 7 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 4 Down: 8 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),50.53NE,45.91NE,51.09NE,52.24NE,50.01NE,47.51NE,42.85NE
"Stochastic K (14,3,3)",32.10NE,18.91OS,22.70NE,50.73NE,56.63NE,56.06NE,16.43OS
Commodity Channel Index (20),9.87NE,-1.13NE,-30.74NE,51.31NE,61.91NE,-18.05NE,-68.60NE
Williams %R (14),-62.50NE,-62.50NE,-68.75NE,-47.19NE,-45.16NE,-53.64NE,-80.32OS
"Bollinger Bands Upper / Lower (20,2,2)",0.00001470.0000147OB,0.00001480.0000148OS,0.00001500.0000146NE,0.00001510.0000141NE,0.00001500.0000142NE,0.00001570.0000140NE,0.00001820.0000133NE
Summary,OB: 1 OS: 0 NE: 4,OB: 0 OS: 2 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 2 NE: 3
